ci_initial,ci_final,elapsed_time,iterations
2,2,0.07313084602355957,4
2,2,0.07708168029785156,9
1,1,0.08121848106384277,5
2,2,0.07964825630187988,9
3,1,0.07463240623474121,12
2,1,0.08143973350524902,8
2,2,0.08425593376159668,23
2,2,0.07673311233520508,5
2,2,0.08314633369445801,5
1,1,0.10071730613708496,7
1,1,0.07969307899475098,5
2,2,0.08141660690307617,9
2,1,0.08393335342407227,8
3,2,0.08228445053100586,7
2,1,0.0786886215209961,7
2,2,0.08003020286560059,5
0,0,0.07750511169433594,4
2,2,0.08395576477050781,18
3,3,0.08191800117492676,9
3,3,0.08087730407714844,6
2,2,0.08035612106323242,5
1,1,0.1006021499633789,3
2,2,0.07683563232421875,5
3,2,0.08007335662841797,8
1,1,0.08353900909423828,6
2,2,0.08042597770690918,5
3,3,0.08256983757019043,9
2,1,0.14098715782165527,10
1,1,0.08098101615905762,6
3,3,0.08368754386901855,18
1,1,0.08135604858398438,7
3,2,0.08458113670349121,6
1,1,0.09913015365600586,3
2,2,0.07670307159423828,4
2,2,0.07622003555297852,11
1,1,0.0806741714477539,5
2,2,0.08390593528747559,14
1,1,0.08178186416625977,6
3,2,0.07845020294189453,6
2,2,0.08262825012207031,15
2,2,0.08141756057739258,7
1,0,0.08569931983947754,8
2,1,0.0791633129119873,6
1,1,0.09197688102722168,5
2,2,0.09897398948669434,12
2,1,0.08163976669311523,13
1,1,0.08252835273742676,6
1,1,0.08373737335205078,4
2,2,0.08009052276611328,7
2,2,0.07878708839416504,7
1,1,0.08030176162719727,6
1,1,0.0985410213470459,3
2,2,0.07968306541442871,16
1,1,0.07406091690063477,6
2,2,0.08291006088256836,6
1,1,0.08328795433044434,5
1,1,0.09531736373901367,5
2,2,0.08198118209838867,15
3,2,0.07776451110839844,7
1,1,0.07917094230651855,4
2,2,0.07869529724121094,4
2,2,0.0841529369354248,6
2,2,0.08386397361755371,18
2,2,0.08126258850097656,9
2,2,0.0835869312286377,9
1,1,0.08230710029602051,3
3,3,0.08445477485656738,18
1,1,0.0808262825012207,3
3,3,0.09418773651123047,7
1,1,0.08258819580078125,11
1,1,0.08022618293762207,4
1,1,0.07837510108947754,4
2,2,0.09299325942993164,9
1,1,0.08247733116149902,8
2,2,0.07995009422302246,9
3,3,0.08846068382263184,16
2,2,0.08512210845947266,14
1,1,0.1255660057067871,6
2,2,0.07916712760925293,5
1,1,0.07595348358154297,7
3,1,0.09026646614074707,9
1,1,0.0759885311126709,3
