ci_initial,ci_final,elapsed_time,iterations
9,3,0.008904457092285156,17
6,2,0.006181240081787109,7
6,4,0.006834506988525391,9
8,2,0.007418632507324219,11
5,2,0.009401559829711914,19
6,2,0.008774518966674805,17
8,3,0.009989500045776367,13
5,1,0.008220195770263672,15
9,2,0.0062656402587890625,6
10,4,0.011310338973999023,28
7,3,0.010927915573120117,26
11,2,0.009953022003173828,13
7,3,0.010959863662719727,25
7,3,0.009410381317138672,19
6,3,0.007990837097167969,12
8,4,0.012307167053222656,32
10,4,0.012029886245727539,31
7,3,0.0072896480560302734,11
6,2,0.00876474380493164,17
7,3,0.006957530975341797,10
6,2,0.010062932968139648,22
8,2,0.007336616516113281,11
7,1,0.008278131484985352,15
10,4,0.0156710147857666,25
8,2,0.006771087646484375,8
9,3,0.008512020111083984,16
9,4,0.007471799850463867,12
8,3,0.008511066436767578,16
7,1,0.007487058639526367,12
9,2,0.007888555526733398,12
7,3,0.012286663055419922,22
7,2,0.023209333419799805,40
7,3,0.00811457633972168,14
8,3,0.009595394134521484,20
8,2,0.007557392120361328,11
7,1,0.03956460952758789,26
8,4,0.19599676132202148,23
9,3,0.20776844024658203,11
6,2,0.24599862098693848,18
8,2,0.24983501434326172,21
8,3,0.08256673812866211,10
9,3,0.010506153106689453,24
9,1,0.006609201431274414,8
7,4,0.00822138786315918,15
7,4,0.010619878768920898,24
9,2,0.00988006591796875,18
6,1,0.007277488708496094,11
8,3,0.013303041458129883,36
8,3,0.010246753692626953,23
6,3,0.011039495468139648,27
7,4,0.0070035457611083984,10
9,1,0.007275819778442383,11
7,2,0.007882833480834961,14
7,4,0.007101535797119141,10
7,3,0.008033275604248047,14
5,2,0.0075223445892333984,12
9,2,0.009195566177368164,19
7,2,0.008873224258422852,18
6,2,0.009165763854980469,19
8,3,0.013622283935546875,15
8,4,0.12074398994445801,13
9,1,0.11201143264770508,12
8,2,0.047445058822631836,15
8,1,0.01091456413269043,26
8,3,0.00912165641784668,19
10,4,0.0108184814453125,26
4,1,0.006796121597290039,9
6,4,0.008879661560058594,17
8,3,0.009621858596801758,20
7,2,0.008793115615844727,17
9,5,0.006653547286987305,8
7,4,0.008311033248901367,15
6,4,0.01167154312133789,29
6,1,0.008720636367797852,17
6,2,0.008742332458496094,16
8,4,0.007693290710449219,13
7,4,0.006987810134887695,10
8,2,0.007039308547973633,10
6,3,0.007712364196777344,13
4,2,0.007322072982788086,11
7,1,0.008077144622802734,14
8,5,0.008805036544799805,17
8,2,0.011835813522338867,30
7,2,0.0071337223052978516,10
6,2,0.01361989974975586,20
6,2,0.009475946426391602,19
5,4,0.0072515010833740234,11
3,1,0.006483554840087891,8
5,2,0.008135795593261719,15
7,2,0.017470598220825195,9
6,2,0.008088827133178711,11
10,2,0.01165914535522461,29
7,4,0.009267807006835938,19
9,3,0.010625123977661133,25
8,2,0.007256507873535156,11
7,3,0.00733637809753418,11
6,3,0.007751941680908203,13
6,3,0.009048938751220703,17
5,2,0.006770133972167969,9
7,3,0.006966114044189453,10
8,3,0.009907245635986328,21
7,2,0.011460542678833008,28
9,4,0.00902867317199707,18
7,2,0.007467508316040039,12
6,2,0.008315563201904297,13
6,3,0.007035255432128906,10
7,4,0.009291887283325195,19
8,2,0.00935220718383789,20
5,2,0.012389659881591797,8
7,2,0.007691144943237305,12
7,2,0.009664535522460938,21
8,3,0.014128684997558594,36
6,3,0.010481834411621094,24
7,3,0.009985923767089844,22
8,3,0.04263877868652344,12
8,3,0.17223715782165527,20
6,3,0.11666083335876465,18
6,3,0.010619163513183594,25
5,3,0.008994579315185547,17
6,3,0.009500503540039062,19
6,2,0.006826162338256836,9
7,2,0.009117364883422852,19
7,2,0.0077817440032958984,13
6,4,0.008561134338378906,16
9,2,0.00767207145690918,13
8,3,0.008466720581054688,15
8,2,0.006975650787353516,10
5,3,0.007050037384033203,10
8,2,0.00820016860961914,15
7,4,0.008352994918823242,15
9,2,0.006584882736206055,8
6,1,0.009124994277954102,19
5,4,0.007010459899902344,10
7,2,0.006479978561401367,8
6,5,0.009065389633178711,17
5,4,0.010149717330932617,23
7,2,0.011209726333618164,27
8,3,0.008677482604980469,16
7,3,0.010930776596069336,17
4,2,0.010170221328735352,21
8,3,0.007925987243652344,12
6,1,0.007443904876708984,12
7,2,0.0069921016693115234,10
7,4,0.010929346084594727,26
6,3,0.007433891296386719,12
