ci_initial,ci_final,elapsed_time,iterations
8,1,0.00986623764038086,19
4,1,0.013048171997070312,7
4,1,0.008186578750610352,13
6,2,0.008327245712280273,14
7,1,0.007593393325805664,9
6,0,0.010354757308959961,22
3,3,0.007781505584716797,12
7,3,0.009207963943481445,18
6,2,0.007764101028442383,12
7,3,0.008005142211914062,13
5,1,0.007253885269165039,10
6,3,0.011608123779296875,28
6,0,0.00685429573059082,8
5,1,0.008133172988891602,12
7,2,0.010536432266235352,21
6,1,0.008961200714111328,17
8,1,0.007285594940185547,10
10,3,0.010808706283569336,25
6,2,0.008449554443359375,15
3,2,0.009499788284301758,17
6,2,0.008048057556152344,13
6,2,0.009294271469116211,16
5,1,0.011044979095458984,22
8,1,0.11542153358459473,12
3,1,0.06700420379638672,7
6,3,0.150099515914917,18
6,2,0.008384943008422852,7
7,3,0.009687423706054688,17
5,2,0.00926971435546875,18
8,2,0.006767988204956055,8
5,1,0.007851123809814453,12
7,1,0.007958173751831055,13
6,1,0.00780487060546875,12
9,2,0.00965118408203125,20
6,1,0.009267568588256836,8
6,2,0.008210182189941406,13
5,2,0.007880449295043945,12
4,1,0.008807659149169922,16
4,1,0.006582736968994141,7
5,1,0.006783246994018555,8
4,1,0.007899045944213867,13
9,2,0.008659124374389648,16
6,0,0.01028895378112793,21
7,1,0.046688079833984375,22
7,2,0.13163447380065918,14
7,1,0.16922593116760254,20
6,0,0.031296491622924805,8
5,2,0.008772850036621094,16
8,3,0.008785009384155273,16
4,1,0.008521318435668945,15
4,1,0.007577180862426758,11
7,2,0.00886392593383789,16
5,1,0.00632166862487793,6
5,3,0.008774042129516602,16
7,2,0.010098934173583984,20
6,2,0.007848024368286133,12
6,1,0.0070497989654541016,9
4,3,0.008100271224975586,12
4,1,0.010062456130981445,21
8,2,0.0077474117279052734,12
4,1,0.009966611862182617,19
4,1,0.0063495635986328125,6
6,1,0.007933616638183594,13
7,3,0.008486032485961914,15
6,1,0.00874471664428711,13
6,1,0.0071370601654052734,9
7,3,0.009165763854980469,18
5,1,0.009540796279907227,19
8,3,0.013126611709594727,7
7,2,0.008697986602783203,15
5,1,0.009103775024414062,17
6,2,0.008060216903686523,13
5,2,0.008573055267333984,14
6,3,0.007493019104003906,11
5,1,0.0069773197174072266,9
7,1,0.008306026458740234,14
3,1,0.008503198623657227,15
7,1,0.025255918502807617,9
6,0,0.1106259822845459,14
3,1,0.0859525203704834,10
6,1,0.11872434616088867,14
5,2,0.00879049301147461,16
5,2,0.011545419692993164,27
7,3,0.009306669235229492,17
5,3,0.045256614685058594,15
6,3,0.009327888488769531,18
6,3,0.01723933219909668,42
6,1,0.007389545440673828,9
5,1,0.00803685188293457,12
5,2,0.008719682693481445,16
8,0,0.007889509201049805,13
5,1,0.006763935089111328,8
7,2,0.0069768428802490234,9
6,1,0.007282257080078125,10
7,2,0.006704568862915039,8
6,2,0.006975412368774414,9
7,3,0.009707927703857422,20
5,2,0.01283407211303711,8
4,1,0.008350849151611328,12
6,2,0.008018970489501953,13
5,2,0.010248661041259766,14
9,2,0.0074901580810546875,10
6,3,0.009557247161865234,18
6,1,0.009460210800170898,19
5,1,0.007677555084228516,11
7,1,0.0067446231842041016,8
5,3,0.007502555847167969,11
5,1,0.0076541900634765625,12
6,2,0.008791208267211914,16
6,1,0.007828474044799805,12
2,1,0.009314298629760742,18
7,1,0.007279634475708008,10
6,2,0.008269071578979492,14
8,1,0.007975101470947266,13
6,1,0.0072591304779052734,10
7,2,0.009825468063354492,21
6,1,0.00677943229675293,8
5,1,0.007337093353271484,9
2,1,0.007037639617919922,9
4,2,0.009149312973022461,18
6,1,0.011080503463745117,26
6,2,0.009996175765991211,19
6,2,0.009151220321655273,17
6,1,0.006250619888305664,6
8,2,0.006623029708862305,7
9,1,0.0072138309478759766,10
7,3,0.008656978607177734,16
6,1,0.013529539108276367,18
7,1,0.006978273391723633,7
5,1,0.007141590118408203,9
6,3,0.009760618209838867,20
8,0,0.010345697402954102,13
6,1,0.008060693740844727,12
4,2,0.007219791412353516,10
6,2,0.008439302444458008,15
7,1,0.009222984313964844,18
5,1,0.009654998779296875,18
5,2,0.010095596313476562,21
7,2,0.009045600891113281,18
6,2,0.012124300003051758,29
6,3,0.010118246078491211,12
5,1,0.006670236587524414,7
6,3,0.007770061492919922,12
7,3,0.1024937629699707,11
7,1,0.11154437065124512,12
7,2,0.10386228561401367,15
7,3,0.011619329452514648,28
5,1,0.007877349853515625,11
5,3,0.009025335311889648,17
5,2,0.009852170944213867,20
3,2,0.00725245475769043,10
8,2,0.012034177780151367,29
6,2,0.008124113082885742,13
8,2,0.007593870162963867,12
5,2,0.007303476333618164,9
5,2,0.008480548858642578,15
5,2,0.00683903694152832,8
5,2,0.009523868560791016,19
4,2,0.008401632308959961,15
5,1,0.007047176361083984,9
8,3,0.007925748825073242,13
5,1,0.1585242748260498,17
5,1,0.133880615234375,15
5,2,0.08525395393371582,18
3,1,0.007854461669921875,12
6,1,0.00867605209350586,15
6,1,0.006500244140625,7
4,1,0.00784158706665039,13
7,2,0.01029348373413086,22
5,2,0.007132291793823242,9
7,2,0.013459444046020508,35
5,1,0.007003307342529297,9
5,2,0.009360551834106445,18
4,0,0.008004903793334961,13
5,1,0.007590055465698242,11
5,1,0.006742954254150391,8
4,1,0.006784677505493164,8
7,1,0.012185096740722656,27
7,1,0.009012699127197266,15
6,2,0.0970919132232666,10
7,1,0.10676288604736328,12
5,1,0.08191680908203125,8
6,2,0.048419952392578125,20
7,3,0.008718252182006836,15
6,1,0.006325960159301758,6
6,0,0.008344173431396484,15
5,3,0.008800983428955078,16
7,2,0.006945371627807617,9
9,2,0.007749319076538086,12
3,2,0.008229494094848633,14
7,1,0.006998538970947266,8
4,1,0.006798982620239258,8
5,1,0.009204626083374023,17
7,4,0.008955717086791992,13
7,2,0.007393360137939453,10
5,2,0.006922483444213867,8
4,1,0.007146596908569336,9
6,1,0.007771015167236328,11
4,1,0.007145404815673828,9
4,2,0.007529497146606445,10
5,1,0.1853327751159668,21
5,2,0.1179957389831543,16
5,1,0.07050204277038574,9
7,4,0.0071070194244384766,9
3,1,0.007096767425537109,9
5,1,0.008779764175415039,13
8,2,0.009140968322753906,17
5,1,0.007892608642578125,9
5,1,0.006926059722900391,8
7,1,0.008495807647705078,15
9,1,0.009705543518066406,20
5,1,0.007334232330322266,10
8,2,0.008271932601928711,14
6,2,0.010172367095947266,22
4,2,0.007315158843994141,10
5,2,0.007569551467895508,11
6,2,0.007106304168701172,9
5,1,0.007075786590576172,9
5,3,0.007996320724487305,13
5,1,0.007027387619018555,9
5,2,0.009313344955444336,18
6,2,0.0073053836822509766,9
5,2,0.06158900260925293,13
7,2,0.14438939094543457,17
5,2,0.14787054061889648,19
7,3,0.008707046508789062,16
6,1,0.007055044174194336,9
5,0,0.0072100162506103516,10
5,3,0.009174585342407227,17
6,1,0.0075609683990478516,10
7,3,0.016876697540283203,50
3,1,0.008062362670898438,13
7,2,0.012109518051147461,29
6,2,0.007100582122802734,9
7,2,0.012850046157836914,22
6,1,0.007400989532470703,8
7,1,0.007001399993896484,8
7,2,0.01016688346862793,20
8,3,0.012586355209350586,32
6,1,0.008350372314453125,14
6,2,0.007063627243041992,9
3,1,0.05512046813964844,7
6,1,0.007319211959838867,9
6,2,0.008951902389526367,17
5,2,0.006885051727294922,8
7,2,0.0070209503173828125,9
5,3,0.007871389389038086,11
7,1,0.010071754455566406,21
6,1,0.006824016571044922,8
7,3,0.009309768676757812,18
6,2,0.010031461715698242,21
6,2,0.008482217788696289,15
7,1,0.012406110763549805,8
6,1,0.014234781265258789,38
8,3,0.062467336654663086,20
5,1,0.08076190948486328,9
5,2,0.10720610618591309,13
3,1,0.05614495277404785,6
4,1,0.023221969604492188,14
7,2,0.00682377815246582,8
4,1,0.006292581558227539,6
5,3,0.008387327194213867,14
5,2,0.008362054824829102,14
5,1,0.006613016128540039,7
5,1,0.006487369537353516,7
6,1,0.008392095565795898,15
9,2,0.008865594863891602,16
5,2,0.007626533508300781,10
4,2,0.006521701812744141,7
4,2,0.0064601898193359375,7
4,1,0.007779359817504883,12
7,2,0.007511615753173828,10
7,3,0.010427474975585938,23
6,2,0.00692296028137207,8
4,1,0.008667945861816406,16
7,1,0.008257627487182617,14
7,3,0.010664701461791992,24
6,0,0.007097482681274414,9
9,3,0.008017778396606445,13
5,1,0.009186506271362305,18
8,1,0.007225751876831055,10
6,2,0.01820206642150879,15
6,2,0.009371519088745117,16
4,1,0.007550716400146484,11
4,1,0.006667375564575195,7
7,2,0.008011579513549805,13
6,2,0.011717081069946289,28
7,3,0.011875152587890625,20
4,2,0.007964134216308594,12
7,1,0.008517742156982422,15
9,2,0.010164499282836914,20
7,2,0.14725255966186523,16
6,2,0.16942381858825684,20
7,2,0.06922745704650879,20
5,1,0.006875753402709961,8
7,3,0.007091999053955078,9
7,1,0.006814718246459961,8
5,1,0.007872581481933594,11
4,3,0.00735783576965332,10
5,1,0.0067484378814697266,8
7,1,0.007754087448120117,12
7,3,0.007866382598876953,12
4,1,0.009251594543457031,18
4,2,0.006847858428955078,8
6,2,0.00825643539428711,14
7,2,0.009243249893188477,18
5,2,0.00948786735534668,19
5,0,0.01135110855102539,27
6,3,0.007277965545654297,10
6,1,0.0068285465240478516,8
7,1,0.014985322952270508,13
5,4,0.007906913757324219,9
6,2,0.01047205924987793,22
6,3,0.009359359741210938,19
4,0,0.007814407348632812,12
7,2,0.01145482063293457,20
5,1,0.006340503692626953,6
7,1,0.00985860824584961,21
5,2,0.007498741149902344,10
7,2,0.008352279663085938,14
6,1,0.00820302963256836,13
4,0,0.006934642791748047,8
3,1,0.006601572036743164,7
5,1,0.008105278015136719,14
6,2,0.01353311538696289,36
5,2,0.008332014083862305,14
6,4,0.007825613021850586,12
7,3,0.007483243942260742,10
5,1,0.010132074356079102,22
3,0,0.2255096435546875,28
3,1,0.12694787979125977,15
6,3,0.01124429702758789,26
4,1,0.010509252548217773,16
3,0,0.006571054458618164,7
9,2,0.007231950759887695,9
7,2,0.015423297882080078,9
5,3,0.008531808853149414,13
7,1,0.008313417434692383,13
4,1,0.006875276565551758,8
6,1,0.00906062126159668,18
5,2,0.007213592529296875,9
5,2,0.00947117805480957,19
5,1,0.009446859359741211,18
6,2,0.007554054260253906,11
5,2,0.007536411285400391,11
7,3,0.00726771354675293,10
5,1,0.0070798397064208984,9
6,0,0.006845235824584961,8
7,1,0.008043527603149414,11
5,2,0.06818747520446777,8
5,2,0.19024133682250977,21
5,3,0.11503434181213379,13
5,1,0.027647018432617188,12
7,3,0.01263284683227539,30
5,2,0.006700038909912109,7
7,2,0.01081705093383789,23
7,2,0.008560657501220703,15
4,1,0.00887298583984375,14
4,2,0.0075876712799072266,11
6,1,0.007118701934814453,9
7,3,0.014105796813964844,35
6,2,0.012397289276123047,31
7,1,0.00862431526184082,15
7,2,0.011830329895019531,10
6,1,0.009582042694091797,19
5,1,0.007318735122680664,10
4,2,0.017558574676513672,17
6,2,0.008481979370117188,14
8,3,0.010277986526489258,22
5,1,0.007368326187133789,10
7,2,0.00726771354675293,10
6,3,0.010024309158325195,21
6,1,0.007469654083251953,9
7,2,0.08256769180297852,11
6,2,0.10286808013916016,11
8,2,0.16472315788269043,36
5,1,0.0073642730712890625,10
8,1,0.011135101318359375,26
4,1,0.00798940658569336,13
5,3,0.009373664855957031,19
7,3,0.007265806198120117,10
6,1,0.008763313293457031,16
7,1,0.006907463073730469,8
7,2,0.0070493221282958984,9
4,3,0.0075321197509765625,11
7,1,0.007927179336547852,13
5,1,0.006705284118652344,8
3,2,0.013128280639648438,7
4,2,0.04144763946533203,18
8,3,0.009286165237426758,18
7,2,0.007058382034301758,9
6,1,0.009936809539794922,12
7,1,0.012407779693603516,14
6,3,0.008229732513427734,12
7,2,0.007360935211181641,10
5,2,0.008278846740722656,14
5,1,0.009289741516113281,18
5,1,0.00866556167602539,15
6,2,0.008801460266113281,16
5,2,0.009339094161987305,14
5,1,0.0075070858001708984,10
4,1,0.008266687393188477,14
4,3,0.11568093299865723,13
7,2,0.15469145774841309,18
4,1,0.07012343406677246,13
5,1,0.011013507843017578,25
6,1,0.007275819778442383,10
7,1,0.007401466369628906,10
6,4,0.007828474044799805,12
5,1,0.006821870803833008,8
5,1,0.007355451583862305,10
5,1,0.0065822601318359375,7
7,1,0.00828862190246582,13
5,2,0.007084369659423828,9
7,1,0.007606029510498047,12
3,1,0.006445646286010742,6
7,2,0.00996851921081543,20
7,1,0.00712275505065918,8
7,1,0.008542299270629883,15
7,3,0.013530492782592773,18
6,2,0.013643980026245117,32
4,1,0.006639957427978516,7
8,1,0.00838470458984375,14
3,1,0.007718563079833984,12
4,2,0.01685929298400879,10
3,1,0.14630866050720215,16
6,1,0.06519031524658203,7
5,2,0.06194949150085449,6
4,1,0.0620574951171875,5
5,2,0.15981698036193848,18
7,2,0.1525874137878418,16
5,2,0.1572279930114746,16
4,1,0.1126399040222168,6
5,3,0.23474550247192383,19
4,3,0.14193272590637207,11
6,2,0.1670093536376953,14
