ci_initial,ci_final,elapsed_time,iterations
6,1,9.022571086883545,9
10,1,11.044318199157715,9
12,1,6.932359933853149,15
8,1,7.004481077194214,9
9,1,7.577793121337891,14
9,1,7.710054636001587,14
12,1,7.196881532669067,20
13,1,7.071657657623291,11
10,2,6.8658013343811035,9
10,1,7.2651636600494385,11
10,0,8.03036642074585,11
11,1,6.9914937019348145,16
11,1,7.384675025939941,10
13,1,6.950055360794067,19
7,2,7.343114614486694,18
10,1,7.751839637756348,10
10,1,7.187438726425171,11
11,1,12.135470151901245,15
9,1,10.563225269317627,16
13,1,8.64049482345581,16
9,1,6.945322751998901,11
11,1,6.7871599197387695,10
13,1,8.325706481933594,21
10,1,11.007694959640503,16
10,1,7.212275505065918,6
11,1,6.910369634628296,9
11,1,7.162543535232544,15
10,0,8.603219032287598,11
8,1,7.503329515457153,15
16,1,8.128405332565308,15
