ci_initial,ci_final,elapsed_time,iterations
16,3,1.463634967803955,15
14,2,1.6203830242156982,17
15,2,1.4976918697357178,25
12,1,1.5174131393432617,19
12,2,1.4410805702209473,10
15,2,1.583418369293213,24
14,1,1.476179838180542,13
11,1,1.369006872177124,10
12,1,1.425840139389038,21
14,2,1.4148173332214355,15
14,2,2.7338173389434814,27
13,2,2.5985708236694336,8
13,1,2.3490488529205322,15
14,2,2.412365674972534,21
12,1,2.3759639263153076,16
13,2,2.3536911010742188,19
11,2,2.619540214538574,11
13,1,2.5770108699798584,11
12,2,2.965794563293457,25
13,2,2.6792263984680176,9
13,1,2.8172266483306885,9
10,2,2.7639076709747314,14
11,1,2.658277988433838,19
12,2,2.8306000232696533,14
14,2,2.6633810997009277,24
11,2,2.5615878105163574,17
12,1,2.713874578475952,28
13,2,2.8132474422454834,20
10,2,2.809391975402832,17
16,1,2.7460765838623047,21
