ci_initial,ci_final,elapsed_time,iterations
33,8,3.332888603210449,41
33,7,3.2864553928375244,55
33,8,4.443058490753174,57
33,6,3.2335593700408936,75
33,7,3.201441764831543,49
33,8,3.285468339920044,45
33,8,3.0324878692626953,53
33,7,3.4386847019195557,54
33,8,3.546966791152954,43
33,7,3.166119337081909,73
33,8,5.515498399734497,49
33,7,5.526784896850586,46
33,8,6.5870091915130615,57
33,7,5.623472452163696,38
33,8,6.034945964813232,39
33,8,6.215575695037842,54
33,7,6.0174784660339355,59
33,8,6.032237768173218,83
33,8,7.823196172714233,61
33,8,6.027024984359741,69
33,7,5.770763635635376,57
33,6,5.774996519088745,50
33,7,6.387516736984253,60
33,7,5.748643159866333,63
33,7,5.969407081604004,63
33,8,6.295307636260986,61
33,7,5.827049016952515,60
33,8,5.723240852355957,40
33,8,5.812432765960693,64
33,7,5.725569725036621,75
