ci_initial,ci_final,elapsed_time,iterations
0,0,15.683620691299438,4
0,0,15.353309631347656,4
1,0,16.844305515289307,5
1,0,12.484519720077515,13
1,0,15.090001583099365,6
0,0,16.44976806640625,4
1,0,12.083827018737793,6
1,0,11.711794376373291,5
0,0,12.586398839950562,4
1,0,12.900952577590942,6
0,0,11.298121690750122,5
1,0,11.172267198562622,5
2,0,10.822174549102783,6
1,0,11.595788717269897,5
1,0,13.963155269622803,5
3,0,14.205222606658936,6
1,0,14.013819932937622,12
1,0,12.962430000305176,9
0,0,11.398008823394775,4
1,0,12.422600746154785,5
2,0,10.778711557388306,6
1,0,12.06510615348816,6
1,0,11.622496843338013,8
0,0,10.566728591918945,5
1,0,10.917675256729126,6
1,0,11.83163046836853,6
1,0,12.560104608535767,7
1,0,14.38598918914795,5
1,0,15.025259733200073,5
0,0,11.937903642654419,4
