ci_initial,ci_final,elapsed_time,iterations
2,2,0.12134742736816406,9
5,3,0.12550902366638184,19
7,4,0.12315940856933594,12
2,1,0.12209320068359375,8
4,2,0.12314057350158691,9
6,2,0.08930039405822754,6
2,1,0.1203467845916748,6
5,3,0.17872238159179688,10
5,3,0.13144731521606445,7
3,3,0.18764424324035645,11
2,1,0.10236239433288574,6
3,1,0.1250011920928955,13
5,3,0.10493826866149902,11
5,3,0.14904356002807617,14
5,4,0.12157797813415527,12
4,2,0.12232065200805664,13
6,2,0.10335707664489746,8
4,2,0.12418746948242188,11
4,3,0.12217211723327637,11
3,3,0.14422965049743652,9
3,2,0.1682591438293457,8
4,2,0.1427767276763916,8
4,3,0.1260051727294922,7
4,3,0.12102174758911133,13
3,2,0.12103605270385742,13
4,1,0.12194705009460449,6
3,2,0.12084436416625977,9
4,2,0.12418818473815918,16
5,3,0.16892051696777344,13
3,3,0.15631532669067383,10
4,1,0.12089300155639648,10
5,3,0.11878323554992676,9
3,3,0.12486147880554199,12
4,1,0.12121462821960449,10
5,5,0.12302112579345703,11
3,2,0.09577512741088867,7
5,3,0.12845206260681152,9
4,3,0.12659168243408203,18
6,3,0.12799310684204102,19
4,4,0.12399077415466309,9
5,3,0.15901994705200195,10
4,3,0.13061285018920898,8
4,3,0.1250619888305664,14
6,5,0.1317746639251709,17
6,3,0.12259125709533691,11
5,3,0.12268686294555664,9
2,1,0.10995912551879883,9
4,3,0.11043739318847656,10
4,3,0.11614775657653809,12
4,3,0.12280058860778809,13
4,3,0.12564349174499512,16
2,2,0.12694859504699707,8
3,2,0.1488051414489746,8
3,2,0.1863250732421875,13
3,2,0.11731481552124023,6
6,2,0.12712812423706055,11
3,3,0.11615800857543945,7
5,3,0.12507963180541992,15
7,3,0.13131380081176758,17
4,2,0.1267681121826172,14
5,3,0.10623645782470703,7
3,2,0.10463261604309082,11
2,1,0.12520456314086914,11
5,3,0.1254870891571045,18
5,3,0.1487123966217041,11
5,4,0.17568039894104004,13
5,4,0.21463608741760254,17
4,1,0.13911843299865723,8
5,3,0.10515689849853516,8
5,5,0.12548089027404785,15
4,3,0.10387039184570312,8
6,2,0.13469338417053223,10
5,4,0.12451958656311035,13
4,3,0.1960604190826416,13
2,2,0.12054014205932617,8
5,3,0.12102508544921875,10
4,3,0.12555623054504395,17
5,4,0.12068390846252441,13
4,4,0.12182736396789551,11
4,3,0.1222372055053711,12
5,3,0.12324094772338867,12
4,2,0.13278889656066895,13
4,3,0.15428709983825684,11
4,3,0.1666712760925293,11
4,3,0.20117664337158203,7
3,3,0.258944034576416,10
3,2,0.245405912399292,8
3,2,0.12237405776977539,8
6,2,0.12095952033996582,9
3,2,0.12052392959594727,9
4,2,0.12404131889343262,12
4,4,0.1231834888458252,13
5,3,0.21443891525268555,18
6,2,0.14022183418273926,7
4,2,0.187391996383667,13
5,2,0.12780308723449707,14
3,2,0.09855031967163086,9
3,1,0.1308727264404297,9
3,3,0.12165021896362305,9
5,4,0.12353515625,11
5,3,0.12761664390563965,17
3,2,0.12311434745788574,10
4,3,0.12411785125732422,10
5,2,0.10311508178710938,10
3,2,0.13507556915283203,30
5,3,0.1976926326751709,12
4,1,0.18819594383239746,13
6,3,0.12290072441101074,13
5,3,0.12456369400024414,17
4,1,0.12076449394226074,10
4,2,0.11853456497192383,10
4,2,0.12094998359680176,8
5,3,0.1919405460357666,15
2,1,0.13208413124084473,7
6,4,0.12171220779418945,12
5,4,0.11714506149291992,15
3,2,0.1157388687133789,10
4,2,0.12759685516357422,7
4,2,0.1210331916809082,12
4,2,0.12097597122192383,9
4,3,0.1234428882598877,12
3,2,0.12839293479919434,12
5,3,0.12312865257263184,12
5,3,0.1252596378326416,11
5,3,0.12636613845825195,12
2,2,0.1238107681274414,9
2,2,0.09542059898376465,7
4,2,0.19122648239135742,9
4,2,0.07965826988220215,5
3,2,0.12206840515136719,10
2,1,0.1264197826385498,17
4,3,0.09644246101379395,8
4,2,0.1260521411895752,14
4,3,0.12287688255310059,13
5,3,0.121337890625,10
4,2,0.12375402450561523,16
5,3,0.12512946128845215,9
4,3,0.1249542236328125,13
2,1,0.12293839454650879,7
5,4,0.14081239700317383,13
5,4,0.1462540626525879,19
3,2,0.20953083038330078,13
3,2,0.1280221939086914,9
5,5,0.12264037132263184,15
5,2,0.12388753890991211,16
5,3,0.12279725074768066,13
4,3,0.12485837936401367,12
5,3,0.1296381950378418,11
4,3,0.11208009719848633,8
5,4,0.124542236328125,15
5,3,0.12440085411071777,13
4,3,0.12274932861328125,12
4,2,0.12208724021911621,12
3,3,0.13089394569396973,8
3,3,0.16654634475708008,9
3,1,0.20941400527954102,10
3,3,0.12256956100463867,11
2,1,0.12226486206054688,9
4,1,0.12129926681518555,10
5,2,0.1251659393310547,10
2,2,0.12138891220092773,10
5,1,0.10201478004455566,6
5,3,0.1812887191772461,7
4,2,0.18571138381958008,10
5,4,0.1527562141418457,13
3,1,0.1256091594696045,11
4,3,0.12332963943481445,14
4,3,0.07514548301696777,7
5,4,0.16323161125183105,13
4,2,0.08891463279724121,6
6,3,0.17896080017089844,8
5,3,0.16068625450134277,9
5,4,0.15523934364318848,13
6,4,0.1225275993347168,8
3,3,0.12581968307495117,13
4,2,0.12286639213562012,13
5,3,0.1315019130706787,10
3,2,0.10932636260986328,6
