ci_initial,ci_final,elapsed_time,iterations
6,2,18.760470390319824,19
5,3,15.712778091430664,16
7,2,16.35053777694702,9
5,3,16.054901599884033,16
5,3,17.834527492523193,14
3,3,16.8954758644104,9
6,3,16.943997859954834,11
5,3,18.199497938156128,12
5,3,21.524757146835327,22
3,3,20.12528371810913,7
4,2,19.254717588424683,13
5,2,22.58692765235901,14
5,2,17.66745090484619,8
5,2,16.004905223846436,10
5,3,13.112969160079956,11
6,3,13.017896890640259,12
4,3,14.98158049583435,15
6,3,13.746176958084106,15
5,3,13.223833322525024,9
6,3,23.20730948448181,11
3,2,18.081886291503906,6
5,3,13.705303192138672,19
4,3,13.20618200302124,8
6,2,13.28341269493103,19
3,3,14.676871538162231,8
8,3,13.465788841247559,15
3,2,13.886800289154053,13
6,3,13.09555196762085,19
6,3,13.095705509185791,20
5,3,13.525002241134644,8
3,2,13.309784412384033,15
4,2,13.23922324180603,12
7,3,13.3954918384552,19
3,2,13.080733060836792,12
5,2,12.930636405944824,17
5,2,12.997975826263428,22
7,3,13.869330644607544,19
5,3,13.009802341461182,15
5,4,13.151756763458252,22
5,3,12.819653272628784,13
4,2,13.206109285354614,12
3,3,12.90079116821289,9
5,3,13.389434814453125,29
2,2,13.187594652175903,7
5,2,13.370541334152222,6
6,2,13.153992652893066,15
6,3,12.9586021900177,27
5,2,12.98822283744812,13
4,2,12.910990476608276,13
5,3,12.944505214691162,13
8,3,13.012604713439941,28
2,2,13.087391138076782,9
5,2,13.330108404159546,16
6,3,13.725330829620361,14
6,3,13.455458164215088,18
5,3,12.946096420288086,15
7,2,13.221793413162231,13
4,2,12.907029867172241,15
5,2,13.183561563491821,18
6,3,13.466039896011353,11
5,3,12.892426490783691,10
7,3,13.459643840789795,14
5,3,13.630874395370483,17
7,4,14.665097951889038,13
7,3,12.741244077682495,17
2,2,12.770978689193726,9
3,2,12.657237529754639,8
7,3,13.063552856445312,20
4,3,12.934088468551636,19
4,3,12.84691309928894,11
4,2,12.779737710952759,15
5,3,12.805632591247559,14
6,2,12.811240911483765,15
5,3,13.02395224571228,7
4,2,12.809882164001465,15
6,0,12.818948984146118,11
5,3,12.935309410095215,14
6,2,12.75016736984253,17
3,2,12.6822509765625,10
4,3,12.730113744735718,9
6,3,12.698200702667236,13
