ci_initial,ci_final,elapsed_time,iterations
5,1,13.267793655395508,10
5,0,13.124332666397095,8
4,0,13.169029235839844,8
3,1,13.238322019577026,6
3,0,12.960317850112915,8
3,0,13.147765159606934,9
4,1,13.211277961730957,9
6,1,13.406416893005371,12
2,1,13.123310089111328,6
1,1,13.010323524475098,8
4,1,13.21900200843811,8
4,1,13.170491933822632,12
2,1,13.086750030517578,8
2,1,13.122172117233276,6
4,1,13.129210233688354,17
2,1,13.072195529937744,9
7,1,13.04268765449524,15
4,1,13.32229495048523,17
4,0,13.182246208190918,13
3,1,13.155965566635132,6
4,0,13.155612230300903,8
3,1,13.138350009918213,7
4,1,13.23525595664978,6
5,1,13.143704175949097,11
6,1,13.046781301498413,17
5,1,13.197393894195557,21
5,0,13.104360818862915,8
0,0,12.97067928314209,4
3,1,13.08321475982666,10
6,1,13.143282413482666,12
4,0,13.204108715057373,11
3,1,13.333616733551025,9
2,0,13.116865396499634,6
4,1,12.933261394500732,9
5,1,13.158865213394165,8
4,0,12.960649490356445,11
2,1,13.203147649765015,8
5,1,13.232499361038208,12
2,1,12.90966248512268,10
5,1,13.086716413497925,13
7,1,13.342697381973267,12
5,1,13.17723560333252,11
2,1,13.046556234359741,8
6,1,13.095101594924927,8
4,1,13.00867748260498,9
4,1,12.999780654907227,8
4,0,13.089044570922852,13
6,1,13.174748420715332,12
4,0,13.130744934082031,8
4,1,13.06208848953247,16
3,0,13.348995685577393,11
5,0,13.157968282699585,8
3,0,13.204648971557617,8
5,1,12.849835395812988,16
4,0,13.096654415130615,11
3,1,13.414318323135376,17
3,1,14.20465898513794,9
5,1,14.951782941818237,16
4,0,16.084745407104492,8
3,1,21.39744234085083,7
2,1,19.02266001701355,13
4,1,24.1806161403656,9
4,1,21.21663212776184,19
7,1,20.270693063735962,13
4,1,21.00624680519104,6
4,0,20.0675950050354,8
4,0,19.77229142189026,11
6,1,20.695456504821777,13
0,0,19.888488292694092,5
5,1,20.48698139190674,21
4,0,20.900660753250122,8
4,1,20.67918562889099,17
4,1,20.005716562271118,13
4,1,20.367838144302368,8
5,1,20.17778515815735,17
1,1,20.166871070861816,8
6,1,20.120231866836548,8
3,1,20.476826667785645,13
4,0,19.67870569229126,8
0,0,20.020147800445557,5
3,0,20.175935745239258,8
4,0,20.62678861618042,11
3,0,20.897705554962158,11
5,0,20.638220071792603,8
3,1,20.62903141975403,9
4,1,20.136834859848022,6
4,0,21.030351877212524,8
4,0,20.091933488845825,8
6,1,20.776681184768677,12
2,0,20.251680850982666,6
3,0,20.351937770843506,11
5,1,20.325815677642822,7
4,0,20.429156064987183,8
5,1,19.410802364349365,17
0,0,19.69234585762024,4
3,0,19.625434637069702,8
4,0,20.533305883407593,11
3,1,20.81509304046631,8
2,1,20.115290880203247,12
4,1,20.144797325134277,10
3,0,20.230592012405396,7
2,1,20.23081064224243,13
4,0,20.493444442749023,11
3,1,19.534660577774048,10
4,1,19.49371862411499,13
0,0,18.957606315612793,5
4,0,19.613893747329712,8
2,0,19.66142702102661,6
3,1,19.40030074119568,8
3,0,19.761480569839478,11
3,0,19.535423517227173,7
3,1,19.96424651145935,13
4,0,18.97835612297058,11
4,0,20.587403059005737,8
0,0,19.72629404067993,5
6,1,20.51681137084961,17
3,0,19.79573106765747,8
3,1,20.02773904800415,17
2,0,20.381588459014893,6
3,0,19.437855005264282,9
4,0,20.418737649917603,8
5,1,21.870086669921875,7
4,0,20.677794456481934,11
5,1,20.498419523239136,14
3,1,20.321351528167725,7
3,0,20.132976055145264,8
4,0,21.730717182159424,8
5,1,21.198532581329346,8
5,1,21.520464658737183,12
2,1,20.948307037353516,11
1,1,20.322990655899048,8
3,1,20.208105325698853,6
7,1,20.446136951446533,12
4,0,19.830353498458862,11
5,1,20.233975410461426,8
7,1,19.846778392791748,7
4,1,20.031840324401855,9
3,1,20.748032569885254,13
4,0,20.93665862083435,11
4,1,19.80361294746399,17
3,1,20.32776689529419,13
5,0,20.932708024978638,8
