ci_initial,ci_final,elapsed_time,iterations
15,3,17.562607049942017,15
12,2,15.076974868774414,17
20,3,14.980093717575073,8
15,3,17.870046377182007,14
18,2,14.87444257736206,14
15,2,10.33499550819397,16
18,2,9.554366827011108,19
11,2,9.621406316757202,20
15,2,9.472018957138062,11
13,3,9.559918403625488,18
14,3,9.58420205116272,19
15,3,9.59012484550476,13
13,3,10.544131994247437,11
12,2,16.35172724723816,16
19,2,11.899278402328491,13
18,2,10.38236379623413,22
15,2,9.79024076461792,14
14,2,10.219650268554688,14
15,2,10.004018068313599,17
18,3,10.202533721923828,13
11,2,9.971847772598267,17
14,2,10.150856018066406,23
16,2,10.18459439277649,21
11,2,9.45794415473938,11
16,2,9.391746520996094,12
12,3,9.40174674987793,13
14,2,9.572734355926514,12
15,3,9.503397464752197,13
13,2,14.40764594078064,12
14,2,14.537076473236084,19
17,1,9.6285560131073,30
13,3,12.253647565841675,26
18,2,9.7359037399292,17
17,2,9.741660356521606,17
13,2,9.556954860687256,24
15,2,9.58962631225586,12
15,2,9.653748273849487,15
12,3,9.546322584152222,21
14,2,9.680579423904419,13
17,2,9.631134033203125,11
15,2,9.658425331115723,18
13,2,9.597239017486572,11
13,2,9.623485326766968,29
13,2,9.726763248443604,12
13,2,9.417623281478882,13
15,1,9.456427574157715,15
16,3,9.501056909561157,16
15,0,9.461108446121216,10
13,2,9.548189878463745,18
14,2,9.477216958999634,14
18,2,9.53806185722351,23
12,3,9.533488750457764,12
15,2,9.47006893157959,19
12,1,9.536153078079224,19
14,3,9.487537860870361,10
14,3,9.516862392425537,16
15,2,9.552156925201416,16
13,3,9.501805543899536,13
11,2,9.552072763442993,11
17,1,9.526787519454956,13
11,2,9.51094913482666,14
17,2,9.565649509429932,13
17,3,9.61062240600586,22
13,2,9.658005237579346,30
12,2,9.60630989074707,9
16,2,10.656164407730103,11
17,2,12.063126564025879,21
18,3,16.61498737335205,15
15,3,13.017992734909058,22
13,2,12.942811012268066,9
14,2,12.551147699356079,24
17,2,15.444826126098633,13
17,2,17.763842344284058,15
17,2,11.636404752731323,10
13,2,9.789626359939575,7
16,2,10.46090841293335,28
14,3,12.242509365081787,18
17,2,9.720191240310669,14
19,2,9.473847389221191,17
11,4,9.784193515777588,12
9,2,10.022115707397461,13
14,2,10.750717878341675,15
15,3,10.170878648757935,25
16,3,9.93754267692566,18
13,3,10.82021450996399,22
12,2,9.732621192932129,30
14,2,10.107431411743164,18
14,1,9.835044145584106,12
14,3,9.570961475372314,10
15,2,9.722517728805542,14
16,3,10.269996404647827,12
19,3,9.813223838806152,11
14,2,10.135086059570312,20
16,2,10.052403211593628,14
13,2,9.840693950653076,14
15,3,9.651791334152222,13
17,2,9.529955625534058,18
12,1,10.700182437896729,22
14,2,9.564774513244629,19
16,2,10.352307558059692,18
17,3,10.24589991569519,17
13,2,10.258084058761597,18
14,2,11.715940713882446,17
16,2,11.772525787353516,12
17,2,12.776204586029053,18
15,3,11.758379220962524,17
17,2,12.29671025276184,10
16,3,12.424657106399536,20
13,3,12.430277585983276,11
14,3,11.219361543655396,14
14,1,15.418436765670776,18
15,2,13.148475408554077,24
11,3,10.148340225219727,10
15,2,12.47209095954895,16
15,2,12.216107845306396,13
18,3,13.962815284729004,17
16,2,12.433031558990479,10
15,2,13.811522006988525,11
15,2,13.101791381835938,13
12,3,13.010629653930664,23
14,2,14.270538330078125,18
11,1,20.713151454925537,17
18,2,13.34316873550415,10
14,2,13.659235954284668,13
18,2,13.028097152709961,10
11,2,13.032686710357666,16
17,3,13.623457431793213,15
12,2,13.095513105392456,9
15,2,12.824135303497314,20
18,1,13.296099662780762,25
16,1,13.03647780418396,17
18,3,13.391035318374634,19
11,2,11.568058729171753,14
14,2,9.49613904953003,14
16,2,12.675335168838501,13
15,2,12.239597797393799,24
13,2,11.841170310974121,10
16,3,13.849967002868652,24
16,2,14.347741603851318,9
16,2,13.109322547912598,14
20,3,13.112138986587524,18
15,3,13.522155523300171,12
17,2,13.236907958984375,17
12,3,13.15813684463501,17
15,1,12.981226444244385,20
18,2,13.02948522567749,14
13,2,14.49890685081482,13
17,3,17.395513772964478,17
16,2,15.835724115371704,13
12,3,14.333811521530151,13
16,1,13.720317840576172,18
18,2,10.669759273529053,18
15,2,9.657652139663696,9
11,1,9.660318851470947,13
16,2,9.742820501327515,18
15,2,9.77117657661438,14
13,1,9.772255659103394,20
14,3,9.894581079483032,22
14,2,9.711211681365967,22
16,2,9.604132175445557,18
15,2,9.746339559555054,17
15,2,9.744274139404297,14
14,3,9.945933103561401,8
17,2,9.836296558380127,13
19,2,9.828862190246582,13
16,2,9.585670471191406,16
15,2,9.567861795425415,25
15,3,9.839271783828735,20
15,2,9.742212533950806,15
17,3,9.876877069473267,18
19,2,9.626734733581543,22
15,2,9.750224590301514,17
16,2,9.691716432571411,9
18,3,9.689958095550537,20
12,3,9.930935859680176,20
14,2,9.85610318183899,17
13,2,9.735840082168579,13
13,2,9.782216310501099,14
18,2,9.614881038665771,14
12,1,9.71541953086853,26
13,3,9.59325098991394,16
15,2,9.531862020492554,17
12,1,9.742934703826904,23
17,2,9.774787664413452,19
14,2,9.628907203674316,11
18,3,9.756764888763428,16
15,3,9.943470001220703,18
13,3,9.83937120437622,18
15,2,9.669926643371582,23
12,2,9.77782917022705,25
15,2,9.442378282546997,10
16,3,9.490662097930908,19
19,2,9.538972854614258,15
15,2,9.929248809814453,18
13,2,10.105669260025024,35
15,2,9.749988079071045,17
16,3,9.561245441436768,12
12,2,9.839813709259033,8
15,2,9.841931104660034,12
15,2,9.820566415786743,8
