ci_initial,ci_final,elapsed_time,iterations
17,3,1.9581525325775146,14
15,4,1.8700330257415771,16
21,4,1.9703741073608398,21
15,3,1.9282104969024658,26
11,3,1.9839131832122803,28
18,3,1.9109156131744385,12
18,4,1.8450005054473877,16
14,3,1.926708459854126,18
19,3,1.8720502853393555,14
23,3,1.9338994026184082,11
17,4,1.9021203517913818,15
18,3,2.0232081413269043,20
17,4,1.8771367073059082,13
15,3,1.9184744358062744,12
21,3,1.8505606651306152,15
14,2,1.8146967887878418,12
18,3,1.949476718902588,19
17,3,1.9775011539459229,10
19,4,1.9242253303527832,14
12,2,1.9402129650115967,35
18,3,1.8636152744293213,23
15,2,1.8491110801696777,18
20,4,1.8898756504058838,10
19,3,1.8782391548156738,18
19,3,1.9552409648895264,22
17,2,1.935307502746582,19
17,3,2.0315253734588623,18
19,4,1.9813573360443115,30
22,3,1.9478938579559326,14
19,3,1.9568500518798828,11
18,3,2.063237428665161,21
15,3,2.4472198486328125,20
15,2,1.9517278671264648,14
19,3,1.9565939903259277,20
15,3,2.088186502456665,32
23,3,2.029478073120117,22
19,3,2.0050723552703857,19
19,3,2.072359085083008,17
18,3,2.0839314460754395,32
22,4,1.9783458709716797,13
14,4,1.991593837738037,9
17,3,1.9134864807128906,23
17,3,1.844435453414917,10
19,3,2.004469633102417,19
17,3,2.050175428390503,20
17,3,2.0059773921966553,11
21,3,1.9387564659118652,14
17,4,2.01780104637146,31
21,4,2.0044772624969482,12
18,2,1.9697980880737305,11
20,4,3.1287970542907715,19
19,2,2.6628541946411133,23
16,3,2.364129066467285,13
17,3,2.2044026851654053,24
18,4,2.088998556137085,14
19,3,2.032705068588257,18
17,3,2.033015489578247,16
15,3,2.0027191638946533,12
13,3,1.9853096008300781,17
16,2,1.9270949363708496,40
17,4,2.1020915508270264,28
16,3,2.038996934890747,27
15,3,2.0654666423797607,14
20,4,1.977952241897583,31
15,3,1.965217113494873,8
16,3,2.0159976482391357,26
18,3,1.9186162948608398,18
13,3,2.0153255462646484,12
19,2,1.903716802597046,30
15,3,2.0698702335357666,13
22,3,1.897378921508789,10
19,3,1.9542007446289062,14
16,3,1.9137401580810547,14
16,4,1.9986028671264648,17
15,3,1.9401822090148926,19
20,3,2.0159683227539062,21
16,3,2.0827715396881104,11
16,3,1.932539939880371,14
17,3,1.9801101684570312,25
17,2,2.0156891345977783,17
16,3,2.0657904148101807,17
20,2,1.9618301391601562,15
18,3,1.9817509651184082,31
17,3,2.0088391304016113,13
20,3,2.0329930782318115,18
18,3,1.913198471069336,22
18,2,1.9630277156829834,14
17,4,1.9854397773742676,21
18,2,1.9892702102661133,22
16,4,1.9775335788726807,15
14,2,1.9966187477111816,15
12,3,2.0894405841827393,14
13,3,1.8956129550933838,15
16,4,1.968946933746338,30
16,2,1.969761610031128,17
18,3,2.0066158771514893,15
19,2,1.9416754245758057,17
15,4,1.9088690280914307,16
19,3,1.9842793941497803,14
19,2,2.011814594268799,8
16,3,1.9658057689666748,18
19,2,1.9748013019561768,12
19,3,1.9755196571350098,10
21,2,2.052053213119507,10
14,3,2.058257818222046,17
14,3,1.9644017219543457,11
20,4,1.9740948677062988,20
19,3,2.0377464294433594,15
17,3,1.998534917831421,16
14,4,2.014693260192871,14
13,3,1.9535646438598633,11
18,2,1.9478495121002197,10
16,2,2.019319534301758,21
15,3,2.0386016368865967,36
18,4,1.9793200492858887,14
15,4,1.949720859527588,11
17,3,1.9930329322814941,12
16,3,1.9686732292175293,13
14,3,1.992906093597412,16
17,3,1.952324628829956,18
20,2,1.931607961654663,17
16,3,2.017552375793457,23
16,2,2.0015790462493896,11
16,4,2.0340869426727295,28
18,3,1.9921300411224365,16
17,4,1.9416213035583496,13
11,3,2.007885456085205,9
12,3,1.925713300704956,19
15,3,1.9387590885162354,21
20,3,1.9843497276306152,12
17,3,1.998727798461914,16
19,4,1.9214997291564941,19
13,4,2.0381178855895996,13
18,2,2.009307861328125,17
14,3,2.001784086227417,13
18,3,1.8948376178741455,13
14,4,2.022083282470703,16
19,3,2.001063823699951,27
21,3,2.0168778896331787,15
17,3,1.9697892665863037,20
15,3,2.05517840385437,23
16,3,2.064053773880005,18
15,3,1.9374608993530273,12
23,3,1.96956205368042,19
18,2,2.033066511154175,13
17,4,1.958420991897583,18
13,2,1.923363208770752,15
18,3,1.9760546684265137,14
12,2,1.9383540153503418,14
15,2,1.9960057735443115,15
15,3,1.9754347801208496,18
15,4,2.044022560119629,27
18,4,1.97281813621521,16
17,3,1.9489874839782715,19
16,4,1.992140531539917,9
18,3,2.0533552169799805,22
18,3,1.8310539722442627,17
14,3,1.9989347457885742,16
15,2,1.9738457202911377,12
12,3,1.8860664367675781,19
14,3,1.9081854820251465,10
19,3,1.9491634368896484,10
15,2,1.9868543148040771,12
13,1,1.977280855178833,11
20,3,1.932558536529541,12
19,3,2.0656328201293945,23
20,4,2.029391050338745,23
19,4,1.9384536743164062,20
15,3,2.0121407508850098,13
22,3,2.020442485809326,32
11,3,1.9220514297485352,17
14,2,2.078261137008667,15
14,3,1.9949028491973877,13
20,2,1.9831359386444092,10
21,2,2.0184881687164307,17
15,3,1.9637806415557861,11
17,2,2.0566182136535645,28
15,3,1.97007417678833,16
15,3,2.0111021995544434,18
17,3,1.9389479160308838,13
14,3,1.968235731124878,30
20,4,1.9138388633728027,13
18,3,1.9708974361419678,20
17,3,2.0090794563293457,21
18,3,2.0225751399993896,17
19,3,1.938309907913208,16
19,3,2.019753932952881,16
16,3,2.0727176666259766,22
16,3,2.014061450958252,21
16,1,1.9858176708221436,13
17,3,2.0584325790405273,16
19,4,1.9795429706573486,12
18,3,1.9497363567352295,26
18,3,1.9889168739318848,15
23,3,1.9690098762512207,15
19,3,1.980699062347412,11
16,3,1.9869089126586914,14
13,3,1.9736390113830566,29
20,2,1.9527945518493652,15
20,4,1.94252347946167,16
