ci_initial,ci_final,elapsed_time,iterations
49,11,4.100147247314453,38
48,10,4.169764280319214,38
47,7,4.058582067489624,30
49,12,4.018465518951416,39
49,9,4.101879835128784,31
49,13,4.055054426193237,47
47,12,4.081264495849609,45
49,11,4.022520303726196,25
47,10,4.091615676879883,61
47,11,4.0980024337768555,45
48,12,4.064337253570557,27
47,11,3.9761674404144287,47
47,11,4.000925540924072,27
47,11,4.000935316085815,46
49,12,4.100347995758057,36
47,11,4.0810158252716064,35
47,12,4.057933568954468,56
47,11,3.9220244884490967,46
48,10,4.0320281982421875,40
48,10,3.983978509902954,24
48,10,4.040955543518066,43
48,13,3.9751617908477783,35
47,12,4.000424146652222,44
49,12,3.9258673191070557,50
47,12,3.9666342735290527,27
48,10,4.016254425048828,37
48,10,3.957726240158081,35
47,9,3.980884552001953,25
47,11,4.034229755401611,42
48,10,4.138291358947754,23
47,11,4.110828876495361,47
48,11,3.919973373413086,39
47,12,3.9888522624969482,41
47,11,4.1762824058532715,30
47,10,3.999431610107422,52
47,12,4.082437992095947,27
49,12,3.9842474460601807,35
48,9,3.977468729019165,42
48,11,4.086174011230469,41
48,10,4.011284828186035,76
47,9,3.970914125442505,41
48,8,4.01108717918396,36
47,10,3.992011785507202,46
47,9,3.98647141456604,49
47,12,4.263749599456787,33
48,10,4.092144250869751,61
47,10,3.9293124675750732,59
47,12,4.096006631851196,50
49,11,4.0702128410339355,39
47,11,3.9697277545928955,35
49,12,4.182051420211792,44
48,11,4.05984354019165,43
47,7,3.9847137928009033,44
47,12,4.149001836776733,52
48,10,4.007786989212036,57
47,10,4.153086423873901,41
48,9,3.988621234893799,52
48,12,4.069449424743652,49
47,11,4.175771236419678,47
47,9,4.665579319000244,37
48,12,3.9356372356414795,40
48,11,4.042512655258179,40
47,9,4.070027828216553,47
48,9,3.9911978244781494,37
47,10,3.9800798892974854,41
48,11,4.088600397109985,37
47,13,4.121007919311523,29
48,11,3.9996840953826904,35
49,11,3.9765636920928955,59
47,11,4.042867660522461,53
48,10,3.992415189743042,33
47,8,4.124162912368774,46
48,13,4.094020843505859,50
47,9,3.977067232131958,49
48,12,4.06818699836731,48
47,12,3.994454860687256,36
47,11,4.187804222106934,50
47,13,4.076603651046753,56
47,10,3.98783802986145,38
48,10,4.053185701370239,41
48,11,4.071036338806152,60
47,12,3.9599509239196777,41
48,12,3.9735891819000244,45
48,13,3.906928539276123,56
49,13,4.019922494888306,36
48,12,4.059258937835693,62
49,13,3.8934485912323,26
47,9,3.9947516918182373,21
48,12,3.873491048812866,36
47,11,4.061761856079102,38
47,13,4.025440692901611,68
48,11,4.035999059677124,36
47,9,3.8866677284240723,55
47,11,3.961665153503418,35
47,10,4.055422067642212,50
48,11,4.059904336929321,28
47,10,3.9465768337249756,56
47,9,3.9862494468688965,47
48,11,4.072416543960571,48
47,12,4.103059530258179,38
47,11,3.8444442749023438,32
47,11,4.17031717300415,39
47,11,3.9758925437927246,59
48,11,3.9328486919403076,40
48,13,4.129227161407471,46
48,12,3.9350481033325195,37
48,11,3.9702868461608887,37
49,12,3.9432196617126465,35
48,10,4.06233024597168,24
48,10,4.042473793029785,62
48,12,4.086963176727295,40
48,12,4.138629198074341,48
47,11,3.974431276321411,22
47,8,4.064270257949829,21
48,11,3.9729256629943848,43
48,12,3.964388370513916,25
47,10,4.104247093200684,45
48,9,3.9639358520507812,57
47,10,4.133671760559082,35
47,10,4.052660226821899,42
47,11,4.103815317153931,31
48,11,4.171597242355347,29
48,13,4.021878957748413,37
48,9,4.153761625289917,37
48,11,4.062184810638428,39
47,10,4.016571760177612,31
47,10,4.094794988632202,36
47,11,4.087280511856079,59
48,12,3.94998836517334,52
49,11,4.038822889328003,57
47,12,4.031600475311279,48
47,14,4.089440107345581,38
48,12,3.99862003326416,32
47,12,4.1254777908325195,43
47,12,4.108295202255249,33
47,11,4.0948402881622314,50
48,12,4.0862085819244385,52
47,11,4.110229253768921,60
47,11,3.9523496627807617,47
47,11,3.9416637420654297,46
49,11,4.056520223617554,39
47,10,3.9489448070526123,42
48,12,3.9543707370758057,31
47,10,4.150871276855469,26
46,11,3.949674129486084,67
48,13,4.135850667953491,43
49,11,4.1327714920043945,56
47,11,4.0859456062316895,35
47,9,4.082516431808472,19
48,11,4.08250880241394,34
47,10,4.065257549285889,43
47,12,4.0076820850372314,36
48,12,4.0542683601379395,36
48,11,4.027580738067627,47
47,11,4.055889129638672,42
48,11,4.027015447616577,38
47,10,4.102131366729736,52
47,10,4.198794841766357,37
47,10,3.952979326248169,54
47,11,4.108529567718506,53
