ci_initial,ci_final,elapsed_time,iterations
12,2,11.679431200027466,12
17,2,12.376421689987183,11
13,2,11.754501104354858,16
15,2,12.193411827087402,17
16,3,12.154330015182495,14
16,3,11.96217942237854,19
16,2,11.750777959823608,17
15,2,12.137332916259766,12
18,3,11.72974705696106,34
15,2,11.895817279815674,14
15,2,11.760161876678467,14
13,2,11.715234518051147,16
14,2,12.459149360656738,19
14,3,12.071629047393799,12
9,2,11.642685174942017,16
14,2,11.744280099868774,14
16,2,12.027682542800903,20
19,3,11.861764669418335,12
18,2,11.907209157943726,27
17,1,11.832699298858643,20
16,2,12.182348728179932,16
17,1,11.77085828781128,9
16,2,12.332563400268555,22
18,3,11.828621625900269,20
14,2,11.900362253189087,15
16,2,11.686573028564453,17
18,3,11.770618677139282,12
16,3,11.821600914001465,14
17,2,12.112182378768921,11
16,3,11.852094173431396,23
15,2,11.973145723342896,17
16,2,11.907247304916382,16
15,3,12.078425645828247,17
15,3,11.893898248672485,11
17,1,11.933900117874146,9
17,2,12.212552070617676,24
16,2,11.782042026519775,10
11,3,11.964073657989502,18
16,3,12.033148765563965,17
15,3,12.063763618469238,17
17,2,11.913060188293457,21
15,2,11.74573802947998,31
14,3,11.847384214401245,13
17,3,11.796648740768433,9
19,2,11.996551752090454,15
17,3,11.73743748664856,22
14,3,11.833925008773804,18
15,3,11.649961948394775,9
16,3,11.730048656463623,23
14,3,12.097020387649536,22
9,2,12.081146478652954,16
17,2,12.432070970535278,10
18,2,12.008472919464111,27
13,2,11.836776494979858,23
16,2,12.335020303726196,20
15,2,11.760111093521118,16
16,2,11.919368267059326,20
17,1,11.89602780342102,9
15,2,12.012369632720947,14
15,3,11.882014036178589,14
15,2,11.97126293182373,21
16,3,11.894134759902954,17
13,2,12.069402933120728,10
17,2,11.692790508270264,15
15,3,11.735945224761963,27
14,3,11.8115975856781,15
14,2,11.960107803344727,15
14,3,12.302951574325562,30
12,2,11.883074283599854,13
17,2,12.293202877044678,17
17,2,11.882107257843018,15
15,3,11.691865921020508,27
11,3,14.966082096099854,18
13,2,15.236831188201904,16
18,3,12.272557020187378,34
18,3,12.231599569320679,14
16,2,12.024894952774048,14
17,2,12.371004819869995,24
16,3,12.057891845703125,11
18,3,12.404303073883057,16
17,2,12.006317853927612,11
19,3,11.925492525100708,14
13,2,11.770172119140625,23
16,3,12.254648685455322,14
16,3,12.181983947753906,13
16,2,12.498344659805298,14
19,2,12.64897346496582,15
11,2,12.480464935302734,15
17,2,12.314728498458862,11
19,4,12.224132537841797,12
