ci_initial,ci_final,elapsed_time,iterations
2,0,14.903545141220093,12
2,0,14.732490539550781,6
3,0,15.478834629058838,8
2,0,15.493661642074585,6
2,0,14.573270559310913,10
2,0,14.997018098831177,5
2,0,16.768386125564575,5
0,0,16.76289439201355,4
2,0,17.1579647064209,9
1,0,16.94801139831543,10
1,0,16.134995698928833,5
1,0,15.330869197845459,12
2,0,14.953309059143066,5
1,0,12.745611906051636,5
2,0,13.353276014328003,10
2,0,14.410515308380127,7
2,0,16.11381220817566,8
5,0,13.671652793884277,7
3,0,21.108789205551147,5
1,0,22.498096466064453,6
1,0,16.589152097702026,5
0,0,15.746585607528687,4
0,0,16.138959646224976,4
1,0,14.520252227783203,7
0,0,16.633920907974243,4
1,0,18.990407705307007,6
0,0,19.076542377471924,4
1,0,17.084839820861816,5
3,0,17.160565853118896,8
1,0,17.150927782058716,4
2,0,14.870774269104004,5
0,0,14.731196165084839,5
0,0,14.929295301437378,4
1,0,15.266419410705566,7
2,0,14.768686056137085,5
0,0,14.892964124679565,4
1,0,14.987488031387329,5
0,0,14.916357517242432,5
1,0,15.163073778152466,6
1,0,15.286938428878784,5
1,0,14.45504379272461,4
1,0,14.543889999389648,5
3,0,14.937945127487183,11
2,0,14.892964124679565,9
2,0,15.042577743530273,5
1,0,20.84386396408081,5
1,0,21.323350429534912,5
1,0,17.315663814544678,5
2,0,14.81092882156372,6
1,0,18.831714391708374,7
0,0,14.283203363418579,4
1,0,14.086144924163818,16
3,0,15.156875133514404,7
2,0,18.518738985061646,6
1,0,14.084487438201904,5
1,0,14.148601293563843,5
1,0,14.062678813934326,5
3,0,14.535243272781372,5
0,0,14.500173091888428,5
1,0,14.466535329818726,12
1,0,18.351109504699707,6
0,0,13.274481058120728,5
2,0,13.3003990650177,5
0,0,15.228248834609985,5
1,0,11.872008085250854,4
2,0,11.615110158920288,5
1,0,15.013358116149902,11
3,0,11.41638994216919,6
2,0,11.391008615493774,6
1,0,14.882187843322754,10
1,0,15.982278108596802,4
1,0,11.591720581054688,9
1,0,12.063637495040894,5
3,0,11.71857213973999,7
0,0,12.044506788253784,5
3,0,13.390530109405518,15
0,0,11.412494659423828,5
1,0,11.42849087715149,4
1,0,11.56725263595581,4
1,0,11.807278394699097,6
1,0,11.643516778945923,5
1,0,11.401997327804565,5
1,0,11.5037100315094,5
1,0,11.976559162139893,7
1,0,11.566011667251587,4
1,0,11.350917100906372,5
1,0,12.221343278884888,14
2,0,11.782455205917358,13
2,0,11.275668859481812,5
2,0,12.495053052902222,5
0,0,15.42194938659668,4
1,0,12.412366390228271,5
1,0,12.004055500030518,5
2,0,11.51177167892456,8
2,0,12.569097518920898,12
1,0,13.590008974075317,4
1,0,12.515650033950806,10
0,0,12.764578580856323,4
1,0,12.456918478012085,4
3,0,12.634548902511597,9
2,0,12.559521913528442,10
2,0,12.705732107162476,9
1,0,12.765949964523315,8
3,0,13.361573696136475,14
1,0,13.344380855560303,5
1,0,12.536548137664795,10
1,0,12.618283748626709,5
0,0,13.605540037155151,5
0,0,12.008962869644165,5
0,0,12.114848613739014,4
2,1,12.010700702667236,7
1,0,12.117730379104614,5
2,0,12.270445823669434,7
3,0,12.146208047866821,8
2,0,12.250386953353882,7
0,0,12.804638624191284,5
2,0,12.367389917373657,5
1,0,12.906649827957153,5
2,0,12.421722650527954,7
3,0,13.360008001327515,7
2,0,13.039109945297241,12
0,0,12.477744579315186,4
1,0,12.624274730682373,4
1,0,12.967893362045288,5
1,0,12.22215485572815,5
1,0,12.285327911376953,5
2,0,13.449043035507202,8
2,0,12.841904878616333,6
1,0,12.733717679977417,7
2,0,12.6611647605896,5
1,0,12.87670636177063,5
1,0,13.024534702301025,5
1,0,12.474196910858154,8
0,0,12.640320062637329,4
2,0,12.442682266235352,7
2,0,12.573795318603516,10
1,0,12.399115324020386,6
2,0,12.30402421951294,6
2,0,12.62449860572815,8
2,0,12.43184518814087,7
2,0,12.33153748512268,7
1,0,12.801905393600464,11
0,0,12.390467405319214,4
0,0,12.538415670394897,5
1,0,12.464308500289917,7
3,0,12.329355955123901,7
1,0,12.460603475570679,5
1,0,12.354985475540161,5
1,0,12.751480102539062,5
2,0,12.408955335617065,7
1,0,12.517153978347778,6
1,0,12.477140665054321,15
1,1,12.473085165023804,4
2,0,12.459484100341797,9
0,0,12.831184148788452,5
1,0,12.58913803100586,5
2,0,12.697493076324463,11
1,0,12.528964519500732,8
2,0,11.687689781188965,5
0,0,11.56250524520874,5
2,0,11.812844038009644,9
1,0,11.564301013946533,5
2,0,11.653352737426758,8
1,0,11.484777688980103,7
1,0,11.579700946807861,6
1,0,11.493947267532349,10
2,0,11.450133085250854,6
1,0,11.547720909118652,6
2,0,11.759853601455688,10
2,0,11.437751054763794,5
1,0,11.58958387374878,6
0,0,11.519700288772583,5
3,0,11.628515005111694,6
1,0,11.483364582061768,7
0,0,13.863525867462158,5
0,0,19.513720750808716,4
1,0,13.290389776229858,4
0,0,12.777141571044922,4
4,0,12.586481094360352,9
3,0,12.44716763496399,5
1,0,13.12313437461853,9
2,0,12.664397478103638,8
2,0,12.379176139831543,5
0,0,13.255098104476929,4
2,0,12.343050479888916,5
1,0,15.457886934280396,5
1,0,14.705050468444824,15
1,0,14.980422973632812,5
2,0,18.47301745414734,14
3,0,17.174416065216064,5
0,0,17.074931383132935,4
3,0,12.971934080123901,6
1,0,13.77753758430481,4
0,0,12.408545017242432,4
1,0,13.626218795776367,5
3,0,15.239872455596924,6
1,0,21.4786958694458,6
0,0,13.232477903366089,4
1,0,12.658132553100586,6
0,0,15.722764015197754,5
