ci_initial,ci_final,elapsed_time,iterations
3,3,12.390884160995483,9
4,3,12.074016332626343,7
7,2,11.61689043045044,20
6,3,11.876347064971924,23
3,2,11.672947883605957,8
5,2,11.554077625274658,9
4,2,12.101402044296265,16
5,3,13.449337244033813,21
6,2,13.596913576126099,18
6,3,13.603144645690918,20
6,3,17.1202609539032,11
8,3,13.472375631332397,16
6,2,12.163235187530518,12
3,2,12.65845251083374,5
6,3,14.186572074890137,9
6,3,12.478253841400146,34
5,3,19.740333795547485,9
7,3,14.671897411346436,19
5,3,13.259737253189087,14
7,2,11.975578546524048,12
4,2,12.544342756271362,13
6,3,12.517985105514526,15
6,3,13.481730461120605,10
4,3,13.596604108810425,15
3,2,12.754116535186768,20
7,3,13.880342483520508,14
5,3,15.921080589294434,8
5,2,13.46973466873169,8
5,3,12.825477361679077,12
1,1,15.559269189834595,5
3,2,13.12786865234375,9
4,3,13.804871559143066,11
5,2,12.627028226852417,15
4,3,12.81872034072876,14
4,3,14.808313131332397,15
4,2,13.830389976501465,19
5,3,12.687492847442627,8
6,2,14.482941627502441,11
4,3,13.423710346221924,19
6,2,12.926989555358887,16
6,3,13.090839862823486,19
4,3,14.479714155197144,14
4,4,17.019994497299194,13
7,3,12.99404788017273,18
5,3,14.041205883026123,15
7,3,13.692234754562378,12
5,3,13.459786176681519,15
5,3,14.636198043823242,12
4,3,12.921553134918213,10
6,3,12.356843948364258,11
5,3,14.873208999633789,15
6,3,11.981683492660522,13
5,2,12.924954175949097,24
5,2,13.421120405197144,27
4,2,11.759651184082031,10
4,2,11.440974950790405,11
4,3,12.123008728027344,15
5,3,15.556199789047241,10
4,3,12.934263944625854,20
6,3,12.607658863067627,20
6,2,13.120041847229004,30
5,2,13.244109869003296,12
4,3,13.097620248794556,12
6,3,14.954219341278076,22
7,3,13.550206422805786,20
3,2,14.058587074279785,8
4,3,12.884553670883179,24
6,3,12.414284229278564,20
5,2,11.693780422210693,27
7,3,14.499410629272461,14
5,3,13.934479713439941,10
6,3,12.798628807067871,9
5,3,12.927198648452759,8
3,2,11.40610647201538,6
5,3,14.38673734664917,7
5,2,13.34061312675476,24
4,3,14.078903198242188,20
6,3,14.970703125,11
4,1,12.283894538879395,13
5,3,11.83282732963562,15
5,3,11.773105382919312,13
5,3,11.986449241638184,23
5,2,11.887070894241333,10
6,2,11.754124164581299,13
6,3,11.751515865325928,10
4,3,12.238382339477539,16
3,2,11.63388204574585,20
5,2,11.934652328491211,13
5,3,11.753519535064697,12
2,2,11.912541389465332,12
4,2,11.762110233306885,11
3,3,12.02593994140625,10
5,3,11.759697198867798,16
7,2,11.928164720535278,14
5,2,11.894223690032959,12
5,3,12.35496211051941,13
3,3,11.645060300827026,12
5,3,11.862511396408081,17
4,2,11.600832223892212,10
6,3,11.545498371124268,13
