ci_initial,ci_final,elapsed_time,iterations
4,0,14.877846717834473,11
4,0,13.154773473739624,8
4,1,14.23556900024414,17
6,1,15.27076268196106,12
5,1,13.993356704711914,13
2,1,15.823620796203613,13
2,1,13.140724420547485,8
4,0,13.355867385864258,8
5,1,16.76815629005432,13
4,0,17.98491358757019,13
2,0,13.1409170627594,6
5,1,14.609146118164062,12
3,0,13.83048677444458,13
5,1,13.839889764785767,16
5,1,17.257006406784058,21
2,1,20.117173671722412,10
4,1,13.03456735610962,10
2,1,13.030063152313232,12
4,0,13.556928157806396,11
4,1,14.481438636779785,9
3,1,13.367164373397827,7
5,1,14.149043321609497,13
4,0,14.50030517578125,11
3,0,14.996175289154053,7
2,1,15.46466588973999,13
5,1,14.9432532787323,14
4,0,14.963292598724365,11
4,0,22.200521230697632,13
4,1,20.644022464752197,16
2,1,24.494903326034546,7
3,0,26.276272296905518,8
4,0,21.000231504440308,11
4,0,19.647330284118652,11
4,0,14.401504755020142,11
5,1,22.54079842567444,17
3,1,15.770801067352295,9
4,1,16.39496374130249,17
3,0,14.278128623962402,13
6,1,14.046910762786865,17
7,1,14.348703861236572,13
3,1,14.173917770385742,13
4,1,15.009127140045166,8
4,0,14.328853845596313,11
2,1,15.115397453308105,10
4,1,18.10568857192993,17
4,0,14.002669334411621,8
5,1,14.317794799804688,8
2,1,13.590259790420532,8
4,0,13.321243524551392,8
4,1,13.49422025680542,16
4,1,13.869254350662231,19
3,0,13.421052932739258,11
2,1,14.116115808486938,8
3,0,15.196477174758911,8
5,0,15.179919242858887,8
4,1,16.298304557800293,10
4,1,18.706637859344482,10
4,0,15.111422538757324,8
4,0,15.105228424072266,8
2,1,15.727779388427734,8
5,1,14.936653137207031,12
4,1,15.577999830245972,7
7,1,13.283389806747437,12
4,1,15.175956726074219,16
3,1,14.599800109863281,7
4,0,14.53607964515686,8
3,0,13.2007896900177,8
4,1,13.846340656280518,14
6,1,15.044232606887817,12
4,0,13.510695934295654,8
4,0,13.684626817703247,11
4,0,14.628650188446045,13
4,1,13.995312452316284,6
5,1,13.442525148391724,14
4,0,14.243760108947754,8
3,0,13.438480615615845,11
5,1,14.092105865478516,13
4,0,13.819150924682617,13
4,1,14.43033242225647,6
3,1,14.119907140731812,7
6,1,13.504392147064209,13
4,0,13.816378116607666,13
2,1,13.64497447013855,8
4,1,13.417861938476562,17
3,0,14.037334442138672,7
4,1,13.496441841125488,13
4,0,13.467820644378662,8
1,1,13.714336633682251,8
3,0,13.114229917526245,8
3,0,13.522048473358154,9
2,1,13.248030662536621,6
4,0,13.903802156448364,8
4,0,13.216951370239258,8
3,0,13.438964366912842,7
4,1,14.363062620162964,17
6,1,13.947112798690796,12
5,1,13.134105682373047,7
4,0,13.344913482666016,11
3,0,13.452415466308594,7
5,1,13.700792789459229,17
