ci_initial,ci_final,elapsed_time,iterations
20,3,1.9362397193908691,20
17,3,2.003007650375366,16
19,3,1.97072172164917,20
15,2,2.131760358810425,8
18,3,2.00608491897583,30
18,3,1.9880847930908203,17
22,4,2.0295777320861816,22
17,2,2.01973032951355,10
17,2,2.0311946868896484,14
17,2,1.9632694721221924,17
16,4,1.9557578563690186,13
18,3,2.095665454864502,13
19,4,1.9536733627319336,12
16,4,1.9284334182739258,21
18,3,1.9894506931304932,13
20,4,1.9366605281829834,12
18,3,1.9266633987426758,15
14,4,1.9390861988067627,14
18,4,1.9995253086090088,14
15,2,1.9280359745025635,28
19,3,1.9286508560180664,11
16,4,2.0115697383880615,13
19,3,1.9383795261383057,18
15,2,1.9771616458892822,27
12,3,1.968935251235962,15
16,2,2.0168042182922363,15
19,2,1.986109972000122,21
16,2,2.1007211208343506,12
15,3,1.9628777503967285,12
22,4,1.9687988758087158,16
19,3,2.0399580001831055,17
15,3,2.009559154510498,20
19,2,2.027024269104004,16
21,4,2.0179049968719482,16
15,3,3.3051064014434814,18
15,3,3.0408899784088135,13
17,3,4.501498699188232,12
14,3,3.261631727218628,17
16,2,3.5089821815490723,14
15,3,2.397523880004883,12
16,3,4.010842561721802,27
20,3,3.287252187728882,15
18,3,3.8422482013702393,10
15,3,2.634413480758667,19
14,1,3.1184494495391846,18
14,3,2.3351755142211914,14
18,3,2.098024368286133,23
19,4,2.6892223358154297,12
17,3,2.5378191471099854,21
19,3,3.0354511737823486,13
15,3,3.526676654815674,13
22,3,2.3082330226898193,21
16,4,2.433882236480713,13
22,2,2.202920436859131,32
19,4,1.9782369136810303,16
17,4,2.043501377105713,18
14,3,2.42588210105896,18
18,3,2.375718593597412,26
16,4,2.039099931716919,18
16,3,2.378770112991333,13
20,3,2.3075811862945557,20
15,2,2.1834330558776855,13
21,4,2.6562397480010986,13
15,3,2.210101366043091,17
18,3,2.435922861099243,25
15,3,2.1526553630828857,20
16,2,2.5126192569732666,20
17,3,6.942192316055298,20
18,4,6.733183860778809,17
21,4,2.165523052215576,17
16,3,2.2825992107391357,14
17,2,2.2344043254852295,14
17,3,1.9810001850128174,20
18,3,2.2046661376953125,19
16,4,7.66341757774353,17
17,3,2.2024648189544678,9
15,3,2.2925736904144287,11
15,3,2.1085658073425293,9
16,3,2.1707091331481934,14
22,3,1.9945333003997803,12
18,3,2.3068344593048096,16
16,2,5.973729610443115,9
18,3,2.1762609481811523,32
15,3,4.871150016784668,18
16,4,3.381204128265381,21
19,3,2.2339866161346436,20
18,4,2.382042169570923,16
17,3,2.037224531173706,23
16,3,2.509580612182617,19
18,3,2.5593810081481934,25
20,5,3.5015389919281006,25
19,4,3.6203908920288086,11
16,2,2.15903377532959,16
19,3,2.2464468479156494,12
16,4,2.063347578048706,12
15,4,2.6527891159057617,17
24,3,2.1375985145568848,18
15,2,2.068800210952759,18
14,3,2.0560293197631836,22
16,4,1.9902987480163574,10
