ci_initial,ci_final,elapsed_time,iterations
48,10,4.16968297958374,44
47,12,4.153743505477905,32
47,9,4.06496524810791,46
48,13,4.021260976791382,39
47,8,4.086226463317871,37
47,12,4.007326126098633,28
47,10,4.191528081893921,54
47,10,3.9412388801574707,29
47,11,3.9999594688415527,56
47,11,4.13335108757019,52
47,10,4.1368701457977295,62
49,12,4.076751947402954,40
47,11,4.013090133666992,48
47,10,4.170423269271851,34
48,10,4.156335353851318,54
47,9,3.982414960861206,47
47,11,4.1047563552856445,47
47,11,3.9667088985443115,37
47,10,4.068702697753906,40
47,12,4.050652265548706,52
48,10,4.052372217178345,37
48,10,4.04778265953064,44
47,11,4.004115343093872,26
47,12,3.996579885482788,52
47,12,4.132213830947876,41
48,11,4.1546759605407715,49
47,12,4.081680774688721,58
47,10,4.150620698928833,38
47,12,4.0822343826293945,44
47,11,4.670099496841431,45
47,12,4.099324464797974,31
47,10,4.054264307022095,36
48,10,4.052453279495239,36
48,12,4.209863901138306,42
49,10,4.131024122238159,61
48,11,4.021535396575928,30
48,12,4.007219076156616,47
48,11,4.02290153503418,35
47,11,3.971081495285034,58
47,12,4.160200119018555,35
47,10,4.101536273956299,46
47,12,4.029004096984863,46
49,11,4.121379852294922,42
48,13,3.9916293621063232,47
49,9,4.071398735046387,37
47,10,4.016030550003052,30
47,10,4.164884567260742,52
49,12,4.0168914794921875,36
47,11,4.047657251358032,50
48,10,3.9532089233398438,39
47,10,4.037121295928955,42
47,12,4.067885160446167,35
47,11,3.9472596645355225,29
48,11,4.047907590866089,31
47,11,4.020499229431152,37
47,9,4.191314697265625,37
47,12,4.03617262840271,41
49,11,3.994044780731201,32
48,14,4.040639400482178,50
47,9,4.002728462219238,59
48,12,4.023664951324463,39
47,11,4.131027936935425,41
47,12,4.054351091384888,41
47,12,4.089198350906372,62
48,11,3.991173267364502,52
48,12,4.004072904586792,19
47,10,4.008105516433716,28
47,10,4.1012513637542725,35
47,11,4.138685703277588,40
49,12,4.1238789558410645,57
49,12,3.9830691814422607,29
47,9,4.062909841537476,29
47,11,4.063802242279053,55
48,10,4.025072336196899,30
49,13,4.091506242752075,27
47,10,4.120532751083374,27
47,10,4.04899525642395,52
49,12,4.099405527114868,27
47,11,4.20776104927063,56
47,9,4.05251932144165,35
47,11,4.005102634429932,40
48,11,4.0413923263549805,46
47,10,3.9015533924102783,51
47,12,3.9933886528015137,50
48,10,4.017387390136719,35
47,10,4.005638599395752,47
47,10,4.3084492683410645,43
47,10,4.229751825332642,37
48,14,4.111963987350464,36
47,10,4.0560619831085205,29
47,11,4.136868476867676,39
49,11,4.062950134277344,36
47,11,4.158003091812134,47
47,12,4.0632688999176025,32
47,10,4.069437026977539,40
49,12,4.18430495262146,27
48,12,4.029170513153076,69
47,10,4.198265314102173,26
47,11,4.18341326713562,60
49,11,3.981523275375366,46
