ci_initial,ci_final,elapsed_time,iterations
17,2,11.490490198135376,24
13,2,11.54544186592102,12
16,2,11.444703340530396,10
16,2,11.387894630432129,10
13,3,11.578243255615234,18
17,2,11.46252179145813,24
15,3,11.435407161712646,18
17,3,11.424128293991089,9
18,3,11.502720594406128,12
18,3,11.50766921043396,14
13,2,11.685358762741089,11
16,2,11.923680543899536,18
12,2,11.41801142692566,7
13,3,11.442043542861938,28
20,3,11.384989976882935,21
18,2,11.365454912185669,29
16,2,11.452084302902222,17
17,1,11.462461233139038,9
16,3,11.451093196868896,17
14,3,11.491595983505249,15
17,1,11.444142818450928,20
11,2,11.471715450286865,9
13,2,11.52062463760376,10
15,2,11.385685443878174,14
13,3,11.474952220916748,14
17,2,11.493273973464966,10
15,2,11.607857942581177,12
18,3,11.521916389465332,12
20,3,11.542885303497314,21
17,2,11.510085344314575,24
15,3,11.46802306175232,17
12,2,11.334916353225708,12
13,2,11.372649431228638,12
17,2,11.210230827331543,17
14,2,11.375585556030273,14
13,2,11.297387838363647,10
15,3,11.409733533859253,22
20,3,11.442261219024658,21
15,3,11.44421935081482,11
16,2,11.424022436141968,10
18,2,11.516985177993774,22
17,3,11.368979692459106,12
13,1,11.359295845031738,10
20,2,11.349008083343506,11
19,3,11.39346432685852,25
14,2,11.410435199737549,20
13,2,11.38022494316101,13
15,2,11.490474224090576,12
12,2,11.389529466629028,13
19,2,11.37286114692688,15
16,3,11.329545021057129,12
15,2,11.417229890823364,31
11,2,11.461216449737549,9
14,2,11.350316047668457,19
17,2,11.335671186447144,11
15,2,11.376625776290894,31
13,1,11.302149772644043,10
17,2,11.460451364517212,17
11,2,11.37048864364624,12
17,3,11.391540765762329,23
13,1,11.335707664489746,10
14,2,11.391010761260986,20
16,2,11.530658721923828,18
18,3,11.434581279754639,20
16,3,11.443960666656494,23
14,2,11.43932819366455,14
13,2,11.377101182937622,23
14,2,11.337281465530396,19
17,3,11.419803142547607,18
18,3,11.376991987228394,20
14,2,11.60559892654419,24
13,3,11.347752332687378,14
14,2,11.439368486404419,20
14,2,11.36504864692688,20
16,3,11.2948157787323,17
19,3,11.383573055267334,21
17,2,11.44451093673706,11
13,2,11.41378927230835,16
15,2,11.338043689727783,14
17,3,11.453701734542847,13
14,2,11.399112462997437,19
14,3,11.352840423583984,15
14,2,11.379900455474854,19
15,3,11.622682094573975,11
14,2,12.56820559501648,14
13,2,11.86387586593628,12
18,2,11.932115077972412,10
14,2,11.584238529205322,16
16,2,11.753867149353027,11
13,2,11.553542613983154,10
14,2,11.450688123703003,14
13,2,11.546663284301758,10
17,2,11.55582571029663,17
12,2,11.515770435333252,13
16,3,11.644993782043457,11
15,3,11.562587261199951,9
16,2,11.505718231201172,18
13,2,11.511326551437378,10
14,2,11.885966777801514,19
13,2,11.514121770858765,12
