ci_initial,ci_final,elapsed_time,iterations
2,0,11.610217571258545,5
2,0,11.501271724700928,9
0,0,11.329294919967651,6
3,0,11.285561084747314,7
1,0,11.460183382034302,8
2,0,11.787904262542725,5
1,0,12.930742025375366,5
3,0,13.252673864364624,6
2,0,11.459588527679443,6
0,0,11.235496997833252,6
3,0,11.430060148239136,14
2,0,11.258115768432617,8
1,0,11.331144332885742,7
1,0,11.447410583496094,5
2,0,11.202704429626465,18
2,0,11.29629898071289,8
0,0,11.917644739151001,4
2,0,13.918592691421509,9
1,0,11.735201597213745,5
0,0,11.355509757995605,6
1,0,11.43573522567749,4
2,0,11.812682151794434,7
0,0,11.412197351455688,5
1,0,11.660302639007568,11
2,0,14.001343727111816,11
2,0,13.148648977279663,11
1,0,11.779311895370483,5
1,0,12.865745067596436,6
0,0,12.200087547302246,4
1,0,11.715610980987549,10
0,0,12.076707124710083,5
0,0,11.453569412231445,5
3,0,11.602867126464844,8
1,0,12.033717393875122,6
1,0,11.916685581207275,4
2,0,11.293517351150513,7
1,0,11.277955770492554,8
1,0,11.341978788375854,6
2,0,12.123799324035645,5
1,0,11.273768663406372,7
2,0,11.523770332336426,10
0,0,11.4015052318573,4
1,0,11.355401754379272,7
1,0,11.44071078300476,5
1,0,12.21485686302185,13
1,0,14.643028974533081,5
1,0,12.423264265060425,6
2,0,13.707682847976685,5
3,0,13.105888605117798,6
2,0,12.332310676574707,15
1,0,13.001585483551025,4
3,0,15.05077075958252,11
2,0,11.797820806503296,11
2,0,13.464991569519043,5
1,0,13.947903156280518,4
2,0,14.925178289413452,8
1,0,12.263327598571777,4
3,0,12.934592008590698,7
2,0,11.898176908493042,11
0,0,11.59885287284851,4
3,0,14.844300031661987,5
3,0,11.306591272354126,10
2,0,12.166401386260986,8
1,0,11.407775640487671,5
0,0,11.558898210525513,5
1,0,11.85704779624939,22
2,0,11.48302173614502,10
1,0,11.278578042984009,4
0,0,11.025932312011719,4
2,0,11.192110538482666,5
0,0,11.898044347763062,5
1,0,12.773306131362915,5
1,0,11.749513864517212,6
1,0,11.558119535446167,11
3,0,11.778927087783813,8
2,0,15.151066541671753,9
1,0,12.175458431243896,13
1,0,11.802767753601074,6
1,0,14.3191978931427,6
2,0,11.133208513259888,4
0,0,11.393564701080322,5
2,0,11.923923254013062,7
3,0,12.007306337356567,8
1,0,16.04524064064026,5
2,0,17.43189287185669,5
0,0,11.547195434570312,5
0,0,11.695310354232788,4
0,0,11.12999939918518,4
1,0,12.117992162704468,5
1,0,11.45847773551941,5
1,0,12.428292036056519,10
1,0,11.17823338508606,8
1,0,12.148253917694092,5
2,0,12.103140354156494,7
1,0,11.930840253829956,5
3,0,13.251065254211426,13
2,0,13.613908767700195,7
1,0,11.146199703216553,5
3,1,11.205538511276245,8
2,0,11.267792224884033,7
