ci_initial,ci_final,elapsed_time,iterations
5,3,10.866638898849487,12
4,2,11.50753903388977,20
6,3,11.111471176147461,18
5,3,11.385921955108643,22
6,3,11.072278022766113,22
4,3,11.505006790161133,10
4,2,11.491544485092163,10
6,4,11.17739725112915,23
6,3,11.495404720306396,15
4,2,11.383333444595337,9
6,1,17.790974617004395,26
5,3,18.19098162651062,17
4,3,18.009117364883423,10
4,3,21.828653812408447,12
6,3,19.901787757873535,13
5,2,18.897101640701294,13
5,3,19.06420087814331,12
5,2,17.275283098220825,12
6,2,19.334911108016968,13
5,3,18.790799617767334,16
4,3,18.551812648773193,15
4,3,17.68348264694214,13
6,3,16.834980726242065,25
3,1,17.882047414779663,19
4,3,20.32650589942932,11
5,2,18.533324241638184,12
5,2,18.496829748153687,23
5,2,18.16482663154602,9
4,2,18.97208571434021,12
5,2,16.998324394226074,14
