ci_initial,ci_final,elapsed_time,iterations
5,0,13.18420934677124,8
3,1,12.809123516082764,17
3,1,13.087718963623047,13
2,1,13.128538131713867,13
7,1,12.745403051376343,13
5,1,13.0747709274292,17
4,0,13.219597578048706,11
3,0,12.889260292053223,7
2,1,12.805789470672607,8
5,1,13.21100640296936,7
5,0,18.118637561798096,8
4,1,17.944211721420288,17
1,1,18.084286212921143,5
3,1,18.661622762680054,8
4,0,18.209293365478516,8
4,1,19.11539936065674,10
2,1,18.2196786403656,8
4,1,17.013378620147705,10
6,1,18.329723596572876,13
1,1,18.629653930664062,8
2,1,18.31084156036377,9
5,0,18.923412084579468,8
4,0,18.12335705757141,11
5,1,17.291447639465332,10
4,0,17.196062088012695,8
3,0,17.204800605773926,11
4,0,17.277742624282837,11
2,1,17.948338747024536,7
0,0,17.910534381866455,4
5,0,17.69629216194153,8
