ci_initial,ci_final,elapsed_time,iterations
11,3,11.492820262908936,18
17,1,11.44359540939331,9
13,3,11.310556650161743,20
16,3,11.459242582321167,10
19,3,11.45676064491272,13
17,3,11.329519748687744,22
17,2,11.38217043876648,11
14,2,11.420721054077148,24
18,2,11.388676881790161,29
11,2,11.528713464736938,15
14,3,14.013856410980225,23
15,2,13.869455099105835,17
17,2,13.931360960006714,17
14,2,13.800331354141235,14
16,2,14.04081916809082,14
14,3,13.297638177871704,16
15,2,13.199625015258789,12
13,2,13.472628831863403,16
18,2,13.891279697418213,22
15,2,13.37614130973816,25
14,2,13.549251079559326,19
15,3,13.790830612182617,17
17,2,13.618059635162354,15
11,2,14.648596286773682,15
15,3,13.600617408752441,9
17,1,14.26910924911499,20
15,3,13.945058822631836,14
17,3,13.473659992218018,11
15,2,14.180051803588867,17
19,2,13.621259927749634,15
