ci_initial,ci_final,elapsed_time,iterations
1,1,0.1325681209564209,7
0,0,0.16594505310058594,5
2,2,0.1301896572113037,6
2,2,0.17338061332702637,6
3,1,0.17135190963745117,9
2,2,0.14571690559387207,8
2,1,0.17854070663452148,8
2,2,0.17984819412231445,6
3,3,0.1498873233795166,8
3,3,0.15151548385620117,15
0,0,0.1814255714416504,5
0,0,0.40409207344055176,4
3,2,0.7210657596588135,9
3,1,0.14278578758239746,15
3,2,0.2614715099334717,5
3,3,0.14057540893554688,9
2,2,0.16286754608154297,9
2,1,0.12605619430541992,5
2,2,0.15952825546264648,6
3,3,0.13039565086364746,11
3,3,0.1468486785888672,15
2,2,0.15567350387573242,6
2,2,0.21749305725097656,6
2,1,0.13390445709228516,7
2,1,0.16693663597106934,7
4,3,0.17984390258789062,19
2,2,0.12345051765441895,6
2,2,0.13320398330688477,12
3,3,0.14461445808410645,18
2,2,0.22162508964538574,4
2,1,0.12003779411315918,21
2,2,0.16082763671875,7
3,3,0.12443208694458008,12
3,3,0.22798776626586914,10
0,0,0.14418435096740723,4
2,2,0.13834023475646973,15
2,2,0.13245534896850586,10
1,1,0.2460496425628662,4
2,2,0.14190149307250977,8
0,0,0.1418018341064453,4
4,3,0.1359081268310547,16
1,1,0.12280035018920898,5
2,2,0.21103405952453613,6
1,1,0.09876346588134766,4
3,1,0.17498421669006348,10
1,1,0.1299114227294922,5
3,2,0.13101458549499512,7
0,0,0.23139524459838867,5
2,2,0.12578749656677246,6
3,2,0.11179876327514648,8
2,2,0.13381266593933105,10
3,2,0.1267848014831543,10
3,2,0.12531161308288574,7
1,1,0.14167141914367676,4
1,1,0.11089801788330078,4
0,0,0.15341544151306152,5
2,2,0.23065447807312012,7
3,2,0.17722702026367188,10
1,0,0.16211795806884766,8
1,1,0.14708662033081055,9
1,1,0.11123347282409668,6
2,1,0.13785910606384277,8
2,2,0.15247845649719238,22
2,2,0.12671136856079102,5
0,0,0.16009879112243652,5
3,2,0.1481161117553711,17
2,2,0.1414501667022705,13
3,2,0.21938729286193848,10
2,1,0.17691659927368164,8
0,0,0.13378429412841797,5
2,1,0.2453446388244629,10
0,0,0.14821577072143555,4
2,2,0.1518259048461914,7
2,2,0.11103653907775879,7
1,1,0.20882153511047363,5
3,2,0.1793065071105957,18
0,0,0.16401147842407227,4
3,2,0.12462782859802246,7
2,2,0.1283245086669922,7
1,1,0.2235260009765625,4
1,1,0.14466547966003418,6
0,0,0.1297919750213623,4
3,3,0.16281366348266602,15
3,3,0.1259307861328125,7
3,2,0.12675261497497559,8
0,0,0.1238553524017334,4
2,1,0.2008669376373291,6
2,2,0.17015957832336426,8
2,2,0.13298487663269043,9
1,1,0.13975286483764648,8
1,1,0.14959716796875,9
1,1,0.15046977996826172,6
4,2,0.13840293884277344,10
1,1,0.11930489540100098,4
1,1,0.1233670711517334,4
2,2,0.23421955108642578,7
3,2,0.13733267784118652,9
3,2,0.13963723182678223,11
0,0,0.1409626007080078,4
4,3,0.14064717292785645,14
3,2,0.20816922187805176,9
0,0,0.16268348693847656,4
2,2,0.15477895736694336,13
2,2,0.11124181747436523,8
4,2,0.14113664627075195,15
1,1,0.11867451667785645,5
5,4,0.14372682571411133,11
0,0,0.12388348579406738,4
1,1,0.22940707206726074,5
2,2,0.15545392036437988,6
2,2,0.1427009105682373,10
1,1,0.12455296516418457,5
2,2,0.22685599327087402,11
1,1,0.169478178024292,5
1,1,0.11400365829467773,6
4,2,0.2399439811706543,11
0,0,0.11395859718322754,4
1,1,0.17474985122680664,5
0,0,0.21317028999328613,4
3,2,0.1408064365386963,10
1,1,0.12408661842346191,6
