ci_initial,ci_final,elapsed_time,iterations
20,7,0.10578203201293945,24
17,5,0.09765863418579102,19
11,5,0.1304335594177246,13
18,4,0.13208341598510742,19
12,5,0.24708151817321777,17
17,8,0.09631562232971191,19
12,3,0.10264134407043457,18
16,6,0.10248446464538574,23
17,6,0.09482121467590332,14
18,6,0.09251570701599121,14
18,7,0.2342240810394287,16
12,5,0.19910264015197754,12
15,3,0.09399604797363281,12
15,4,0.09207558631896973,10
19,6,0.1096951961517334,15
15,5,0.10040116310119629,22
15,7,0.09722375869750977,19
15,7,0.0993964672088623,18
13,4,0.11841487884521484,15
17,7,0.2715902328491211,16
19,2,0.11020278930664062,31
15,7,0.09771513938903809,16
15,7,0.0969693660736084,19
13,7,0.11044669151306152,31
13,5,0.0948338508605957,12
13,5,0.09790945053100586,16
18,7,0.11304283142089844,17
16,6,0.24850249290466309,18
16,5,0.11368608474731445,16
19,6,0.09214043617248535,12
17,6,0.09724283218383789,15
15,7,0.09687018394470215,17
18,8,0.09476304054260254,14
15,4,0.09345412254333496,12
12,5,0.15100693702697754,10
17,5,0.32624268531799316,27
18,8,0.10819792747497559,30
12,5,0.09447145462036133,11
17,8,0.09448647499084473,13
18,7,0.09486627578735352,15
13,5,0.09346508979797363,11
16,7,0.09121894836425781,11
15,2,0.1274099349975586,15
18,5,0.27845287322998047,22
16,5,0.13689017295837402,14
15,4,0.09710049629211426,18
17,7,0.10540199279785156,23
15,5,0.10192370414733887,22
16,7,0.09568285942077637,16
19,7,0.13351964950561523,24
15,5,0.10072898864746094,16
15,5,0.21965742111206055,15
15,5,0.0995185375213623,14
17,6,0.09666180610656738,17
15,3,0.10061287879943848,21
16,7,0.10025358200073242,15
15,4,0.09557199478149414,12
16,5,0.09486842155456543,15
14,5,0.22486615180969238,13
22,5,0.28543734550476074,19
14,8,0.4737262725830078,20
18,4,0.20499086380004883,14
18,6,0.16081929206848145,8
17,7,0.12038874626159668,14
17,5,0.10776829719543457,31
13,6,0.09476137161254883,13
14,5,0.09918808937072754,22
16,6,0.09208893775939941,12
15,9,0.09563136100769043,13
15,4,0.09526801109313965,13
18,6,0.3157169818878174,18
18,4,0.10223722457885742,20
16,6,0.09401798248291016,14
13,3,0.09850120544433594,17
15,4,0.09685802459716797,17
12,6,0.1012735366821289,23
14,4,0.09925031661987305,21
20,4,0.10024070739746094,15
13,4,0.3211097717285156,21
13,4,0.09586620330810547,11
22,7,0.09752297401428223,20
14,6,0.09539937973022461,16
15,7,0.09908318519592285,22
13,8,0.09673810005187988,12
14,6,0.09625673294067383,16
18,6,0.09518003463745117,13
13,5,0.27864742279052734,13
16,6,0.09981203079223633,12
13,7,0.09428596496582031,15
18,4,0.10047221183776855,16
16,8,0.09860825538635254,21
13,6,0.09058642387390137,10
16,6,0.09704232215881348,18
15,4,0.09501266479492188,16
18,7,0.15156888961791992,19
12,7,0.27894139289855957,15
15,5,0.0960991382598877,15
15,5,0.10824012756347656,19
13,4,0.09461808204650879,15
17,3,0.09241843223571777,9
15,3,0.09389400482177734,16
14,6,0.09468698501586914,16
17,3,0.10625314712524414,16
19,6,0.09969663619995117,16
19,5,0.308901309967041,21
16,6,0.1009209156036377,15
16,1,0.09274005889892578,11
10,4,0.09828019142150879,14
11,4,0.1078193187713623,35
17,8,0.09659695625305176,20
14,5,0.2607297897338867,16
16,4,0.11339616775512695,12
16,5,0.09677863121032715,19
16,4,0.10487246513366699,31
14,4,0.09358954429626465,11
17,6,0.10013866424560547,22
18,7,0.09511423110961914,16
16,5,0.09506702423095703,16
18,5,0.16147351264953613,31
19,6,0.2580263614654541,25
14,6,0.09604930877685547,18
12,6,0.10541224479675293,13
13,4,0.09498357772827148,16
13,2,0.1039128303527832,21
14,6,0.09724068641662598,18
14,5,0.09812307357788086,20
15,5,0.22869014739990234,15
16,7,0.11117815971374512,30
14,6,0.09791231155395508,20
17,5,0.09250807762145996,11
17,8,0.10599040985107422,32
18,8,0.10187244415283203,25
19,9,0.10267281532287598,24
12,5,0.09114241600036621,10
18,6,0.09459328651428223,16
16,5,0.20193982124328613,11
17,3,0.20664548873901367,17
18,6,0.09786820411682129,18
13,5,0.0900583267211914,10
14,5,0.11915183067321777,17
11,4,0.10108017921447754,23
15,5,0.09539985656738281,16
18,4,0.19228601455688477,14
17,5,0.3041369915008545,16
17,7,0.09284520149230957,11
18,6,0.09512758255004883,15
14,5,0.09624028205871582,17
16,6,0.09936404228210449,17
15,4,0.09868097305297852,11
12,4,0.0931096076965332,13
14,6,0.3459324836730957,21
17,4,0.4579885005950928,18
21,8,0.18898606300354004,20
18,5,0.10093307495117188,10
12,5,0.15019845962524414,7
15,3,0.1435403823852539,11
18,7,0.0905141830444336,10
17,4,0.09017705917358398,8
15,7,0.09613299369812012,15
12,4,0.09403848648071289,15
17,5,0.09515714645385742,13
18,4,0.09686493873596191,19
14,6,0.1363980770111084,30
20,6,0.24699783325195312,13
18,8,0.17352652549743652,33
17,5,0.0997002124786377,23
15,3,0.11552739143371582,20
16,5,0.09035921096801758,8
14,7,0.09897780418395996,21
13,3,0.0975196361541748,14
18,7,0.10767316818237305,17
11,4,0.1998138427734375,14
15,8,0.1030733585357666,18
10,4,0.0966026782989502,19
14,3,0.09405279159545898,15
15,5,0.09496593475341797,16
13,4,0.09262776374816895,13
16,5,0.09526777267456055,17
13,5,0.09504532814025879,13
19,4,0.1059410572052002,13
16,6,0.3215470314025879,19
15,5,0.11907291412353516,15
22,7,0.1000676155090332,24
18,2,0.10520243644714355,24
16,6,0.09618473052978516,19
17,7,0.09868836402893066,21
17,5,0.14380502700805664,26
18,6,0.09522700309753418,17
16,6,0.23401951789855957,17
15,5,0.1347513198852539,26
18,4,0.09368681907653809,13
11,6,0.10570621490478516,18
16,7,0.10751533508300781,31
11,5,0.09845662117004395,21
14,2,0.12278509140014648,27
12,5,0.09730219841003418,21
12,5,0.24085736274719238,19
15,5,0.10468912124633789,9
13,4,0.09681582450866699,18
14,5,0.09690999984741211,20
20,7,0.09474325180053711,15
14,6,0.09169602394104004,11
17,4,0.09458780288696289,15
14,5,0.12162542343139648,23
15,5,0.0974881649017334,17
13,6,0.19989728927612305,12
15,5,0.1239619255065918,11
16,4,0.09388279914855957,15
16,6,0.10100317001342773,13
22,5,0.09945797920227051,16
17,4,0.09631133079528809,17
13,7,0.14099860191345215,18
12,6,0.09397673606872559,15
9,4,0.23811721801757812,17
17,4,0.15505409240722656,15
16,8,0.09455609321594238,16
15,3,0.09742999076843262,18
14,5,0.09483933448791504,12
15,7,0.10959362983703613,36
16,6,0.1190493106842041,12
19,9,0.09529304504394531,16
16,7,0.20125341415405273,13
15,4,0.15706777572631836,18
13,6,0.09418988227844238,15
13,5,0.09109282493591309,9
13,5,0.09519791603088379,14
14,6,0.09443926811218262,14
16,5,0.09533905982971191,17
16,4,0.10389494895935059,16
16,3,0.09766364097595215,17
13,4,0.3590662479400635,30
14,5,0.1038370132446289,20
16,6,0.09284472465515137,13
16,6,0.09852814674377441,17
16,5,0.10284900665283203,17
14,4,0.11136674880981445,21
18,6,0.09449195861816406,15
18,8,0.10230183601379395,16
14,8,0.2387850284576416,14
16,5,0.09958767890930176,17
17,7,0.10359644889831543,24
17,6,0.09472012519836426,13
14,4,0.09576964378356934,17
18,7,0.09578847885131836,17
17,4,0.10988235473632812,16
17,6,0.0979313850402832,20
14,6,0.3916909694671631,28
14,3,0.5137674808502197,18
14,6,0.10391044616699219,13
20,6,0.10040807723999023,22
15,7,0.17403459548950195,9
17,3,0.10825991630554199,17
19,6,0.09786844253540039,18
14,6,0.09174752235412598,10
14,5,0.10903453826904297,12
18,7,0.09856414794921875,19
14,5,0.10833024978637695,17
16,5,0.09688997268676758,13
16,5,0.2842142581939697,22
13,7,0.15757369995117188,11
16,7,0.09725761413574219,18
17,5,0.09786486625671387,12
16,7,0.09465503692626953,14
15,3,0.14942502975463867,36
17,5,0.09490394592285156,15
19,8,0.28087782859802246,21
12,6,0.0954902172088623,15
17,7,0.1045079231262207,13
16,5,0.09353089332580566,9
17,8,0.10491013526916504,15
16,4,0.09297442436218262,11
16,4,0.1281719207763672,12
16,6,0.10947179794311523,10
11,2,0.33674097061157227,17
17,4,0.10171771049499512,23
16,6,0.09552001953125,16
14,6,0.09781861305236816,18
17,7,0.10459494590759277,19
17,9,0.16554975509643555,14
16,5,0.2924966812133789,15
15,5,0.13286733627319336,12
12,6,0.09466934204101562,14
13,5,0.10237360000610352,14
15,5,0.0931406021118164,12
19,4,0.09125638008117676,10
20,5,0.09134101867675781,12
14,6,0.11824846267700195,16
17,5,0.29019594192504883,15
8,6,0.1005401611328125,11
16,3,0.09373855590820312,13
13,5,0.09313440322875977,12
16,5,0.1079397201538086,18
15,5,0.09559345245361328,15
15,2,0.09198451042175293,10
15,4,0.243743896484375,16
14,3,0.159163236618042,14
15,4,0.094085693359375,14
15,6,0.09586834907531738,16
15,7,0.09392428398132324,12
16,6,0.09991788864135742,19
15,4,0.09118199348449707,10
18,6,0.0944368839263916,15
12,6,0.11533546447753906,20
11,5,0.09585142135620117,13
13,4,0.09405398368835449,13
17,4,0.09161829948425293,11
14,4,0.20493555068969727,13
17,6,0.10249209403991699,15
16,5,0.09595179557800293,17
16,6,0.10061359405517578,22
18,5,0.10447049140930176,23
16,4,0.2554926872253418,16
16,6,0.16851353645324707,26
14,4,0.09218645095825195,11
18,6,0.09732270240783691,16
15,8,0.1014256477355957,22
15,6,0.09716129302978516,17
13,3,0.09373307228088379,15
13,6,0.09365582466125488,15
15,7,0.12137484550476074,26
18,5,0.3274397850036621,19
15,8,0.10294866561889648,23
13,4,0.09546661376953125,16
15,3,0.09303426742553711,11
11,6,0.09503960609436035,15
12,7,0.10308384895324707,23
13,6,0.09449625015258789,15
15,6,0.32799386978149414,18
15,5,0.13029742240905762,24
17,6,0.10489749908447266,18
16,4,0.0934147834777832,9
16,8,0.09677791595458984,16
17,4,0.09502768516540527,12
12,7,0.09604907035827637,10
12,5,0.25634121894836426,17
18,3,0.466449499130249,22
16,6,0.2453937530517578,18
13,4,0.09304523468017578,12
15,5,0.12753844261169434,15
16,4,0.2946507930755615,16
15,5,0.11157751083374023,23
16,5,0.09176468849182129,11
17,8,0.10043621063232422,16
17,3,0.09242820739746094,11
14,3,0.09641790390014648,13
19,5,0.11735010147094727,20
12,3,0.2959773540496826,23
18,7,0.09667348861694336,14
17,5,0.09871935844421387,17
15,5,0.1006016731262207,17
11,5,0.09484457969665527,15
