ci_initial,ci_final,elapsed_time,iterations
2,0,1521.0703163146973,12
1,0,1702.5472948551178,9
1,0,1925.4423232078552,8
1,0,1367.816030740738,13
1,0,1405.2629687786102,7
1,0,1391.8286056518555,10
0,0,1370.9927225112915,6
0,0,1371.2974436283112,7
1,0,1371.130330324173,10
3,0,1372.208459854126,9
1,0,1313.4273052215576,7
1,0,1316.869291305542,11
1,0,1306.074468612671,22
1,0,1310.1373827457428,14
1,0,1301.1051576137543,12
2,0,1343.757114648819,13
0,0,1316.850757598877,7
1,0,1297.3147745132446,7
1,0,1319.9794418811798,16
2,0,1392.2193298339844,10
2,0,1498.249029159546,12
1,0,1623.624920129776,8
0,0,1707.17466878891,7
1,0,1641.0443232059479,8
2,0,1710.3849349021912,20
0,0,1618.7602083683014,6
1,0,1625.8351752758026,10
1,0,1466.5635359287262,11
1,0,1397.2463562488556,13
1,0,1474.0803275108337,11
