ci_initial,ci_final,elapsed_time,iterations
17,4,79.19633173942566,53
26,3,76.77142930030823,28
18,2,81.6045892238617,32
20,3,80.12171220779419,27
21,3,78.50703859329224,31
22,4,76.61597967147827,25
19,3,78.15359258651733,15
21,3,76.18865442276001,38
26,2,81.19842410087585,30
21,3,77.75347757339478,17
24,3,137.80688786506653,24
23,4,143.7263219356537,28
22,2,138.8449695110321,20
21,4,136.02074551582336,35
20,3,137.79144716262817,28
21,2,131.57560563087463,20
17,3,141.5597162246704,30
18,3,155.65949487686157,30
21,3,171.7557442188263,26
27,4,163.86142587661743,47
24,3,173.06062269210815,22
22,4,159.52140164375305,34
18,3,157.62126398086548,34
23,3,150.67917585372925,26
20,3,149.9623408317566,17
24,3,138.9047236442566,42
21,3,138.92839121818542,40
23,4,142.94991064071655,35
20,3,139.92182230949402,41
19,3,142.3916618824005,32
