ci_initial,ci_final,elapsed_time,iterations
32,3,152.22696781158447,30
32,2,151.0490324497223,21
35,1,154.3366823196411,39
35,3,153.53564167022705,40
36,2,149.8795530796051,46
31,2,151.54464650154114,55
31,2,154.10712122917175,32
29,3,153.65796995162964,48
34,3,152.2426426410675,35
37,3,151.37791872024536,59
34,2,153.2884123325348,25
31,3,157.90340280532837,40
39,2,165.9218544960022,23
33,2,152.7443823814392,28
34,2,160.476979970932,37
33,2,184.79091215133667,19
38,3,177.7489733695984,26
33,3,202.33904099464417,30
38,3,160.38796424865723,33
30,2,167.304114818573,51
33,1,188.53383255004883,29
36,3,183.53891897201538,24
34,2,160.52436232566833,47
32,2,169.75433826446533,21
30,2,162.93882632255554,21
38,3,182.69262862205505,28
37,2,164.791442155838,55
33,3,188.85872626304626,19
34,3,191.25339126586914,35
33,2,193.85072684288025,26
