ci_initial,ci_final,elapsed_time,iterations
33,3,61.35687494277954,59
36,2,58.49994087219238,30
40,4,59.108840227127075,32
35,2,54.65459847450256,26
41,4,58.610795974731445,29
32,3,60.50272870063782,64
35,3,56.74948024749756,40
43,4,56.908167600631714,41
40,4,57.50934457778931,53
39,3,56.014057874679565,40
39,3,56.66274404525757,24
35,3,57.03278422355652,38
31,3,56.383952379226685,20
44,2,57.57111716270447,19
34,4,55.08019232749939,46
34,4,59.19309663772583,21
37,3,56.751351833343506,48
36,4,55.11052489280701,35
33,3,54.8756947517395,33
39,3,57.491836071014404,39
38,3,61.73271441459656,29
30,3,68.19820308685303,29
34,3,104.86603736877441,22
40,4,113.07631373405457,39
40,3,121.3368067741394,29
35,3,120.29111337661743,27
39,4,121.86586356163025,42
38,3,122.98252248764038,37
37,4,115.199875831604,40
33,3,118.06885981559753,25
