ci_initial,ci_final,elapsed_time,iterations
96,9,170.2191960811615,111
96,8,175.8057370185852,125
96,9,162.75573801994324,100
96,9,164.18873071670532,116
96,9,165.8990912437439,113
96,9,165.04370093345642,115
96,9,167.32109713554382,109
96,7,160.8243453502655,82
96,7,168.67940139770508,91
96,9,164.7823841571808,85
96,8,230.35585236549377,109
96,8,204.18337607383728,89
96,9,211.2078046798706,122
96,10,218.0029215812683,93
96,8,234.6097252368927,116
96,8,199.7893590927124,82
96,9,185.2255403995514,97
96,10,171.47741174697876,125
96,9,168.76720237731934,86
96,10,189.1286540031433,102
96,9,205.6165177822113,112
96,8,181.1071093082428,126
96,9,180.00678753852844,158
96,9,168.63868188858032,93
96,9,166.5145344734192,105
96,7,159.34689784049988,96
96,7,165.79433751106262,83
96,8,165.5956015586853,113
96,8,167.2498264312744,120
96,8,169.02641224861145,114
