ci_initial,ci_final,elapsed_time,iterations
36,2,59.91456604003906,29
34,1,55.30090403556824,23
33,3,62.676581621170044,34
31,3,56.9419150352478,33
35,3,57.42674684524536,40
30,3,57.975380659103394,27
29,2,56.635908365249634,43
29,3,61.166086196899414,26
34,3,60.684170722961426,32
32,3,56.468053340911865,58
35,2,113.32249617576599,37
38,3,111.08067989349365,63
33,2,146.76915884017944,21
32,2,188.07543563842773,33
31,3,197.4469907283783,15
40,3,193.0382342338562,32
35,3,197.6727159023285,46
38,2,196.31926345825195,33
37,2,193.51660466194153,57
30,3,190.9053807258606,22
30,3,191.63857316970825,29
35,3,201.06195187568665,60
34,2,182.80178332328796,35
33,2,182.2251615524292,30
36,2,189.84136581420898,32
34,1,202.7160894870758,44
35,3,185.68655729293823,48
32,3,198.3512954711914,29
29,2,188.55939865112305,48
31,3,192.9376139640808,59
