ci_initial,ci_final,elapsed_time,iterations
1,1,15.228711366653442,6
2,1,14.970544815063477,7
1,1,16.172412157058716,8
1,1,12.019756555557251,10
1,1,11.262548685073853,6
3,2,16.058317184448242,11
2,1,12.094853162765503,8
3,2,15.567322015762329,25
1,1,13.072823524475098,6
1,1,20.201112270355225,6
0,0,11.964071273803711,6
0,0,12.78122591972351,6
1,1,12.767364501953125,10
2,1,12.225264072418213,7
2,2,14.514582872390747,9
0,0,15.092690229415894,6
2,2,13.844151735305786,9
2,2,12.892422199249268,8
0,0,14.00465703010559,7
1,1,14.675150871276855,13
0,0,13.656896352767944,6
1,1,13.276989221572876,7
4,4,14.480488061904907,24
2,2,13.58946967124939,7
1,0,14.645684003829956,7
2,2,13.595160722732544,7
3,2,14.406185626983643,8
1,1,13.528005599975586,6
3,1,14.482977867126465,28
1,1,14.298258304595947,7
2,2,17.19717001914978,7
1,1,13.434877395629883,7
3,3,13.681585311889648,8
1,1,13.733134984970093,6
2,2,15.0980703830719,7
3,2,14.353315353393555,10
2,2,13.115442037582397,8
2,2,13.378013610839844,8
3,3,14.683422327041626,9
3,2,13.254364967346191,11
3,2,12.834791421890259,9
1,1,12.245539426803589,7
1,1,13.00995421409607,7
3,2,13.097727060317993,7
2,1,13.179870367050171,11
3,2,14.263208627700806,10
0,0,12.749043941497803,6
2,1,18.023584842681885,13
1,1,14.393339395523071,6
2,1,11.109034299850464,7
0,0,13.197994709014893,7
3,3,15.053100109100342,15
2,2,16.165542364120483,6
1,1,13.322425603866577,6
0,0,13.226941585540771,6
2,2,14.451011180877686,8
1,1,15.613533020019531,6
2,1,15.260528802871704,13
2,2,12.735302686691284,7
4,3,12.67903447151184,9
1,1,13.744222402572632,7
1,0,12.960448741912842,10
3,2,14.492335319519043,7
2,2,15.286550998687744,9
2,2,12.297599792480469,7
1,0,14.361739158630371,7
3,3,14.802659273147583,7
2,2,12.840122938156128,7
2,2,15.615173816680908,6
1,1,11.502476930618286,7
1,1,15.41205644607544,7
0,0,14.785669565200806,6
1,1,14.654778003692627,8
1,0,13.485057353973389,11
1,1,13.49669623374939,6
3,1,14.459826946258545,15
2,1,13.129306554794312,20
1,1,12.209418058395386,6
1,1,13.918448209762573,7
2,2,13.58215856552124,8
2,2,11.998430967330933,8
1,1,13.186042308807373,8
1,0,13.263404607772827,7
2,2,12.945668935775757,8
0,0,13.2913339138031,6
2,1,13.623924732208252,8
1,1,12.607975482940674,7
1,1,15.523508310317993,7
2,2,14.355458736419678,7
1,1,13.364295482635498,9
1,1,14.427817106246948,8
1,1,12.88615870475769,7
3,2,13.795878887176514,16
0,0,14.273389339447021,6
1,1,15.26685357093811,6
2,2,14.136788368225098,7
0,0,15.098267316818237,6
2,2,14.712980270385742,9
2,1,14.837991714477539,8
1,1,12.901079654693604,6
2,2,14.510843276977539,6
2,2,19.915974378585815,8
3,1,16.75540518760681,14
3,2,13.979989528656006,8
3,2,14.657774209976196,7
0,0,14.430912256240845,7
2,2,12.611151218414307,7
1,1,14.617986679077148,7
1,1,13.403392791748047,6
3,2,14.545873880386353,8
1,1,15.049453258514404,7
1,1,12.764103889465332,7
1,1,14.254290342330933,6
4,2,14.195235013961792,27
3,1,14.505734920501709,9
1,1,14.928694009780884,6
1,1,11.890861749649048,6
2,2,13.49961256980896,11
2,2,13.756251335144043,10
3,2,12.641767024993896,14
1,1,15.56686520576477,13
1,1,11.713240385055542,6
1,1,15.249329566955566,10
2,2,18.648173570632935,8
2,1,12.04042911529541,12
2,2,16.947345495224,7
2,1,13.940386056900024,10
4,3,14.346660137176514,9
1,1,12.937976360321045,6
2,1,14.694912433624268,7
1,1,13.749362230300903,7
1,1,12.89351773262024,7
3,2,14.325833797454834,7
3,3,14.442450284957886,9
1,1,13.47206711769104,7
1,1,12.734269618988037,6
2,2,14.150214672088623,9
5,2,13.490712881088257,20
1,1,14.26319432258606,6
2,2,15.037091493606567,14
1,1,14.399710655212402,7
2,2,17.526302576065063,7
0,0,12.518915891647339,6
0,0,12.815155744552612,6
1,1,13.087625741958618,6
2,2,15.458345174789429,14
2,2,11.407820463180542,7
2,2,14.481713056564331,7
1,1,13.304753065109253,7
1,1,12.180058717727661,8
3,2,13.562050819396973,8
1,1,17.001153707504272,7
1,1,12.7470064163208,6
2,1,14.506690979003906,12
2,1,15.493967056274414,9
1,1,14.899280071258545,6
3,2,11.56680154800415,18
2,2,14.524779319763184,7
3,2,14.844915390014648,22
1,1,12.611716270446777,6
1,1,12.520829916000366,8
1,1,14.781321048736572,7
1,1,13.231534242630005,6
2,2,13.649406433105469,10
2,2,15.119221925735474,6
4,3,16.89604878425598,10
2,1,14.857954263687134,16
0,0,11.507195711135864,7
3,3,10.334784030914307,12
3,3,12.382163524627686,7
1,1,12.5057954788208,7
1,1,13.092090606689453,7
2,2,13.139228582382202,7
3,3,13.969151973724365,13
2,2,15.049667119979858,13
3,3,12.90590238571167,8
2,2,13.660274982452393,12
1,1,13.422718524932861,7
2,2,14.554419040679932,6
2,2,13.049747228622437,6
2,2,13.283418655395508,14
2,2,14.005730867385864,17
2,1,14.708906650543213,16
1,1,14.584156513214111,6
1,1,14.081426858901978,8
2,2,13.301555633544922,7
2,2,12.534791231155396,7
1,1,14.121672630310059,6
4,2,13.226333618164062,10
2,2,12.88902473449707,7
2,2,14.19746208190918,7
2,1,11.107179880142212,8
2,2,13.081531047821045,7
2,2,11.773978471755981,10
1,1,12.83864688873291,7
2,1,13.428020477294922,12
3,2,12.909249782562256,10
2,1,13.266613721847534,7
1,1,15.112903356552124,10
3,2,13.050579071044922,9
1,1,15.688469409942627,7
2,2,13.656363010406494,9
1,1,15.594001531600952,7
2,2,12.38690733909607,9
2,1,12.114863872528076,11
3,2,12.834803819656372,9
1,1,15.70745587348938,9
1,1,15.348299026489258,7
1,1,13.627645254135132,7
1,1,12.034570217132568,7
4,2,14.323723077774048,12
2,2,16.162755250930786,15
2,2,15.939077615737915,7
1,1,11.764118671417236,6
2,2,13.36792802810669,8
2,2,14.143044233322144,8
2,2,13.624112129211426,13
0,0,11.624119281768799,6
2,1,15.55544638633728,11
1,1,16.013601541519165,7
4,3,16.096011877059937,8
1,1,15.319481611251831,6
3,2,13.603143692016602,7
3,3,15.573976278305054,7
1,1,13.161924362182617,6
2,2,13.202872037887573,7
2,2,12.950203895568848,11
3,3,16.137938499450684,8
2,2,14.846352577209473,11
3,3,13.99168872833252,7
3,3,14.697689294815063,9
2,1,15.113759756088257,20
1,1,13.157948017120361,7
2,2,13.366713285446167,9
3,2,13.118540048599243,7
3,2,12.46520471572876,12
1,1,13.7970871925354,6
2,2,12.533307075500488,6
1,1,14.582480430603027,7
1,1,12.927714824676514,7
1,1,11.750994205474854,7
1,1,12.905625581741333,7
1,1,13.598442077636719,6
1,1,15.062901258468628,6
1,1,11.992187976837158,6
2,2,12.775675296783447,7
2,1,14.74419116973877,20
2,2,14.232168674468994,8
1,0,16.75601291656494,7
1,0,13.150696277618408,7
1,1,14.865041017532349,6
1,1,12.251229524612427,7
4,3,11.918829441070557,19
1,1,11.839241981506348,7
2,2,13.729979991912842,6
1,1,12.80470061302185,10
3,3,14.844391822814941,14
2,1,12.488380908966064,7
2,2,12.561643838882446,17
1,1,13.58763837814331,7
1,1,12.46126127243042,8
3,2,16.508392095565796,10
2,2,12.735544919967651,7
2,2,14.196304321289062,16
1,1,13.709349870681763,7
1,1,11.468243837356567,6
1,1,13.680410623550415,6
2,1,11.729432582855225,17
2,1,11.74971890449524,9
0,0,13.448209285736084,6
1,1,12.695657730102539,6
1,1,13.737786293029785,8
2,2,14.55640435218811,11
1,1,12.667936563491821,7
2,2,12.750501871109009,7
1,1,14.21573257446289,7
2,2,14.361429929733276,12
1,1,14.015199184417725,9
1,1,12.508530378341675,7
3,3,15.7327880859375,9
1,1,11.217358827590942,6
4,4,13.671049118041992,14
2,2,13.98436450958252,7
2,2,15.492126226425171,8
1,1,13.05560040473938,9
1,1,11.83182668685913,9
1,0,12.732290029525757,7
2,1,13.126563549041748,12
1,1,14.247453689575195,7
2,1,13.233116865158081,17
1,1,12.749362707138062,7
1,1,12.924582719802856,6
3,3,14.085350036621094,10
2,2,12.229151248931885,6
2,2,12.054765939712524,10
0,0,15.45785665512085,6
1,1,10.95273733139038,6
1,1,15.918412685394287,7
1,1,12.696741580963135,6
2,1,12.69795560836792,7
1,1,15.634737968444824,6
2,1,16.458969593048096,8
2,2,13.42645001411438,6
1,1,11.966816186904907,6
3,2,12.035773754119873,9
2,2,13.220548152923584,7
1,1,13.46427297592163,6
4,3,12.971551418304443,8
1,1,11.720568656921387,6
3,0,12.227247953414917,9
0,0,13.435669660568237,6
3,3,13.958883047103882,7
1,1,14.194871187210083,7
3,3,14.226097345352173,7
1,1,14.227153301239014,7
2,2,12.83100962638855,10
1,1,13.090227842330933,13
2,1,12.988906383514404,7
3,2,16.04632592201233,13
1,1,14.424368143081665,6
2,1,12.729238271713257,8
1,1,15.429820775985718,7
2,2,11.503233909606934,8
0,0,13.191431760787964,6
1,1,11.933349847793579,6
1,1,12.715723276138306,7
1,1,13.68041467666626,6
0,0,11.471907615661621,6
3,2,13.699962377548218,7
2,2,13.00230622291565,8
1,0,13.921021461486816,15
0,0,12.044288635253906,6
2,2,13.779123306274414,8
3,3,14.123716115951538,14
1,1,13.179051399230957,6
3,1,12.992374658584595,7
2,2,12.247071027755737,12
1,0,14.003380537033081,8
1,1,14.71096920967102,7
2,2,13.332414865493774,11
2,2,12.295504331588745,9
3,1,14.11806869506836,13
2,1,14.227200269699097,7
3,3,14.36201000213623,12
2,1,12.271833181381226,28
1,1,14.46422791481018,6
1,1,12.990558862686157,6
2,2,15.195638656616211,8
1,1,13.43367862701416,6
2,2,12.23218584060669,7
0,0,12.994986534118652,6
1,0,13.757375478744507,8
2,2,14.466663599014282,6
2,2,13.206628561019897,7
1,0,14.730094194412231,7
1,1,13.258786916732788,7
2,2,13.91049838066101,15
3,2,13.872573375701904,12
1,1,14.011690616607666,7
0,0,12.212571620941162,6
3,2,11.753605604171753,8
2,2,14.20373249053955,7
3,3,12.004632472991943,8
1,1,12.205599546432495,6
2,2,12.960390090942383,6
1,1,12.527132034301758,8
3,1,15.443785190582275,25
0,0,12.927756786346436,6
2,2,12.546945333480835,8
2,2,15.476014137268066,7
1,1,12.775333642959595,7
2,1,13.613114833831787,10
1,1,12.786897659301758,6
1,1,12.76322889328003,6
1,1,13.712665796279907,6
1,1,13.037133932113647,7
4,3,13.853386878967285,20
0,0,13.045039415359497,7
1,1,12.094940662384033,10
2,1,12.556382656097412,9
2,2,13.372677326202393,12
3,3,14.391436100006104,11
4,2,13.541184425354004,8
2,2,13.768337488174438,8
0,0,12.732593297958374,6
2,1,12.423742055892944,14
1,0,12.535851001739502,7
1,1,14.014634132385254,7
1,1,13.005594253540039,7
4,2,12.508713245391846,7
1,1,11.726205348968506,8
1,1,10.787616729736328,6
3,2,17.848628520965576,22
1,1,12.484108686447144,6
1,1,11.235854148864746,6
1,1,12.48911166191101,6
1,1,11.503338098526001,8
2,2,12.224427461624146,7
2,2,10.730690956115723,6
2,2,12.53580904006958,8
3,2,13.074418783187866,21
2,2,12.265570640563965,6
1,1,11.235146045684814,6
2,2,11.641948938369751,13
3,3,13.514914989471436,8
3,2,12.638745307922363,22
2,1,12.06870722770691,7
2,2,11.76155161857605,7
1,1,14.22280740737915,7
2,2,10.5367910861969,9
2,2,12.485301494598389,17
2,2,15.470582485198975,7
1,1,11.977362394332886,6
1,1,13.952826738357544,7
1,1,15.171608924865723,6
0,0,12.976021528244019,6
3,2,13.014569997787476,8
1,1,10.96669888496399,6
2,2,11.809390783309937,8
2,2,12.49589729309082,7
1,1,14.296936988830566,9
1,1,14.217893362045288,6
1,1,11.783081769943237,6
4,3,13.617444515228271,13
2,2,13.292999744415283,7
1,1,14.459469556808472,7
3,2,14.77444052696228,19
3,2,13.441802024841309,7
3,3,14.418915033340454,7
2,2,13.996003866195679,7
3,3,14.835445880889893,14
1,1,12.98604941368103,7
0,0,12.435559034347534,6
3,3,13.676928520202637,15
2,1,13.720227479934692,7
1,1,11.52124571800232,6
2,2,15.712965250015259,7
1,1,12.46671199798584,6
2,2,11.016534328460693,7
3,3,14.040830850601196,11
2,2,12.21538233757019,7
1,0,13.705607652664185,6
1,1,14.118709325790405,13
3,2,14.935098886489868,17
1,1,15.466229438781738,7
3,2,12.436360359191895,17
3,2,11.221653699874878,7
0,0,11.774349212646484,6
1,1,12.255189895629883,9
1,1,11.566057682037354,9
2,2,17.174213647842407,7
1,1,12.556719064712524,7
1,1,13.939517736434937,6
2,2,13.706557273864746,7
1,1,14.200011014938354,6
2,2,12.941991090774536,6
1,1,12.766398906707764,7
2,2,12.723846673965454,7
1,1,13.688127040863037,7
1,1,12.229596376419067,7
1,0,15.717425107955933,6
2,1,13.962589979171753,17
4,4,14.377098083496094,13
2,2,11.517246961593628,8
2,2,11.282615661621094,8
3,3,14.500207901000977,7
2,2,13.90175461769104,15
2,2,14.460395812988281,6
3,2,12.089156150817871,11
3,3,14.850446939468384,12
0,0,14.044548988342285,6
2,1,14.578764200210571,12
2,2,13.43799114227295,6
1,1,12.460140228271484,6
1,1,11.251185417175293,6
1,1,11.885928869247437,14
1,1,12.232651948928833,7
2,2,12.713344812393188,7
3,3,11.209933996200562,7
3,2,11.191716432571411,13
2,1,16.826413869857788,13
2,2,14.080512046813965,12
1,1,12.77554988861084,9
2,2,13.014728784561157,9
4,4,12.921642065048218,25
1,1,12.446398973464966,6
3,2,15.787147998809814,10
2,1,14.532432079315186,21
2,2,15.990806579589844,7
3,2,12.987842082977295,7
3,2,12.541232585906982,10
3,2,14.65132737159729,7
2,2,17.20971965789795,7
2,2,14.183621168136597,17
2,1,13.230734586715698,7
2,1,13.257157802581787,8
2,2,14.15759015083313,16
1,0,14.005938291549683,7
3,2,12.768505334854126,9
1,1,12.928544282913208,6
2,1,11.255141496658325,8
4,0,13.359744787216187,22
3,2,11.692275762557983,7
3,2,11.44517183303833,16
2,1,13.119940280914307,14
2,2,14.222157001495361,7
1,1,13.442010402679443,7
2,1,15.265594244003296,10
3,2,15.113471031188965,14
3,3,13.47231149673462,8
1,1,16.168286561965942,6
3,3,11.94367504119873,15
1,1,13.446409463882446,16
2,2,14.250830173492432,9
1,1,11.953933715820312,7
1,1,15.004445552825928,7
2,2,11.996843338012695,8
1,0,13.700684070587158,7
2,1,13.695575952529907,7
2,2,11.784446001052856,8
1,1,12.446738243103027,7
0,0,13.271997690200806,6
3,2,13.750433921813965,20
0,0,12.46567440032959,6
4,2,10.92407512664795,13
1,1,14.673411846160889,6
1,1,14.45748257637024,6
1,1,12.462052345275879,6
3,1,12.747363567352295,28
1,1,11.95275592803955,6
1,1,13.434247732162476,7
2,1,12.351954221725464,12
3,2,13.48058533668518,9
2,2,14.199504852294922,7
1,1,12.022831678390503,7
0,0,12.513510704040527,6
1,1,15.155907154083252,6
2,1,13.239163398742676,8
1,1,14.948482990264893,6
1,1,12.964371681213379,7
1,1,11.217875242233276,7
4,3,11.838137149810791,9
2,2,13.244924783706665,8
2,1,12.837616205215454,9
2,2,14.851940155029297,13
3,2,12.520540475845337,8
1,1,12.676005363464355,6
3,2,13.505815029144287,17
1,1,12.969314575195312,6
0,0,12.495237588882446,6
1,1,13.950503826141357,7
0,0,12.446423530578613,6
2,2,12.25954556465149,7
1,1,11.491657018661499,7
3,3,13.528538227081299,9
3,3,13.238777160644531,8
2,2,12.233700275421143,7
2,1,13.346220254898071,10
1,1,14.234209775924683,7
1,1,15.19498062133789,7
0,0,13.96095895767212,6
2,2,14.026350498199463,7
2,1,14.883262157440186,14
3,2,12.08294677734375,12
1,1,14.193965435028076,7
2,1,12.554003715515137,21
4,4,12.543517351150513,8
0,0,12.954522371292114,6
3,3,15.741950273513794,9
1,1,12.472180366516113,6
0,0,14.691380739212036,6
2,1,14.01235580444336,11
2,1,13.596790552139282,13
1,1,13.223930835723877,7
0,0,18.37990093231201,6
2,2,14.30196738243103,11
0,0,13.220529079437256,7
2,2,13.721872806549072,6
3,2,12.27385687828064,9
3,0,13.203460454940796,15
1,1,14.222067832946777,7
1,1,15.72407341003418,7
1,1,12.709537267684937,6
4,3,13.801522493362427,9
1,1,13.769903898239136,8
1,1,10.947375535964966,6
2,2,14.548101425170898,9
2,1,12.517714262008667,9
1,1,13.998570442199707,8
3,3,13.936076879501343,8
2,2,11.95176911354065,6
1,0,16.05329728126526,10
1,0,12.320374727249146,11
1,1,14.906783103942871,6
1,1,13.705039024353027,6
4,3,12.06688904762268,11
1,1,13.927507400512695,6
0,0,12.955554008483887,6
1,1,10.96372938156128,6
2,2,13.2328462600708,6
1,1,15.202120065689087,6
1,0,11.999332189559937,9
3,3,13.684303283691406,14
0,0,15.436010122299194,6
2,1,13.705727100372314,7
2,1,13.976858139038086,8
2,1,12.779465198516846,19
1,1,13.402944326400757,6
1,1,10.210532426834106,6
2,2,14.004591226577759,9
3,2,13.676051616668701,16
1,0,14.992658615112305,7
3,3,13.00009822845459,8
3,2,11.48591923713684,8
1,1,12.671592235565186,6
0,0,11.908168315887451,6
2,2,13.010311365127563,8
1,0,14.660204648971558,7
2,2,15.704299688339233,7
3,3,14.873140335083008,15
3,3,16.305336952209473,11
1,1,14.223274946212769,7
1,1,14.39314341545105,6
3,2,13.236921548843384,7
2,2,14.196288824081421,6
2,2,12.200588464736938,6
1,0,15.806220293045044,10
3,2,14.71252179145813,7
2,2,12.03382158279419,7
1,1,14.985081911087036,7
1,1,15.007355213165283,7
2,2,15.264410018920898,19
2,2,14.708375453948975,16
2,2,14.053346395492554,12
1,1,13.442323446273804,7
1,1,16.09739375114441,14
2,2,15.015430688858032,8
0,0,12.210882186889648,6
3,1,13.847689628601074,12
2,2,14.256265878677368,8
2,2,15.925848722457886,17
1,1,13.978725671768188,7
2,2,14.230155944824219,7
3,2,12.855787754058838,22
0,0,13.457201480865479,6
1,1,11.513372659683228,7
3,2,13.971524953842163,7
0,0,12.229732751846313,6
1,1,14.59524655342102,11
1,0,14.71587347984314,7
4,4,12.767748832702637,8
1,1,12.717777013778687,6
1,1,12.735685586929321,7
0,0,11.726856231689453,6
1,1,13.21007752418518,6
1,1,13.546423435211182,7
0,0,11.439537286758423,6
2,2,14.955586433410645,7
2,1,13.72272515296936,7
1,1,15.962167263031006,6
1,0,11.84440279006958,13
1,1,11.99910593032837,6
1,1,12.249908685684204,7
2,2,12.967954158782959,6
3,2,15.990704774856567,8
4,2,17.601147413253784,13
1,1,13.968260288238525,6
1,1,14.2327401638031,7
1,1,12.471729040145874,6
0,0,14.177757501602173,6
1,1,13.491772890090942,7
1,1,14.150588989257812,6
1,1,12.184491395950317,6
3,3,12.988183736801147,7
1,1,12.507396221160889,6
1,1,13.503414869308472,8
1,1,12.69758129119873,6
2,1,12.417177677154541,15
1,0,14.4544038772583,7
2,2,15.50123929977417,9
3,3,14.530109405517578,9
1,1,14.455177068710327,7
2,2,12.310999155044556,11
1,0,14.200149059295654,17
3,2,17.738911867141724,8
1,1,14.2131028175354,6
2,2,13.498602867126465,7
1,1,11.977421283721924,6
2,2,13.210763692855835,7
1,1,11.72544002532959,7
