ci_initial,ci_final,elapsed_time,iterations
21,6,1.1089332103729248,27
19,7,1.2105319499969482,32
19,6,1.0831820964813232,26
23,6,1.0212328433990479,24
18,6,0.8974814414978027,19
17,6,0.7999882698059082,14
21,9,0.9477481842041016,21
18,6,1.1368284225463867,29
23,6,0.9752256870269775,21
19,6,0.9228157997131348,19
19,7,0.8342983722686768,16
22,6,0.9540350437164307,21
22,8,1.615530014038086,48
16,6,1.0989441871643066,27
22,7,0.9395694732666016,21
25,6,1.0337750911712646,25
16,4,0.9309520721435547,20
23,5,1.2284934520721436,32
23,6,1.079435110092163,26
22,7,1.3055520057678223,35
28,6,0.9848630428314209,23
27,6,0.8749294281005859,17
20,7,1.1348485946655273,28
19,6,1.2783336639404297,34
19,7,1.464900016784668,42
26,5,1.2357118129730225,33
17,4,0.9181644916534424,19
22,6,1.4900860786437988,41
21,7,1.0363352298736572,23
23,7,1.4518144130706787,42
19,6,1.123481035232544,25
23,5,1.00697922706604,22
18,5,0.9657943248748779,20
20,4,1.2386200428009033,31
21,9,0.9210858345031738,19
23,6,1.2621605396270752,32
20,6,1.459458589553833,42
21,6,1.0316402912139893,24
23,6,1.1986498832702637,31
22,7,1.234917402267456,32
21,7,1.0371811389923096,23
21,5,0.8076033592224121,13
19,7,0.953716516494751,20
26,7,1.137681484222412,28
20,6,0.8906645774841309,16
21,5,1.013573169708252,21
23,6,1.0795836448669434,25
18,7,1.4830937385559082,42
18,8,0.9231135845184326,20
22,7,0.992983341217041,20
20,7,0.9832770824432373,22
25,6,1.0160715579986572,23
22,4,1.2284479141235352,31
23,6,1.1303095817565918,28
21,6,1.8185274600982666,56
19,6,1.0374412536621094,24
23,5,1.0688369274139404,24
20,5,0.9402017593383789,20
23,4,1.0265188217163086,22
23,4,0.8169105052947998,15
20,5,1.3007888793945312,34
25,3,1.436089277267456,40
23,7,0.8077347278594971,15
24,6,1.053812026977539,24
21,7,1.3029773235321045,34
26,4,0.9885704517364502,21
23,5,1.1162385940551758,25
18,4,1.4502832889556885,41
23,7,1.31199312210083,36
19,5,0.829383373260498,14
22,6,1.2190873622894287,32
24,6,1.0608150959014893,24
17,7,1.1467692852020264,28
25,5,1.6207728385925293,48
21,5,0.8032307624816895,14
21,6,0.9677040576934814,21
17,7,0.8724513053894043,16
18,6,1.3091185092926025,35
20,4,1.242030143737793,31
19,5,1.1460440158843994,27
22,8,1.0375235080718994,23
22,5,1.3281745910644531,36
23,9,1.2662203311920166,33
20,8,1.8562817573547363,58
25,5,0.8559365272521973,16
23,5,0.9184165000915527,19
20,4,1.0721855163574219,23
23,6,1.303149938583374,34
27,6,1.358581781387329,37
21,5,1.3592238426208496,37
22,6,1.3680787086486816,38
21,5,0.95951247215271,20
22,8,1.0634350776672363,24
21,8,1.660841941833496,49
18,7,0.9870059490203857,22
24,8,1.4855477809906006,43
26,4,0.8565120697021484,16
20,6,1.0484893321990967,24
25,6,0.8814492225646973,18
23,5,1.4112839698791504,39
22,5,1.0893778800964355,26
21,8,1.6535789966583252,49
20,6,0.8382198810577393,15
20,6,1.1445808410644531,28
17,6,1.163419246673584,30
23,4,1.0362436771392822,24
18,9,1.2362160682678223,32
22,4,0.9875810146331787,22
16,6,1.005136489868164,23
18,5,1.5710012912750244,47
23,4,0.9275810718536377,19
24,6,0.8859391212463379,18
17,5,0.9096601009368896,18
23,4,1.0766348838806152,24
22,6,0.9979259967803955,21
21,7,0.9880204200744629,21
25,7,0.9170420169830322,19
21,4,1.5744383335113525,46
25,8,1.1081156730651855,27
23,6,1.480846881866455,42
21,5,1.0434141159057617,24
22,7,1.2036783695220947,31
21,7,1.2556610107421875,33
19,6,1.285944938659668,34
22,7,0.8964798450469971,19
18,6,1.1432859897613525,28
21,5,1.0221776962280273,23
23,5,1.5759952068328857,45
22,4,1.1273601055145264,28
23,4,1.4926528930664062,43
26,5,1.0707635879516602,25
20,6,1.0800995826721191,26
28,8,0.942979097366333,20
25,5,1.3495688438415527,37
22,9,1.1488938331604004,27
23,5,1.182971477508545,30
26,5,1.8383731842041016,55
15,7,1.2092065811157227,32
22,7,1.0517950057983398,23
29,4,1.1609547138214111,28
21,6,0.82110595703125,15
20,6,1.6817269325256348,50
18,7,1.356497049331665,37
20,6,1.0946195125579834,26
18,5,0.9196782112121582,19
17,5,1.6640286445617676,50
23,6,1.2463583946228027,34
22,5,0.9101343154907227,19
24,8,1.0640342235565186,25
17,6,1.1536004543304443,29
21,6,1.018707513809204,24
19,7,1.2378029823303223,33
22,8,1.043015956878662,24
25,6,1.3176846504211426,35
22,6,1.1836881637573242,30
22,7,0.8994531631469727,18
23,4,1.1207327842712402,28
23,5,1.1120421886444092,27
22,7,0.8803627490997314,17
24,7,0.9651463031768799,21
25,6,0.9731442928314209,21
21,6,0.8244740962982178,16
23,4,0.9504208564758301,20
20,7,1.1094753742218018,26
22,6,1.0820777416229248,26
21,7,1.3293676376342773,35
23,6,1.3137388229370117,35
19,7,0.8758103847503662,18
21,5,1.15328049659729,29
23,4,1.3944942951202393,39
20,6,1.167381763458252,29
20,5,1.042027473449707,24
23,5,1.6737511157989502,50
20,6,1.0584485530853271,25
23,6,1.4431214332580566,40
21,6,1.0847344398498535,26
21,5,1.434453010559082,40
17,4,0.8051245212554932,14
20,4,1.092879056930542,25
21,5,0.8659977912902832,17
22,8,1.013657808303833,22
20,5,1.0383479595184326,23
21,6,1.0573225021362305,24
23,6,0.9828553199768066,22
22,6,0.9337553977966309,19
21,6,1.306443452835083,35
20,6,1.2863595485687256,35
16,5,1.2628753185272217,33
23,9,1.2591967582702637,32
18,7,1.03104829788208,22
21,4,1.4357376098632812,41
24,6,1.2939298152923584,34
23,7,1.2193021774291992,32
19,4,0.9065580368041992,19
21,7,0.9675765037536621,20
23,8,1.0761165618896484,25
18,8,1.0351567268371582,23
20,5,1.3734281063079834,38
21,7,1.3214895725250244,35
23,5,1.2060887813568115,31
21,4,1.0610568523406982,25
24,6,0.9646317958831787,20
19,6,0.8723042011260986,17
19,4,0.8821597099304199,17
22,8,1.9628570079803467,62
23,6,0.9294185638427734,20
27,7,0.9995565414428711,21
18,4,1.0360326766967773,24
21,7,1.073779821395874,25
15,3,1.1203031539916992,27
18,5,0.8856487274169922,17
18,7,1.116875171661377,27
22,8,1.3425192832946777,37
20,8,1.2635409832000732,34
25,7,1.0334563255310059,24
21,7,1.423166275024414,40
19,4,1.0633809566497803,25
22,7,1.0245320796966553,23
18,7,0.8605978488922119,16
23,8,1.2836041450500488,34
16,6,1.4935436248779297,43
19,8,1.0605134963989258,24
21,6,0.938819408416748,19
23,6,1.1648945808410645,29
24,7,1.0246837139129639,22
19,4,0.934257984161377,20
19,4,0.9470667839050293,19
25,7,1.5210425853729248,43
24,5,1.3923437595367432,39
22,5,1.5676908493041992,46
23,6,0.843217134475708,16
20,8,1.0164942741394043,22
21,6,0.8764562606811523,17
18,6,1.2336063385009766,32
20,8,1.1368906497955322,27
25,6,0.9451699256896973,20
24,8,1.7191965579986572,50
26,7,1.0291752815246582,23
23,7,1.0406992435455322,23
22,6,0.9991686344146729,21
22,6,1.2020490169525146,30
21,8,0.9311966896057129,18
19,4,1.386929988861084,32
20,6,1.3282442092895508,27
21,6,1.660295009613037,40
20,6,1.3007206916809082,27
21,4,1.0913264751434326,20
25,5,1.405754804611206,18
19,5,2.1946706771850586,44
24,9,2.5789616107940674,35
17,7,0.8526172637939453,16
22,7,1.0905327796936035,25
19,6,1.0725679397583008,25
18,4,0.9981772899627686,22
19,7,1.177854061126709,30
22,5,0.9415218830108643,20
21,6,0.9636142253875732,21
22,7,1.5864648818969727,45
22,8,0.8915615081787109,18
22,6,1.5113568305969238,44
