ci_initial,ci_final,elapsed_time,iterations
28,7,1.3866608142852783,27
38,9,1.585742712020874,36
35,10,2.120126247406006,59
38,10,1.3448212146759033,27
38,8,1.4400670528411865,31
37,6,1.1425232887268066,18
34,2,1.5647928714752197,36
29,4,2.011218309402466,54
29,2,1.870551347732544,48
33,4,1.6886682510375977,41
35,4,1.4000427722930908,29
31,5,1.2666428089141846,24
29,6,1.5515570640563965,35
33,5,1.300602674484253,25
33,7,1.5314769744873047,35
32,11,1.88627290725708,49
31,6,1.3059179782867432,26
36,6,1.710716724395752,42
37,6,2.1713740825653076,61
33,5,1.3290114402770996,27
34,6,1.515880823135376,34
35,7,1.745983362197876,43
33,7,1.680488109588623,41
35,5,1.5541574954986572,35
31,3,1.6991047859191895,42
34,9,1.7716929912567139,44
34,5,2.0597732067108154,54
44,4,2.013406753540039,52
33,5,1.1893305778503418,21
31,7,1.3286335468292236,26
37,4,1.3067574501037598,24
35,4,1.650038719177246,39
37,8,1.2412364482879639,21
34,6,1.4161880016326904,29
35,5,1.1964013576507568,19
35,7,1.4697935581207275,31
34,8,1.8933403491973877,48
34,8,1.5499417781829834,35
36,6,1.2092981338500977,20
35,4,1.696990966796875,41
29,6,2.127454996109009,59
36,3,1.4888758659362793,31
32,6,1.3154451847076416,25
35,6,1.4221405982971191,29
38,7,1.498685598373413,32
32,9,1.2685933113098145,23
32,5,1.6465322971343994,38
34,5,1.3775832653045654,28
33,5,1.2670505046844482,23
33,6,1.162224531173706,19
32,7,1.4161434173583984,29
31,7,1.5031771659851074,32
30,4,1.8417155742645264,46
38,6,1.5514240264892578,35
35,4,1.4979865550994873,32
34,6,1.8230631351470947,46
36,9,1.3168301582336426,25
34,5,1.903578519821167,49
35,5,1.4724595546722412,31
32,6,1.3867666721343994,27
36,8,1.4812653064727783,32
34,6,1.3146388530731201,24
34,5,1.4556338787078857,31
30,8,1.4213662147521973,29
31,6,1.4800176620483398,31
33,9,1.918431043624878,50
36,5,1.4518251419067383,30
31,8,1.9057135581970215,49
36,4,1.3947913646697998,28
33,5,1.6453313827514648,38
35,7,1.5797085762023926,35
35,7,1.7731506824493408,44
34,5,1.665416955947876,39
24,5,1.2823216915130615,23
36,5,1.120229959487915,17
33,5,1.7238540649414062,41
30,4,1.8578791618347168,47
31,4,1.5982768535614014,37
36,5,1.7232482433319092,41
29,6,1.9523296356201172,51
36,7,1.8697669506072998,48
29,5,1.8101749420166016,45
36,7,1.4253966808319092,29
33,7,1.2238702774047852,21
39,6,1.2439801692962646,22
36,3,1.228135347366333,21
38,8,1.5740299224853516,36
34,5,1.4599742889404297,30
35,8,1.6827929019927979,40
36,6,1.2439227104187012,22
40,6,1.3483235836029053,26
34,8,1.4517416954040527,30
34,6,1.4063479900360107,29
35,7,1.6055071353912354,37
32,7,1.620048999786377,37
34,6,1.6236178874969482,38
30,7,1.3069629669189453,24
34,6,1.4551076889038086,31
36,6,1.594761848449707,36
32,5,1.9824292659759521,52
34,4,1.701958179473877,41
32,6,1.325563669204712,25
