ci_initial,ci_final,elapsed_time,iterations
7,3,0.9683635234832764,9
9,3,1.1406176090240479,15
9,4,1.1107380390167236,15
8,3,1.1846685409545898,18
8,3,1.1599595546722412,17
7,2,1.3938686847686768,26
5,4,0.9818413257598877,8
10,2,1.2748231887817383,22
8,3,1.112119197845459,16
6,3,1.0760858058929443,14
6,3,1.1727571487426758,18
6,3,1.013376235961914,11
7,4,1.0578148365020752,13
7,3,1.057680606842041,13
8,4,1.04888916015625,13
6,3,1.3882865905761719,26
9,3,1.0636861324310303,14
7,3,1.1857621669769287,17
6,3,1.1548655033111572,17
9,3,1.0942625999450684,15
7,2,1.0966696739196777,14
9,3,1.040330410003662,13
7,3,1.0152602195739746,12
7,3,1.1164782047271729,15
9,3,1.0526695251464844,13
7,3,1.2452094554901123,20
6,4,1.0436067581176758,11
7,3,1.3555707931518555,26
7,4,1.0247128009796143,12
5,3,1.0658910274505615,13
8,3,1.2455241680145264,19
11,3,1.2781264781951904,20
7,3,1.086571455001831,13
7,3,1.1295690536499023,13
6,3,1.2725110054016113,20
9,2,1.2176883220672607,18
9,4,1.0928943157196045,13
7,2,1.0834088325500488,12
5,4,1.0634410381317139,11
6,3,1.0557310581207275,12
7,3,1.325395107269287,22
7,2,1.1853656768798828,16
8,3,1.2855706214904785,21
8,3,1.1780314445495605,17
8,2,1.2526280879974365,19
10,3,1.4210748672485352,27
8,2,1.2148478031158447,18
9,2,1.0829005241394043,12
7,2,1.460207462310791,28
8,3,1.3264105319976807,23
8,2,1.0671875476837158,12
9,2,1.1771180629730225,16
7,3,1.018357753753662,10
7,2,1.2553834915161133,20
7,4,1.2729387283325195,20
6,4,0.9594063758850098,9
9,3,1.1876649856567383,17
5,3,0.988837480545044,9
7,2,1.4759340286254883,29
7,3,1.347804069519043,24
6,3,1.0015666484832764,10
7,3,0.995628833770752,9
7,4,0.9946784973144531,9
8,2,1.261155366897583,20
7,3,1.2589077949523926,20
7,2,1.2377054691314697,20
7,3,1.2330141067504883,19
6,2,1.4515025615692139,27
8,2,1.131277322769165,15
8,4,0.9422087669372559,8
8,3,1.250601053237915,19
7,2,1.3707284927368164,24
8,4,1.1168453693389893,13
6,3,1.2828686237335205,20
8,3,1.4200730323791504,27
7,3,1.068293571472168,12
8,4,1.0245671272277832,10
7,4,1.0468556880950928,10
7,4,1.0179963111877441,10
9,2,1.1813108921051025,16
8,4,1.1663625240325928,17
8,2,1.255326271057129,19
7,2,1.3595900535583496,24
7,3,1.1182525157928467,14
7,4,1.0532081127166748,11
7,2,1.4115099906921387,25
9,2,1.2749364376068115,20
6,3,1.0180232524871826,10
9,4,1.1014320850372314,14
7,2,1.0641045570373535,12
8,4,1.1088380813598633,13
8,3,1.166006088256836,17
7,3,1.1336486339569092,15
6,3,1.0911970138549805,13
7,2,1.18300461769104,17
7,3,1.308509349822998,22
8,2,1.5229778289794922,31
8,3,1.0486421585083008,11
7,4,0.9500269889831543,8
9,1,1.3662574291229248,24
9,2,1.2524008750915527,21
8,2,1.2109522819519043,18
7,3,1.047034502029419,11
9,2,1.2677974700927734,21
7,3,1.1479532718658447,15
6,2,1.1195406913757324,14
9,3,1.116842269897461,13
7,3,1.410109043121338,26
6,2,1.1179628372192383,15
8,4,1.0585346221923828,11
6,3,1.008523941040039,10
