ci_initial,ci_final,elapsed_time,iterations
9,4,1.4105875492095947,18
11,3,1.3142080307006836,13
5,3,1.4597656726837158,20
11,3,1.2340681552886963,10
7,2,1.2647380828857422,11
9,4,1.3286314010620117,14
7,4,1.284306526184082,12
8,2,1.446864128112793,19
6,4,1.3762187957763672,17
6,3,1.472423791885376,20
8,5,1.5154554843902588,22
9,2,1.3082141876220703,13
8,4,1.31917142868042,13
5,3,1.3397729396820068,14
10,3,1.3033473491668701,14
10,4,1.5039608478546143,21
7,2,1.303788423538208,14
10,2,1.6462841033935547,28
9,3,1.3378543853759766,16
11,4,1.586261510848999,26
6,4,1.3601834774017334,14
11,2,1.3470282554626465,16
6,3,1.2167489528656006,11
12,3,1.3645284175872803,18
8,4,1.2099363803863525,12
7,3,1.355555772781372,17
6,2,1.2311820983886719,12
10,2,1.2921380996704102,14
9,3,1.6685552597045898,28
7,3,1.8146653175354004,37
8,4,1.7680926322937012,29
12,2,1.5093574523925781,21
12,4,1.2809536457061768,11
10,3,1.329557180404663,12
8,3,1.6217057704925537,23
7,3,1.2998046875,11
10,4,1.4267256259918213,18
9,4,1.4789338111877441,18
7,3,1.509709119796753,20
5,1,1.7051973342895508,28
8,3,1.389665126800537,15
10,3,1.5304977893829346,21
7,2,1.7007660865783691,29
6,3,1.2545666694641113,10
4,1,1.3473620414733887,15
7,3,1.4308583736419678,16
11,4,1.4431335926055908,18
6,2,1.3324368000030518,13
7,2,1.798948049545288,33
12,2,1.4014854431152344,16
10,3,1.5924267768859863,23
9,3,1.2954812049865723,10
8,5,1.2897355556488037,12
8,3,1.2716870307922363,11
9,3,1.2560935020446777,11
9,3,1.6803991794586182,26
11,1,1.2953622341156006,12
9,5,1.445319414138794,17
8,3,1.568476676940918,25
6,3,1.3166861534118652,12
9,2,1.5436015129089355,23
8,2,1.3444766998291016,13
10,5,1.3765275478363037,15
7,4,1.232367992401123,10
8,1,1.280336856842041,12
4,3,1.278557300567627,11
8,2,1.508263111114502,21
8,4,1.2929046154022217,11
6,3,1.2257707118988037,10
8,4,1.1971776485443115,9
8,4,1.3388760089874268,13
11,5,1.4884939193725586,21
8,2,1.2741758823394775,10
8,4,1.3375158309936523,14
10,4,1.3736634254455566,16
6,3,1.4186127185821533,17
11,2,1.6329336166381836,26
7,3,1.2967181205749512,12
8,4,1.3936140537261963,16
5,2,1.339536428451538,14
6,3,1.430734395980835,16
12,4,1.6263103485107422,25
9,4,1.6947684288024902,29
10,5,1.273411750793457,11
7,2,1.4176576137542725,18
10,3,1.3068230152130127,13
9,3,1.476773977279663,21
8,3,1.4700055122375488,19
9,3,1.39314866065979,16
14,3,1.5729854106903076,23
9,5,1.4687604904174805,20
12,2,2.1667730808258057,50
11,4,1.4133226871490479,16
10,2,1.3927690982818604,18
8,3,1.404463768005371,16
7,2,1.3230295181274414,14
8,4,1.2906818389892578,11
10,3,1.7266850471496582,30
9,3,1.3435237407684326,15
8,4,1.538567066192627,22
12,5,1.4336676597595215,17
9,2,1.4807453155517578,19
8,4,1.2113897800445557,9
8,3,1.3890151977539062,15
11,3,1.26222562789917,11
7,2,1.4223284721374512,18
11,4,1.5417461395263672,23
7,5,1.3828144073486328,16
7,3,1.8256747722625732,34
9,4,1.1972754001617432,9
7,1,1.5099780559539795,21
8,3,1.1867308616638184,10
5,3,1.2686710357666016,12
8,4,1.3837735652923584,15
12,5,1.4421846866607666,19
11,3,1.587559461593628,24
7,4,1.5340793132781982,23
9,4,1.4357597827911377,18
10,6,1.3540236949920654,14
6,3,1.392524003982544,15
7,4,1.5470693111419678,22
8,2,1.2733981609344482,13
9,3,1.4957139492034912,21
10,3,1.3927099704742432,16
10,2,1.5117900371551514,20
8,5,1.4033479690551758,16
6,4,1.205578327178955,10
6,2,1.693636178970337,28
6,2,1.4448902606964111,18
9,3,1.2553167343139648,10
6,1,1.829763650894165,34
12,3,1.763059139251709,33
10,4,1.4931046962738037,22
8,3,1.3753459453582764,16
8,2,1.2341868877410889,9
8,4,1.262251377105713,12
8,4,1.4036717414855957,18
8,3,1.552063226699829,24
