ci_initial,ci_final,elapsed_time,iterations
14,8,41.03523921966553,14
11,10,39.638320207595825,5
13,8,40.31734776496887,8
15,10,40.848305463790894,9
16,11,40.68765926361084,16
10,10,39.96680474281311,4
10,9,40.93535137176514,5
12,10,40.40229940414429,6
15,11,39.77268981933594,13
10,7,39.93648958206177,7
10,9,39.52966260910034,10
15,10,39.41026306152344,12
14,11,39.43719744682312,10
14,10,40.34847378730774,11
14,10,39.73378276824951,10
16,11,40.218021869659424,10
11,9,39.595505237579346,9
14,9,39.510194540023804,14
10,9,39.13100004196167,8
13,9,39.081156730651855,10
12,9,40.30040144920349,5
14,9,39.049660444259644,13
15,10,39.35229206085205,9
10,9,39.93506646156311,4
13,9,39.732479095458984,10
13,10,40.0628559589386,8
12,10,39.740854263305664,12
14,9,39.293386697769165,7
15,8,39.98573565483093,11
11,7,39.78626775741577,12
