ci_initial,ci_final,elapsed_time,iterations
1,0,126.05572295188904,3
0,0,122.9692873954773,2
1,0,123.10820746421814,3
2,0,125.3253071308136,4
1,0,120.69543194770813,3
1,0,108.8615186214447,3
1,0,107.92169427871704,3
1,1,107.8432297706604,2
0,0,108.38171458244324,2
1,0,108.31276392936707,3
0,0,106.42263865470886,2
1,0,107.09604358673096,4
0,0,107.15295338630676,2
1,0,106.63704800605774,3
0,0,106.38825392723083,3
2,0,106.31424474716187,3
0,0,106.65546154975891,3
2,0,106.6032121181488,3
1,0,106.1438717842102,3
0,0,106.48544239997864,2
1,0,107.0741913318634,3
1,0,107.2943434715271,3
1,0,107.6810257434845,4
0,0,107.4095561504364,2
1,0,107.70141816139221,3
0,0,107.724689245224,2
1,0,107.3302972316742,3
1,0,107.64432072639465,3
1,0,107.62434649467468,4
0,0,107.47725892066956,2
