ci_initial,ci_final,elapsed_time,iterations
14,12,0.2428910732269287,9
14,14,0.3157956600189209,3
17,16,0.14085149765014648,5
16,15,0.1836850643157959,7
16,14,0.1589643955230713,10
16,15,0.1491544246673584,5
12,11,0.17498254776000977,3
15,15,0.13880324363708496,3
15,10,0.1717679500579834,11
18,15,0.21641755104064941,8
15,12,0.17126703262329102,8
13,13,0.4023900032043457,4
16,14,0.1602003574371338,6
15,13,0.18392467498779297,8
18,16,0.13333439826965332,6
19,19,0.14030170440673828,5
16,14,0.14308619499206543,9
17,15,0.13908004760742188,7
16,16,0.14547252655029297,4
14,12,0.14288020133972168,7
15,13,0.14853429794311523,6
13,12,0.13751888275146484,6
15,12,0.14223289489746094,7
17,15,0.14053964614868164,9
11,9,0.14939069747924805,9
15,13,0.13757014274597168,7
15,14,0.14724278450012207,5
13,13,0.16953182220458984,4
15,13,0.13264107704162598,6
16,16,0.1592254638671875,4
13,12,0.14569711685180664,5
15,15,0.13707375526428223,6
16,12,0.2061905860900879,9
17,14,0.1567065715789795,9
20,18,0.14147067070007324,7
15,13,0.14437627792358398,7
14,14,0.13580679893493652,4
16,13,0.14668512344360352,7
16,16,0.1330409049987793,5
14,13,0.1395881175994873,4
16,15,0.13946199417114258,6
15,13,0.14445757865905762,6
16,16,0.20232129096984863,4
14,13,0.14358806610107422,7
16,16,0.16437458992004395,4
16,15,0.13721156120300293,4
14,14,0.13053011894226074,5
10,10,1.4591624736785889,5
18,16,0.15691733360290527,5
15,15,0.1388857364654541,4
15,13,0.13286328315734863,4
14,13,0.13291645050048828,5
15,11,0.15993952751159668,8
17,15,0.14786267280578613,7
15,13,0.14637303352355957,9
15,13,0.12463712692260742,5
18,18,0.13700127601623535,4
15,15,0.1299915313720703,4
18,18,0.14057111740112305,4
14,14,0.14291143417358398,4
13,10,0.13605046272277832,7
14,12,0.13643121719360352,4
17,17,0.13117551803588867,4
19,17,0.1365344524383545,9
15,13,0.15659260749816895,8
15,15,0.43601059913635254,4
14,14,0.2435920238494873,4
14,13,0.13072633743286133,5
14,14,0.13745737075805664,3
15,15,0.1330111026763916,5
17,17,0.14525413513183594,3
13,11,0.12795233726501465,5
14,12,0.1377708911895752,8
15,13,0.13787388801574707,6
15,12,0.13901686668395996,6
14,13,0.13430428504943848,6
11,11,0.12639093399047852,2
16,15,0.1380157470703125,6
15,15,0.14017438888549805,4
14,12,0.12876462936401367,5
16,16,0.1241612434387207,3
15,13,0.12734246253967285,5
17,16,0.13755083084106445,5
15,12,0.13981938362121582,8
17,16,0.1360161304473877,5
16,14,0.15913152694702148,7
12,12,0.12984943389892578,4
18,17,0.12897729873657227,5
14,11,0.2106311321258545,7
15,14,0.1408398151397705,5
15,15,0.13267755508422852,4
14,13,0.1535661220550537,6
17,13,0.18536615371704102,9
14,13,0.14441561698913574,8
17,17,0.13419127464294434,5
15,14,0.1304776668548584,6
16,13,0.1366734504699707,10
16,13,0.13959813117980957,8
14,12,0.13245105743408203,8
13,11,0.14767861366271973,5
