ci_initial,ci_final,elapsed_time,iterations
7,5,0.14747262001037598,6
6,5,0.1264195442199707,3
2,2,0.12079930305480957,3
4,4,0.15245699882507324,3
6,5,0.1634073257446289,3
6,6,0.11573648452758789,3
3,2,0.1683049201965332,4
4,4,0.10664486885070801,3
5,5,0.16054725646972656,3
8,7,0.1384599208831787,5
7,6,0.16687893867492676,3
3,3,0.10689115524291992,3
3,3,0.13011479377746582,3
1,1,0.16939949989318848,3
8,7,0.17439770698547363,4
1,1,0.24353861808776855,3
1,1,0.1517937183380127,3
3,3,0.11747407913208008,3
5,4,0.17078709602355957,4
5,5,0.12034463882446289,3
7,6,0.16755056381225586,5
6,5,0.11159062385559082,4
8,8,0.154310941696167,3
1,1,0.15169262886047363,3
6,6,0.14001798629760742,3
5,4,0.16534829139709473,4
6,5,0.13243651390075684,4
3,3,0.1365678310394287,3
5,5,0.1882152557373047,3
7,7,0.15510821342468262,3
4,4,0.15101218223571777,3
5,4,0.16922664642333984,4
3,3,0.08878421783447266,3
3,3,0.12331056594848633,3
2,2,0.14396882057189941,3
5,5,0.15523409843444824,3
2,2,0.11971426010131836,3
5,4,0.15981769561767578,4
2,2,0.1607198715209961,3
7,6,0.16692876815795898,4
5,5,0.12679362297058105,3
8,6,0.164442777633667,7
2,2,0.11071205139160156,3
5,5,0.13805532455444336,3
8,7,0.16696619987487793,5
3,3,0.10774517059326172,3
3,3,0.13331055641174316,3
7,7,0.1686232089996338,5
5,5,0.1263113021850586,3
8,7,0.2605156898498535,8
4,3,0.19424080848693848,3
6,5,0.2125253677368164,4
3,3,0.12675046920776367,3
8,7,0.24974751472473145,4
4,4,0.16889023780822754,3
2,2,0.1225583553314209,3
6,6,0.12452244758605957,3
3,3,0.15575480461120605,3
5,5,0.14501190185546875,3
5,4,0.21952056884765625,4
10,8,0.2899041175842285,5
6,6,0.11624455451965332,3
7,7,0.13880610466003418,3
3,2,0.27553510665893555,4
4,4,0.2352290153503418,3
4,4,0.19353008270263672,3
5,5,0.12266802787780762,3
5,4,0.25379157066345215,4
5,4,0.23219728469848633,4
3,3,0.17589426040649414,3
3,3,0.21860980987548828,3
2,2,0.16579866409301758,3
7,6,0.23084402084350586,3
5,5,0.15616297721862793,3
6,4,0.16785216331481934,5
2,2,0.18479561805725098,3
2,2,0.4796717166900635,3
4,3,0.22461581230163574,3
2,2,0.16066622734069824,3
6,5,0.14911127090454102,3
8,5,0.2870147228240967,6
6,5,0.12448787689208984,3
5,5,0.16188669204711914,3
6,6,0.2530198097229004,3
5,4,0.19326353073120117,4
3,3,0.18955039978027344,3
3,3,0.22175860404968262,3
7,6,0.243455171585083,6
5,5,0.2314298152923584,3
7,7,0.24309110641479492,3
4,3,0.16480541229248047,5
5,5,0.23915958404541016,3
6,6,0.160506010055542,3
5,3,0.2840907573699951,5
7,7,0.20762419700622559,3
5,5,0.24260187149047852,3
4,4,0.1607069969177246,3
8,6,0.29175686836242676,6
4,4,0.12717390060424805,3
6,5,0.424959659576416,4
