ci_initial,ci_final,elapsed_time,iterations
4,1,0.11777734756469727,4
4,1,0.11996865272521973,5
3,0,0.12190008163452148,5
12,4,0.12070178985595703,4
4,2,0.1988661289215088,3
4,1,0.14155149459838867,4
3,0,0.11845541000366211,5
4,1,0.1189107894897461,4
3,0,0.11971521377563477,5
5,1,0.11819744110107422,4
6,2,0.18074631690979004,4
15,3,0.12904596328735352,10
4,1,0.11934208869934082,4
4,3,0.11935782432556152,3
3,0,0.11779594421386719,5
4,1,0.12023115158081055,4
4,1,0.11704516410827637,4
3,0,0.11896800994873047,5
16,5,0.1212313175201416,5
3,0,0.11956024169921875,5
15,4,0.12206053733825684,5
3,0,0.1659989356994629,4
4,1,0.11826395988464355,4
3,1,0.1245265007019043,3
3,0,0.11683416366577148,4
4,3,0.11567497253417969,3
4,1,0.12246537208557129,5
3,0,0.11775732040405273,4
4,1,0.1187293529510498,4
4,1,0.1338191032409668,4
3,0,0.11665177345275879,4
3,0,0.1229848861694336,4
4,1,0.11633014678955078,4
3,0,0.11808633804321289,5
3,1,0.12151837348937988,4
7,3,0.11720418930053711,4
4,1,0.11748290061950684,4
3,0,0.11873269081115723,4
4,1,0.12484359741210938,5
4,1,0.12637019157409668,5
12,2,0.1236579418182373,8
3,2,0.1186378002166748,4
3,0,0.12297940254211426,5
3,0,0.1207742691040039,5
4,0,0.12433886528015137,5
4,1,0.11892032623291016,4
4,1,0.13611602783203125,4
3,0,0.1209564208984375,4
4,1,0.33551931381225586,4
3,0,0.1235649585723877,5
4,1,0.11804580688476562,4
3,0,0.12718725204467773,4
3,0,0.21025848388671875,4
4,1,0.23012566566467285,4
3,0,0.12712621688842773,5
9,2,0.14325737953186035,5
4,1,0.12862443923950195,4
3,0,0.16367197036743164,4
3,0,0.12983489036560059,4
4,1,0.1692180633544922,4
4,1,0.20588374137878418,4
3,0,0.261554479598999,5
3,0,0.3727083206176758,4
6,2,0.3058125972747803,3
3,0,0.2169814109802246,5
3,0,0.20654845237731934,4
4,1,0.28124356269836426,4
3,0,0.2745950222015381,5
3,0,0.21525835990905762,4
4,1,0.2396087646484375,4
14,6,0.25350046157836914,5
4,1,0.28170251846313477,4
4,1,0.2252190113067627,4
4,2,0.2188253402709961,4
4,1,0.22515439987182617,4
4,1,0.2413623332977295,4
4,1,0.22289347648620605,4
3,0,0.21654820442199707,4
3,0,0.1885852813720703,4
3,0,0.21317601203918457,5
3,0,0.3364408016204834,4
4,2,0.3454594612121582,4
3,0,0.2791924476623535,5
6,1,0.32154273986816406,5
4,1,0.15652108192443848,4
4,1,0.22453594207763672,4
3,0,0.21795892715454102,4
7,1,0.16736555099487305,4
3,0,0.1788194179534912,5
3,0,0.16520094871520996,4
4,2,0.14223575592041016,3
4,1,0.13456487655639648,4
3,0,0.1509077548980713,5
7,2,0.1652674674987793,4
4,1,0.15878057479858398,4
3,0,0.15547490119934082,5
4,1,0.16101288795471191,4
4,1,0.16863107681274414,4
3,0,0.16989421844482422,4
3,0,0.18523311614990234,4
