ci_initial,ci_final,elapsed_time,iterations
1,1,0.20833730697631836,2
1,1,0.17486906051635742,2
3,2,0.15669989585876465,4
2,2,0.14618611335754395,2
1,1,0.18368268013000488,2
3,3,0.15082430839538574,2
2,2,0.13614320755004883,2
3,2,0.18544864654541016,3
3,3,0.16159558296203613,2
2,2,0.15296435356140137,2
1,1,0.19971442222595215,2
2,2,0.14528536796569824,2
1,1,0.2109382152557373,2
2,2,0.14310956001281738,2
2,1,0.17282748222351074,4
1,1,0.1750049591064453,2
2,2,0.14096379280090332,2
1,1,0.17156648635864258,2
3,2,0.15631318092346191,5
3,2,0.14591598510742188,3
3,2,0.19781875610351562,3
2,2,0.15044116973876953,2
1,1,0.1454942226409912,2
2,2,0.18016839027404785,2
3,3,0.14587163925170898,2
1,1,0.14185428619384766,2
1,1,0.22042012214660645,2
2,2,0.14363384246826172,2
2,2,0.11074113845825195,2
2,2,0.1632082462310791,2
2,1,0.15759730339050293,3
3,3,0.14307832717895508,2
2,2,0.20276451110839844,2
2,2,0.14177775382995605,2
2,1,0.13833117485046387,3
2,2,0.13951969146728516,2
1,1,0.1286931037902832,3
2,2,0.14036917686462402,2
2,2,0.14380598068237305,2
2,2,0.1436312198638916,2
3,2,0.14259552955627441,4
2,2,0.14087963104248047,2
2,2,0.14098572731018066,2
1,1,0.15440940856933594,2
0,0,0.1565992832183838,2
1,1,0.19796085357666016,2
0,0,0.323638916015625,2
2,2,0.19854235649108887,2
2,1,0.21977710723876953,2
2,2,0.25049448013305664,2
2,1,0.2610437870025635,3
2,2,0.302781343460083,2
1,1,0.2247791290283203,2
2,2,0.24958419799804688,3
2,2,0.21430420875549316,2
1,1,0.21274781227111816,2
1,1,0.23282098770141602,2
2,1,0.15875911712646484,3
1,1,0.13588595390319824,2
1,1,0.1592264175415039,2
1,1,0.22848057746887207,2
3,3,0.2483348846435547,2
2,2,0.17473769187927246,2
1,1,0.193389892578125,2
1,1,0.1549532413482666,2
3,2,0.14430618286132812,3
2,1,0.14477944374084473,3
2,2,0.15575218200683594,2
2,2,0.1551523208618164,2
2,2,0.1462717056274414,2
2,2,0.15834522247314453,2
2,2,0.1692945957183838,2
2,2,0.13877511024475098,2
1,1,0.14879798889160156,2
2,1,0.15323925018310547,3
2,2,0.17292475700378418,2
3,2,0.2263638973236084,5
1,1,0.14568328857421875,2
1,1,0.12634587287902832,2
1,1,0.14095187187194824,2
0,0,0.14429545402526855,2
2,2,0.13826942443847656,2
2,1,0.1425182819366455,3
2,1,0.18851065635681152,3
2,2,0.16113805770874023,2
4,2,0.13824176788330078,3
4,3,0.14305591583251953,3
1,1,0.14578700065612793,3
1,1,0.1443347930908203,2
2,2,0.1423189640045166,2
2,1,0.1237325668334961,3
1,1,0.11273956298828125,2
3,3,0.12102437019348145,2
2,2,0.15424275398254395,2
1,1,0.14420294761657715,2
3,2,0.14536380767822266,3
2,2,0.14873027801513672,2
2,2,0.14821839332580566,2
1,1,0.1231381893157959,2
1,1,0.11787033081054688,2
