ci_initial,ci_final,elapsed_time,iterations
18,11,0.0494382381439209,41
19,9,0.029314517974853516,16
19,11,0.03662300109863281,31
18,11,0.03386116027832031,26
19,11,0.04382967948913574,26
19,10,0.025558948516845703,16
19,11,0.026511430740356445,16
19,11,0.047265052795410156,40
18,10,0.025479793548583984,17
19,10,0.029112815856933594,19
19,11,0.05576324462890625,50
18,10,0.03807711601257324,17
18,11,0.03399229049682617,26
19,10,0.02979254722595215,19
18,11,0.03148031234741211,19
19,8,0.02889084815979004,21
18,10,0.028584003448486328,16
19,11,0.03427243232727051,26
18,11,0.13358354568481445,48
18,11,0.05477118492126465,50
19,11,0.04803729057312012,40
18,10,0.03631734848022461,26
18,11,0.04639554023742676,40
18,11,0.033367156982421875,26
18,11,0.026524782180786133,15
18,11,0.04664182662963867,26
19,10,0.024609088897705078,15
19,10,0.033745527267456055,26
19,9,0.031273841857910156,19
19,11,0.0903615951538086,42
19,11,0.02591562271118164,15
18,9,0.02692270278930664,18
19,10,0.027973651885986328,19
18,9,0.031241178512573242,19
19,11,0.02527785301208496,16
18,9,0.030917882919311523,18
19,11,0.046820878982543945,40
18,10,0.027470111846923828,19
19,9,0.028531789779663086,15
18,10,0.03301286697387695,26
19,9,0.02571845054626465,15
19,11,0.04637765884399414,39
18,11,0.0470883846282959,40
19,10,0.025671005249023438,17
19,10,0.029083251953125,17
18,11,0.026583433151245117,17
18,11,0.034980058670043945,26
18,10,0.036220550537109375,26
19,11,0.025319576263427734,16
19,11,0.047891855239868164,40
18,10,0.02951669692993164,17
19,11,0.04436898231506348,36
18,11,0.032575130462646484,26
18,11,0.056001901626586914,51
19,11,0.028571128845214844,19
19,11,0.023468732833862305,14
18,9,0.027884721755981445,18
19,11,0.036734819412231445,26
18,10,0.03466391563415527,17
18,11,0.03870725631713867,31
19,9,0.031531572341918945,19
19,11,0.026406049728393555,17
18,11,0.037203311920166016,26
18,10,0.03669166564941406,26
19,10,0.02830362319946289,17
19,11,0.04287266731262207,26
19,11,0.029221296310424805,16
19,11,0.03326749801635742,26
19,11,0.04425048828125,40
18,10,0.029436349868774414,17
19,10,0.028314828872680664,17
19,9,0.028340816497802734,19
18,11,0.03607773780822754,26
18,10,0.02608942985534668,17
18,11,0.05317234992980957,48
19,10,0.03056645393371582,18
19,11,0.025479793548583984,16
19,11,0.03440093994140625,26
18,11,0.04227733612060547,32
19,11,0.02570629119873047,17
19,10,0.03444504737854004,26
18,11,0.02546548843383789,15
18,11,0.03433418273925781,26
19,11,0.028977394104003906,16
19,11,0.025155067443847656,16
18,11,0.04644274711608887,39
19,9,0.03113245964050293,19
19,11,0.04030942916870117,32
19,10,0.026478290557861328,17
19,10,0.03192329406738281,18
19,11,0.03248858451843262,26
18,11,0.03474068641662598,26
19,11,0.04793572425842285,41
19,11,0.04646587371826172,39
19,11,0.04985499382019043,40
18,11,0.025080204010009766,16
18,9,0.027791976928710938,18
18,11,0.03787565231323242,27
19,10,0.026181936264038086,18
19,10,0.030792951583862305,18
