ci_initial,ci_final,elapsed_time,iterations
24,10,0.082977294921875,11
22,10,0.07083916664123535,9
21,11,0.06328821182250977,7
25,12,0.07011556625366211,9
23,8,0.06149458885192871,7
26,10,0.07123208045959473,9
17,9,0.0852053165435791,12
21,12,0.08761453628540039,11
23,9,0.05996251106262207,7
23,11,0.09142875671386719,12
24,12,0.1008138656616211,14
22,11,0.07169437408447266,8
22,8,0.06117558479309082,7
26,10,0.07634258270263672,10
22,10,0.07299995422363281,9
27,11,0.05471658706665039,6
25,10,0.08235716819763184,11
21,8,0.08264017105102539,11
20,10,0.050148725509643555,5
23,14,0.0711374282836914,9
17,5,0.08660721778869629,12
23,10,0.0869438648223877,12
25,11,0.08908891677856445,12
23,13,0.13000082969665527,20
22,8,0.10876607894897461,12
19,10,0.08305168151855469,11
21,7,0.07041311264038086,9
24,12,0.053710222244262695,5
26,10,0.09283995628356934,13
26,10,0.07497477531433105,9
23,11,0.09067153930664062,13
25,12,0.05389690399169922,6
18,10,0.04893231391906738,5
23,10,0.07631206512451172,10
21,6,0.07659387588500977,10
25,11,0.06545257568359375,8
21,13,0.04324984550476074,4
22,12,0.08109331130981445,10
19,15,0.06304717063903809,7
22,14,0.07744073867797852,10
26,9,0.06618142127990723,8
20,14,0.07776427268981934,10
23,9,0.07169556617736816,9
23,14,0.07782459259033203,10
23,14,0.06289815902709961,7
19,13,0.07460832595825195,9
20,9,0.05434775352478027,6
21,8,0.054283857345581055,6
24,11,0.0836942195892334,11
22,7,0.1035165786743164,14
19,9,0.08401083946228027,11
22,9,0.10466933250427246,14
20,12,0.0877532958984375,12
20,7,0.09812760353088379,14
22,12,0.06146860122680664,7
22,11,0.05527210235595703,6
17,7,0.08779335021972656,12
22,11,0.05446314811706543,6
23,9,0.06319975852966309,7
18,7,0.060138702392578125,7
23,8,0.07318115234375,9
23,11,0.06020712852478027,7
23,12,0.07223105430603027,9
21,10,0.0653376579284668,8
18,7,0.061540842056274414,7
20,11,0.0804297924041748,10
23,10,0.056005001068115234,6
20,12,0.07389140129089355,9
19,9,0.06452155113220215,8
21,9,0.07016229629516602,9
24,9,0.08208966255187988,11
20,10,0.06072282791137695,7
22,9,0.05614018440246582,6
19,10,0.0673980712890625,8
20,8,0.07713699340820312,10
22,6,0.07748150825500488,10
17,6,0.06621789932250977,8
20,13,0.06181788444519043,7
18,10,0.08310127258300781,11
22,10,0.05555295944213867,6
22,12,0.06261277198791504,6
24,9,0.06193065643310547,7
18,11,0.07214760780334473,9
24,12,0.08517146110534668,9
25,10,0.06867647171020508,8
24,13,0.055594682693481445,6
23,10,0.09909248352050781,13
23,11,0.07246804237365723,9
19,8,0.08592724800109863,11
22,10,0.07502031326293945,10
23,13,0.06644415855407715,8
22,12,0.07580089569091797,10
23,9,0.07379698753356934,9
22,8,0.0633394718170166,6
21,11,0.0569915771484375,6
22,12,0.0701909065246582,9
21,10,0.06363558769226074,7
24,12,0.06240963935852051,7
23,11,0.06103253364562988,7
23,8,0.10550165176391602,15
