ci_initial,ci_final,elapsed_time,iterations
21,10,0.13962554931640625,6
18,4,0.1900491714477539,13
19,8,0.1643071174621582,9
17,4,0.12714481353759766,5
15,4,0.13009190559387207,5
14,7,0.13688063621520996,7
21,7,0.1296062469482422,6
17,5,0.14498686790466309,7
16,4,0.16609430313110352,11
17,9,0.13869309425354004,6
17,7,0.14958906173706055,8
14,5,0.13792204856872559,7
21,12,0.16367030143737793,11
14,5,0.1415245532989502,7
21,10,0.1390540599822998,8
17,8,0.1452193260192871,6
16,5,0.12946486473083496,5
17,3,0.16275763511657715,11
16,5,0.15634417533874512,9
13,5,0.12866759300231934,5
15,6,0.13483548164367676,7
21,8,0.15009713172912598,8
17,8,0.1281723976135254,6
16,4,0.22240161895751953,11
14,4,0.16655659675598145,11
13,5,0.12284660339355469,5
21,10,0.15295743942260742,8
16,3,0.152754545211792,8
15,6,0.14245057106018066,7
18,5,0.13556718826293945,6
19,7,0.14264822006225586,8
15,2,0.17298054695129395,11
13,3,0.13411855697631836,6
16,4,0.13471150398254395,6
19,7,0.14954352378845215,9
17,8,0.13508367538452148,6
18,9,0.14249467849731445,7
17,9,0.13551759719848633,6
22,8,0.12257838249206543,5
18,6,0.14266419410705566,8
16,7,0.14201068878173828,7
13,2,0.1708059310913086,11
17,8,0.1571977138519287,9
20,9,0.14456915855407715,5
18,7,0.14676213264465332,8
13,4,0.16263365745544434,10
21,9,0.17598938941955566,12
15,3,0.13521480560302734,6
14,7,0.14185237884521484,7
17,8,0.13897705078125,7
11,2,0.13704514503479004,7
19,6,0.15013527870178223,9
15,8,0.1322956085205078,5
12,4,0.14487862586975098,8
18,7,0.17763304710388184,12
16,4,0.12828969955444336,5
15,7,0.1630856990814209,11
18,7,0.1627216339111328,10
18,10,0.1759018898010254,12
13,5,0.14850568771362305,8
18,7,0.12864947319030762,6
19,6,0.1388847827911377,6
18,6,0.14637327194213867,7
21,6,0.16021013259887695,9
17,7,0.19159603118896484,14
18,7,0.15585708618164062,9
19,5,0.14849352836608887,8
15,3,0.14239907264709473,8
16,8,0.1560497283935547,8
18,10,0.16398072242736816,11
16,8,0.13680100440979004,6
18,5,0.15080952644348145,6
14,6,0.1509838104248047,7
13,2,0.16118717193603516,11
17,6,0.17860150337219238,11
18,6,0.17031288146972656,11
13,3,0.1861588954925537,10
15,4,0.1701803207397461,11
15,4,0.16744375228881836,11
19,7,0.13036775588989258,6
17,4,0.14593768119812012,8
14,6,0.14292454719543457,7
19,2,0.16517162322998047,9
15,7,0.2237391471862793,9
13,6,0.1839287281036377,7
16,10,0.1349949836730957,6
16,4,0.14910268783569336,8
13,2,0.1594080924987793,10
18,8,0.16447925567626953,10
12,4,0.14342784881591797,7
16,3,0.1507115364074707,8
15,7,0.13062644004821777,6
14,4,0.15561842918395996,9
15,7,0.14774680137634277,8
16,10,0.1833057403564453,14
11,2,0.1642007827758789,11
17,4,0.13425064086914062,6
17,4,0.1355290412902832,6
21,9,0.17603373527526855,12
15,10,0.13010048866271973,5
