ci_initial,ci_final,elapsed_time,iterations
15,12,0.5163440704345703,14
18,17,0.4052753448486328,8
18,15,0.44562411308288574,10
20,17,0.3848721981048584,6
15,14,0.34564638137817383,4
13,13,0.39168810844421387,5
17,14,0.38470983505249023,7
14,12,0.33229637145996094,4
16,14,0.45920753479003906,10
15,14,0.3836231231689453,6
16,16,0.35170531272888184,3
15,13,0.40361857414245605,7
15,13,0.39374542236328125,9
17,17,0.36254096031188965,4
20,16,0.43198466300964355,11
14,14,0.4017977714538574,6
15,14,0.3847229480743408,6
11,11,0.33248257637023926,3
17,14,0.4092440605163574,6
14,14,0.3810403347015381,6
14,13,0.37244749069213867,5
14,13,0.3765573501586914,5
17,15,0.42572855949401855,9
14,13,0.4511580467224121,9
17,15,0.40705180168151855,7
19,15,0.43251609802246094,9
17,16,0.3606853485107422,6
15,15,0.34845948219299316,4
14,11,0.40352463722229004,8
14,13,0.3619372844696045,5
15,15,0.36989831924438477,5
18,14,0.6596367359161377,13
17,17,0.38573336601257324,6
17,15,0.43963027000427246,7
14,13,0.40297651290893555,8
17,15,0.44898557662963867,6
16,14,0.39569783210754395,8
15,14,0.3946540355682373,5
16,15,0.4189903736114502,9
17,14,0.40013933181762695,7
14,14,0.3731369972229004,5
16,12,0.4084751605987549,8
15,15,0.3793182373046875,5
17,16,0.40288496017456055,7
21,16,0.42406582832336426,9
16,14,0.38515424728393555,5
18,17,0.354567289352417,4
17,16,0.3756709098815918,5
16,15,0.39243054389953613,5
16,14,0.39917659759521484,7
14,12,0.4286022186279297,8
19,15,0.3660142421722412,6
17,14,0.4175245761871338,9
16,15,0.37333059310913086,5
17,15,0.38981008529663086,7
17,13,0.4945046901702881,14
16,14,0.415346622467041,9
13,11,0.4363119602203369,9
14,12,0.36934828758239746,6
14,14,0.35587525367736816,5
17,13,0.4525294303894043,9
18,14,0.37528133392333984,7
17,17,0.40921926498413086,6
15,13,0.40199756622314453,7
11,10,1.0492775440216064,6
16,14,0.4384138584136963,9
14,13,0.44526028633117676,8
14,12,0.4365725517272949,11
16,13,0.4131779670715332,6
15,13,0.36739206314086914,5
11,11,0.3536839485168457,5
17,16,0.4612452983856201,9
13,12,0.38448572158813477,6
15,12,0.44670963287353516,9
19,18,0.43254780769348145,10
17,15,0.47829151153564453,10
16,13,0.4014317989349365,7
15,13,0.4380652904510498,7
17,16,0.4407317638397217,7
19,18,0.37969112396240234,6
17,15,0.44739675521850586,7
17,16,0.4186732769012451,6
19,17,0.4229905605316162,7
15,15,0.3703780174255371,5
17,12,0.386707067489624,8
15,13,0.4300682544708252,8
11,10,0.38757753372192383,6
14,14,0.3745555877685547,5
17,16,0.3891901969909668,6
15,12,0.43350934982299805,9
14,12,0.4096951484680176,7
19,19,0.3794410228729248,5
15,13,0.3990483283996582,6
17,15,0.40798354148864746,8
16,11,0.43260860443115234,9
15,11,0.4716010093688965,11
17,13,0.4911081790924072,13
14,12,0.515160322189331,6
16,15,0.3561267852783203,5
17,14,0.427736759185791,7
19,18,0.3725857734680176,6
14,14,0.37868690490722656,5
15,15,0.39590930938720703,5
17,16,0.39572954177856445,7
16,13,0.4510643482208252,9
15,12,0.4533822536468506,11
13,12,0.3567616939544678,4
13,10,0.3930792808532715,6
16,12,0.4475972652435303,11
15,15,0.39674854278564453,6
17,16,0.3989889621734619,7
16,14,0.46694064140319824,11
19,18,0.37317562103271484,5
17,16,0.36806631088256836,5
15,13,0.44069361686706543,10
14,14,0.3567619323730469,5
16,16,0.36336827278137207,5
17,16,0.384122371673584,5
14,11,0.35854458808898926,6
16,14,0.44459056854248047,9
16,14,0.3722381591796875,6
17,17,0.38083720207214355,5
13,13,0.3851492404937744,5
14,14,0.3445158004760742,5
15,14,0.4311680793762207,8
15,15,0.33823180198669434,4
14,13,0.47896361351013184,6
16,15,0.4360356330871582,5
15,15,0.3874015808105469,6
15,14,0.42873263359069824,6
12,10,0.38430142402648926,6
17,15,0.38292407989501953,6
16,15,0.4008193016052246,6
12,12,0.36510658264160156,5
16,14,0.3881044387817383,6
16,13,0.44667768478393555,11
14,13,0.37627196311950684,6
15,13,0.3765449523925781,6
13,13,0.35146665573120117,4
16,14,0.40337300300598145,7
13,13,0.3918325901031494,6
13,12,0.38518357276916504,5
16,12,0.4997842311859131,13
19,17,0.41561293601989746,8
16,14,0.40447402000427246,6
17,16,0.3618464469909668,5
15,11,0.4417600631713867,7
18,16,0.4549570083618164,8
14,14,0.3510000705718994,4
17,17,0.3982245922088623,5
15,15,0.37964606285095215,6
18,17,0.3774282932281494,5
17,16,0.4172382354736328,5
17,12,0.44185423851013184,10
14,14,0.3916635513305664,4
15,14,0.38599109649658203,5
15,15,0.3636016845703125,5
15,14,0.4155089855194092,7
16,13,0.4418680667877197,10
14,13,0.4039192199707031,7
15,15,0.35825514793395996,5
17,14,0.36099767684936523,6
17,15,0.3743720054626465,5
16,14,0.5767858028411865,9
16,16,0.3958277702331543,5
14,11,0.4094212055206299,8
16,12,0.4536478519439697,9
13,11,0.4049956798553467,8
14,10,0.4596984386444092,12
15,14,0.4473459720611572,10
16,15,0.3935837745666504,6
16,15,0.4739692211151123,10
14,13,0.35526275634765625,5
14,13,0.4081742763519287,6
19,17,0.37290501594543457,6
16,16,0.3535621166229248,5
15,14,0.41173386573791504,6
18,10,0.45986199378967285,12
17,12,0.5267541408538818,14
14,13,0.3754904270172119,6
13,13,0.36228275299072266,5
14,12,0.4005720615386963,5
13,10,0.4638710021972656,10
20,20,0.3801991939544678,5
18,16,0.4189772605895996,8
14,14,0.38646888732910156,5
16,15,0.4175412654876709,6
15,12,0.4080240726470947,8
15,14,0.42243409156799316,8
14,11,0.45061206817626953,11
17,13,0.454254150390625,10
14,13,0.3796994686126709,6
14,14,0.37463855743408203,5
14,12,0.4843876361846924,6
18,16,0.456679105758667,10
17,17,0.3894014358520508,5
17,15,0.4061141014099121,7
16,14,0.37584710121154785,7
18,17,0.42028355598449707,8
16,14,0.39722228050231934,7
14,11,0.4675254821777344,11
17,11,0.46463799476623535,11
16,16,0.39206433296203613,5
17,17,0.38385748863220215,5
15,14,0.3951120376586914,6
20,19,0.4278087615966797,7
14,14,0.3929941654205322,5
16,13,0.46285223960876465,11
18,17,0.38216328620910645,7
13,13,0.36957359313964844,5
15,13,0.4179224967956543,7
15,14,0.40934324264526367,8
18,18,0.3695864677429199,4
15,14,0.36874890327453613,6
13,12,0.383608341217041,6
16,13,0.43785548210144043,10
14,13,0.36582303047180176,5
12,10,0.386303186416626,6
