ci_initial,ci_final,elapsed_time,iterations
38,17,0.16297459602355957,9
37,18,0.15305066108703613,8
34,13,0.23334026336669922,14
38,19,0.1805276870727539,10
33,16,0.15830612182617188,9
38,21,0.11372685432434082,5
46,17,0.16445088386535645,9
36,16,0.20596075057983398,12
38,20,0.18062829971313477,10
38,19,0.1775364875793457,10
37,13,0.18197417259216309,9
36,16,0.17660784721374512,7
35,14,0.21222257614135742,8
32,13,0.2084181308746338,12
34,19,0.16663122177124023,7
38,22,0.21408581733703613,9
39,19,0.26439571380615234,13
37,21,0.2103867530822754,7
40,17,0.2138819694519043,10
34,14,0.26805996894836426,15
37,18,0.3224310874938965,10
35,21,0.15774798393249512,7
35,21,0.12219452857971191,6
39,23,0.16294217109680176,9
35,16,0.18205642700195312,10
36,17,0.21265172958374023,9
42,13,0.2070462703704834,12
39,19,0.1649785041809082,9
39,22,0.22153306007385254,10
33,14,0.2662487030029297,12
35,19,0.20918893814086914,8
34,19,0.25348830223083496,11
31,18,0.21537184715270996,8
38,19,0.2664790153503418,13
34,18,0.306088924407959,13
29,17,0.27939867973327637,8
40,17,0.25917744636535645,10
38,20,0.23765873908996582,11
31,13,0.21245932579040527,8
36,13,0.2666482925415039,11
38,14,0.21367955207824707,9
34,17,0.28011083602905273,14
31,16,0.157379150390625,8
34,16,0.34114980697631836,10
37,20,0.12112808227539062,5
35,11,0.21465468406677246,13
34,17,0.14855670928955078,8
40,20,0.17943096160888672,10
39,19,0.22620391845703125,8
36,19,0.2714378833770752,11
40,18,0.16209149360656738,9
33,13,0.17503762245178223,10
32,16,0.13956379890441895,7
33,19,0.16834282875061035,8
42,18,0.21142315864562988,12
39,17,0.2002270221710205,11
35,18,0.1973738670349121,11
39,20,0.18425774574279785,10
38,22,0.28499817848205566,14
37,17,0.22727465629577637,10
31,14,0.1848006248474121,7
36,18,0.2848849296569824,12
34,16,0.16686606407165527,9
34,17,0.11968278884887695,5
33,16,0.14618301391601562,8
43,14,0.25739097595214844,15
42,20,0.34180736541748047,15
33,17,0.2654118537902832,16
40,13,0.23508810997009277,14
37,18,0.17394781112670898,10
37,14,0.20670485496520996,12
37,20,0.17055606842041016,9
35,21,0.14660215377807617,7
36,13,0.17957425117492676,10
37,17,0.16484951972961426,9
40,14,0.14527082443237305,8
38,17,0.2949643135070801,13
35,16,0.17151594161987305,6
38,16,0.2464771270751953,10
36,22,0.16574621200561523,9
