ci_initial,ci_final,elapsed_time,iterations
22,4,0.22701644897460938,10
22,6,0.17952728271484375,7
24,5,0.1870102882385254,7
21,7,0.23430371284484863,6
32,11,0.2113051414489746,6
19,7,0.1904304027557373,6
28,15,0.26497793197631836,12
22,11,0.17363429069519043,6
24,4,0.19307398796081543,7
22,7,0.22496652603149414,9
25,12,0.20083403587341309,7
20,8,0.1911323070526123,7
24,8,0.20144176483154297,8
22,8,0.1719989776611328,6
25,9,0.24006295204162598,11
27,12,0.22854113578796387,10
24,14,0.16006708145141602,5
30,15,0.20357871055603027,8
21,6,0.18207645416259766,6
25,11,0.16945147514343262,5
25,7,0.19691991806030273,8
23,14,0.17065834999084473,5
22,9,0.16630172729492188,5
27,11,0.20733118057250977,7
24,4,0.17852139472961426,6
22,7,0.23917078971862793,8
28,16,0.1529557704925537,4
21,5,0.21283197402954102,8
27,9,0.2550184726715088,10
21,10,0.19272351264953613,7
28,13,0.2100694179534912,8
23,9,0.17430853843688965,6
27,12,0.20208477973937988,8
23,5,0.21472716331481934,6
25,12,0.1623528003692627,5
22,5,0.26478123664855957,13
22,7,0.2108597755432129,8
19,9,0.19834613800048828,8
22,6,0.19238543510437012,7
25,8,0.23396706581115723,10
25,6,0.18900775909423828,7
26,12,0.19369268417358398,6
29,13,0.19086480140686035,7
28,10,0.21783137321472168,9
27,15,0.16459178924560547,5
19,7,0.20699691772460938,8
24,15,0.17550110816955566,6
29,10,0.19235873222351074,7
21,10,0.18163418769836426,6
26,10,0.17706918716430664,6
21,7,0.18581581115722656,7
18,8,0.16618776321411133,5
26,12,0.1901836395263672,7
26,14,0.18549036979675293,7
26,13,0.21720051765441895,8
22,13,0.2185213565826416,9
20,6,0.19837427139282227,8
28,15,0.20278596878051758,8
21,6,0.19890856742858887,7
20,6,0.18464231491088867,6
28,12,0.22081971168518066,9
24,7,0.27138328552246094,13
26,6,0.18593907356262207,7
28,9,0.3357717990875244,12
27,11,0.15820622444152832,5
23,11,0.20528101921081543,8
20,4,0.202897310256958,8
25,12,0.22983956336975098,6
23,9,0.23837900161743164,8
21,7,0.208526611328125,8
25,9,0.19606304168701172,7
22,5,0.19615840911865234,7
25,13,0.20757627487182617,7
28,9,0.19690561294555664,7
22,11,0.1753830909729004,6
23,6,0.19813275337219238,7
27,12,0.19321227073669434,7
26,9,0.25823521614074707,11
23,5,0.20450234413146973,8
24,9,0.22298598289489746,9
23,5,0.17301559448242188,6
27,8,0.19520306587219238,7
21,9,0.21686744689941406,8
25,9,0.21123600006103516,9
21,10,0.18855619430541992,7
25,6,0.18275713920593262,6
23,4,0.2080247402191162,8
25,9,0.16866397857666016,5
19,8,0.19860148429870605,8
24,9,0.20087909698486328,8
25,14,0.18616867065429688,6
25,13,0.15555024147033691,4
24,7,0.21744036674499512,8
23,10,0.24610638618469238,11
26,8,0.21702289581298828,9
18,8,0.19817352294921875,8
24,6,0.19011878967285156,7
25,8,0.2806849479675293,13
21,8,0.24105548858642578,11
26,14,0.19358205795288086,7
24,11,0.17534184455871582,6
18,4,0.2066967487335205,8
22,7,0.2200307846069336,9
23,5,0.19448471069335938,7
18,4,0.19981169700622559,8
20,9,0.2245314121246338,9
22,7,0.18003606796264648,6
25,9,0.24950313568115234,11
22,8,0.2259531021118164,9
26,13,0.17380642890930176,5
28,10,0.17140674591064453,5
22,5,0.20881223678588867,7
24,10,0.2156074047088623,8
26,12,0.17627334594726562,6
27,13,0.21147918701171875,9
23,11,0.23754382133483887,11
27,11,0.195173978805542,7
28,11,0.21225190162658691,8
22,9,0.28563880920410156,14
23,7,0.17571520805358887,6
27,10,0.18996310234069824,7
22,5,0.18541574478149414,7
28,6,0.19040536880493164,7
24,12,0.17640948295593262,6
27,16,0.19106149673461914,7
28,16,0.263547420501709,13
26,9,0.18407082557678223,6
21,8,0.22869563102722168,6
26,12,0.5005640983581543,9
23,13,0.3460557460784912,7
