ci_initial,ci_final,elapsed_time,iterations
1,1,0.013165950775146484,2
2,2,0.04647207260131836,3
1,0,0.03783130645751953,3
3,3,0.04718279838562012,4
1,1,0.03176426887512207,2
3,3,0.02802419662475586,2
3,3,0.028676271438598633,2
3,3,0.036337852478027344,3
4,1,0.05044364929199219,3
2,2,0.08081340789794922,8
3,2,0.03628039360046387,3
3,3,0.05845904350280762,3
3,3,0.05308341979980469,5
3,3,0.02373647689819336,2
2,2,0.036591529846191406,2
2,2,0.0332033634185791,2
4,3,0.07667732238769531,6
2,2,0.029273033142089844,2
3,2,0.04914116859436035,3
2,2,0.10840058326721191,9
2,1,0.0519709587097168,4
6,5,0.03670620918273926,3
0,0,0.03997683525085449,2
3,2,0.06679606437683105,3
4,4,0.08999443054199219,5
3,3,0.13263916969299316,8
3,1,0.015169858932495117,3
1,1,0.030045509338378906,2
4,3,0.05219721794128418,3
2,2,0.07516312599182129,5
4,4,0.05869245529174805,3
3,3,0.05509352684020996,3
1,1,0.023557662963867188,2
4,3,0.1082916259765625,9
3,1,0.016118526458740234,3
3,3,0.07707500457763672,6
2,1,0.038382530212402344,3
2,2,0.048300743103027344,3
5,4,0.06026434898376465,3
2,2,0.06747150421142578,3
3,2,0.03779721260070801,3
2,2,0.03886890411376953,3
0,0,0.036087989807128906,2
3,2,0.04448747634887695,3
3,1,0.043344736099243164,3
3,3,0.08489799499511719,5
4,2,0.0754404067993164,5
5,4,0.1070868968963623,8
2,2,0.020588159561157227,2
3,3,0.03600955009460449,2
3,3,0.028546571731567383,2
2,2,0.03220343589782715,2
3,3,0.10826539993286133,9
4,3,0.10826563835144043,9
3,2,0.05733990669250488,5
1,1,0.02915477752685547,2
4,4,0.02091383934020996,2
3,2,0.045751333236694336,3
4,3,0.10859227180480957,7
3,2,0.10424375534057617,9
2,2,0.03881978988647461,3
5,4,0.0512089729309082,3
3,3,0.04251384735107422,3
3,2,0.041793107986450195,3
2,1,0.0704810619354248,3
1,1,0.03471255302429199,2
3,1,0.056511640548706055,3
1,1,0.03789496421813965,2
2,1,0.03376412391662598,3
1,0,0.033719539642333984,3
2,2,0.03135371208190918,3
3,2,0.03502297401428223,3
3,3,0.023439645767211914,2
2,2,0.024822711944580078,2
3,2,0.04877471923828125,5
3,2,0.03453826904296875,3
1,1,0.031462907791137695,3
1,0,0.032682180404663086,3
3,3,0.0252072811126709,2
4,2,0.032892465591430664,3
2,2,0.08437371253967285,9
4,2,0.033516645431518555,3
3,3,0.023671865463256836,2
2,2,0.031131744384765625,2
3,2,0.06946158409118652,3
5,3,0.043359994888305664,3
5,4,0.04194927215576172,3
3,3,0.04168081283569336,3
2,2,0.035034894943237305,2
2,2,0.046167850494384766,2
3,2,0.04253554344177246,3
4,3,0.04558300971984863,3
2,1,0.05091547966003418,4
3,3,0.04009437561035156,3
3,3,0.10827326774597168,9
3,3,0.020505666732788086,3
3,2,0.10722684860229492,9
4,3,0.02469038963317871,3
3,2,0.048944950103759766,3
2,2,0.05073094367980957,2
