ci_initial,ci_final,elapsed_time,iterations
2,2,0.06243109703063965,4
1,1,0.023610353469848633,2
0,0,0.023891448974609375,2
3,2,0.023717164993286133,3
2,2,0.024187564849853516,2
0,0,0.023172616958618164,2
2,1,0.024920225143432617,3
1,1,0.02354574203491211,2
1,1,0.024025917053222656,3
2,2,0.02373480796813965,2
2,2,0.02501988410949707,4
1,1,0.0254518985748291,4
0,0,0.023685693740844727,2
3,3,0.024062395095825195,3
0,0,0.023909330368041992,2
2,2,0.02319502830505371,2
1,1,0.023637056350708008,2
0,0,0.024115562438964844,2
2,2,0.02350306510925293,2
4,4,0.02377796173095703,2
2,2,0.02779364585876465,2
3,2,0.025047779083251953,4
2,2,0.024207592010498047,2
3,3,0.02340078353881836,2
2,2,0.023624897003173828,2
3,2,0.024995088577270508,3
2,2,0.023922204971313477,2
4,3,0.027871131896972656,5
2,1,0.02434086799621582,3
2,2,0.02479696273803711,2
2,2,0.024532556533813477,3
1,1,0.02426314353942871,2
2,2,0.023427724838256836,2
2,2,0.023635149002075195,2
2,1,0.02445673942565918,3
0,0,0.02393937110900879,2
2,2,0.025797605514526367,5
3,3,0.02404499053955078,2
2,2,0.02366471290588379,2
1,1,0.024737119674682617,3
3,3,0.024866819381713867,2
3,2,0.02435445785522461,3
2,2,0.02416086196899414,2
1,1,0.024495840072631836,3
3,3,0.02611708641052246,5
0,0,0.023742198944091797,2
1,1,0.02343273162841797,2
3,3,0.02772831916809082,8
2,2,0.02495574951171875,3
6,4,0.0243227481842041,3
3,3,0.02391839027404785,2
0,0,0.023710250854492188,2
1,1,0.02359461784362793,2
3,2,0.023645401000976562,3
2,1,0.024448871612548828,3
2,2,0.023054122924804688,2
2,2,0.023721933364868164,2
4,2,0.024119138717651367,3
2,2,0.023546695709228516,2
3,2,0.02464461326599121,3
1,1,0.02451324462890625,3
3,1,0.030568599700927734,4
3,2,0.026827573776245117,3
2,2,0.02503228187561035,2
1,1,0.02410101890563965,2
2,1,0.024445295333862305,3
1,0,0.024394989013671875,3
1,1,0.023168563842773438,2
1,1,0.02327704429626465,2
3,3,0.02309727668762207,2
1,1,0.024709224700927734,2
0,0,0.023184537887573242,2
3,2,0.02396368980407715,3
1,0,0.0245058536529541,3
3,3,0.024661540985107422,3
2,2,0.023296833038330078,2
0,0,0.022822141647338867,2
2,2,0.023822546005249023,2
0,0,0.022856712341308594,2
1,1,0.02329111099243164,2
3,3,0.023907899856567383,3
2,2,0.024991989135742188,4
2,2,0.02438664436340332,3
3,2,0.024425745010375977,4
2,2,0.02379894256591797,2
3,1,0.026211977005004883,4
2,1,0.029845476150512695,3
1,1,0.023165464401245117,2
2,2,0.022984743118286133,2
2,1,0.02375197410583496,3
2,2,0.023432016372680664,2
2,2,0.023757457733154297,2
2,2,0.02366495132446289,2
2,2,0.023527145385742188,2
2,2,0.023662328720092773,2
3,2,0.023995161056518555,3
2,2,0.023669004440307617,2
1,1,0.025975942611694336,2
2,2,0.023162126541137695,2
2,2,0.023857593536376953,3
