ci_initial,ci_final,elapsed_time,iterations
6,5,0.009582042694091797,3
5,4,0.009506702423095703,3
7,4,0.009549856185913086,3
3,3,0.008749961853027344,2
6,3,0.011833667755126953,4
6,5,0.01317143440246582,8
4,2,0.009471893310546875,3
4,3,0.009537935256958008,3
5,5,0.010146617889404297,3
8,5,0.010194063186645508,4
5,4,0.010262250900268555,4
6,4,0.011006355285644531,3
7,4,0.009510993957519531,3
7,2,0.014080047607421875,7
7,5,0.010946035385131836,5
5,3,0.010056018829345703,3
7,4,0.012568235397338867,7
7,5,0.010185718536376953,4
9,6,0.01163792610168457,6
7,4,0.009570837020874023,3
5,4,0.011234760284423828,5
5,5,0.00944375991821289,3
6,3,0.01024484634399414,4
6,4,0.009499073028564453,3
4,4,0.00944972038269043,3
6,6,0.010437250137329102,4
6,3,0.012815713882446289,7
4,4,0.015523433685302734,2
5,2,0.01088404655456543,5
6,4,0.00967097282409668,3
6,4,0.011899948120117188,4
7,2,0.012046575546264648,4
6,3,0.00947713851928711,3
7,4,0.009567022323608398,3
7,6,0.009658098220825195,3
5,3,0.009662866592407227,3
6,4,0.009482622146606445,3
8,5,0.012497186660766602,7
4,2,0.009439229965209961,3
6,4,0.00968480110168457,3
5,4,0.009448528289794922,3
9,6,0.00977945327758789,3
7,4,0.009676218032836914,3
5,4,0.011640548706054688,6
6,3,0.009629249572753906,3
5,5,0.011107683181762695,4
3,2,0.010100841522216797,3
7,3,0.01037287712097168,3
9,4,0.014168500900268555,7
8,2,0.009554386138916016,3
6,4,0.011111974716186523,5
7,6,0.010091304779052734,3
4,2,0.011132240295410156,5
6,3,0.011777877807617188,5
7,3,0.009531736373901367,3
6,4,0.009463310241699219,3
7,5,0.010977506637573242,4
7,5,0.00946497917175293,3
3,2,0.014878034591674805,9
5,4,0.010992288589477539,5
4,3,0.009650707244873047,3
5,4,0.009544610977172852,3
5,3,0.009481430053710938,3
6,5,0.009766578674316406,3
7,5,0.011674165725708008,6
7,6,0.00972890853881836,3
5,2,0.011589288711547852,3
6,6,0.015432119369506836,6
5,2,0.010155439376831055,3
4,2,0.009549140930175781,3
5,4,0.009586095809936523,3
4,2,0.009676456451416016,3
7,3,0.011870861053466797,4
5,2,0.009539604187011719,3
7,4,0.009700298309326172,3
6,6,0.011652946472167969,6
5,4,0.00949859619140625,3
8,5,0.010149478912353516,3
4,3,0.009436845779418945,3
6,5,0.010222911834716797,4
5,3,0.011009693145751953,5
5,4,0.009618282318115234,3
7,3,0.010321617126464844,3
4,1,0.009510517120361328,3
5,2,0.009476900100708008,3
5,3,0.009533166885375977,3
6,3,0.010424613952636719,4
7,6,0.010457754135131836,3
5,4,0.010464191436767578,3
7,5,0.010577917098999023,3
6,5,0.014695882797241211,10
5,4,0.009506702423095703,3
6,4,0.009563446044921875,3
5,3,0.009382486343383789,3
7,4,0.01018381118774414,4
4,3,0.010993480682373047,5
5,5,0.009491920471191406,3
5,3,0.009563922882080078,3
6,5,0.009463310241699219,3
6,3,0.011186361312866211,5
