ci_initial,ci_final,elapsed_time,iterations
3,0,2.3904502391815186,3
2,0,1.6154639720916748,3
1,0,1.620220422744751,3
1,0,1.655993938446045,3
2,0,1.609253168106079,4
1,0,1.6146271228790283,3
2,0,2.0644936561584473,3
0,0,1.5531253814697266,2
5,0,1.7622992992401123,4
2,0,2.5382823944091797,3
3,0,2.0389912128448486,3
1,0,1.6468522548675537,3
0,0,1.6292898654937744,2
1,0,1.6307775974273682,3
2,0,2.727903127670288,4
2,0,1.8656535148620605,3
1,0,2.334357738494873,3
0,0,3.472297430038452,2
0,0,4.065452575683594,2
1,0,1.9394934177398682,3
3,0,1.8942298889160156,3
3,0,1.6485295295715332,4
1,0,1.6988632678985596,3
3,0,1.9624128341674805,4
1,0,1.9737792015075684,3
2,0,2.3915159702301025,4
1,0,1.9437859058380127,4
2,0,2.594977378845215,3
2,0,1.8942921161651611,3
1,0,4.925992965698242,3
