ci_initial,ci_final,elapsed_time,iterations
12,2,0.6642823219299316,3
14,1,0.5847992897033691,4
13,2,0.6083173751831055,5
13,1,0.643291711807251,6
13,2,0.6424198150634766,7
12,1,0.6039857864379883,5
14,2,0.5835080146789551,7
13,1,0.5555629730224609,3
14,2,0.5694894790649414,3
12,2,0.5799911022186279,5
14,1,0.7394578456878662,4
14,1,0.7311015129089355,5
13,1,0.6991400718688965,3
12,1,0.7027740478515625,4
12,2,0.721867561340332,5
13,1,0.7253649234771729,4
13,2,0.6991586685180664,4
13,1,0.7266397476196289,3
14,1,0.7195816040039062,4
13,2,0.7121114730834961,5
13,1,0.7028095722198486,3
12,1,0.703768253326416,3
14,1,0.7499082088470459,3
13,2,0.7241945266723633,7
12,1,0.7247521877288818,3
13,1,0.7075128555297852,3
14,1,0.7155969142913818,4
13,1,0.70180344581604,4
13,1,0.7698929309844971,5
13,1,0.8044228553771973,5
