ci_initial,ci_final,elapsed_time,iterations
0,0,5.178241968154907,2
2,1,5.229739665985107,3
1,0,5.2224016189575195,3
2,0,4.606693983078003,4
2,0,4.564978122711182,3
1,0,4.668123245239258,3
4,1,5.164568185806274,4
2,0,4.836972951889038,4
2,0,5.482685804367065,3
2,0,5.511644601821899,4
2,1,5.273711919784546,3
2,0,5.324385166168213,3
1,0,5.012285470962524,3
1,1,4.989703178405762,3
3,0,4.660285711288452,4
2,0,4.643687009811401,4
3,0,4.374291896820068,3
2,1,4.568055629730225,3
2,0,5.540135383605957,4
2,0,5.256296634674072,4
0,0,5.142556667327881,2
2,0,5.205706834793091,4
2,0,5.237960338592529,4
3,0,5.500968933105469,3
3,1,5.546351194381714,4
3,0,4.921772480010986,4
1,0,6.875444650650024,3
3,0,5.130152463912964,4
1,0,5.100962162017822,3
0,0,4.708904504776001,2
