ci_initial,ci_final,elapsed_time,iterations
8,5,0.02922677993774414,3
9,5,0.033533334732055664,5
10,5,0.03198051452636719,6
8,6,0.026910781860351562,2
9,3,0.027252197265625,3
10,5,0.026975154876708984,3
9,4,0.03076028823852539,6
8,2,0.02698063850402832,3
7,5,0.028086423873901367,3
9,4,0.02622056007385254,2
10,4,0.026283979415893555,2
12,3,0.03090810775756836,4
7,3,0.029563426971435547,5
6,5,0.030647993087768555,6
10,5,0.026386260986328125,2
9,4,0.02632737159729004,2
7,4,0.03084540367126465,6
10,4,0.026784420013427734,3
7,4,0.026682376861572266,2
8,4,0.037035226821899414,5
8,3,0.02714371681213379,3
9,5,0.026352643966674805,2
9,4,0.03132891654968262,4
7,4,0.026799917221069336,3
10,3,0.026669025421142578,3
9,4,0.026929855346679688,2
8,3,0.026195764541625977,2
8,3,0.02600264549255371,2
7,5,0.0261690616607666,3
8,5,0.026019811630249023,2
8,5,0.03234744071960449,7
8,5,0.026261091232299805,2
7,3,0.026852130889892578,3
7,2,0.02698040008544922,3
10,5,0.026979923248291016,3
9,4,0.02644062042236328,2
10,5,0.02632308006286621,2
8,4,0.02716541290283203,3
9,4,0.02744889259338379,3
11,4,0.026346683502197266,2
8,4,0.031165361404418945,4
9,5,0.027136802673339844,2
8,5,0.02573370933532715,2
10,5,0.0268094539642334,3
8,2,0.02672433853149414,3
10,3,0.026572465896606445,2
8,4,0.02621006965637207,3
9,2,0.026408910751342773,3
9,3,0.026430130004882812,3
11,3,0.02685070037841797,3
9,6,0.02884531021118164,5
8,7,0.027696847915649414,4
8,4,0.026548147201538086,3
7,4,0.031433820724487305,6
9,7,0.026471614837646484,2
8,4,0.029827356338500977,3
10,3,0.026958227157592773,3
8,5,0.030609130859375,6
9,3,0.026545286178588867,3
9,4,0.026163816452026367,3
9,4,0.0258333683013916,2
9,5,0.02580118179321289,2
9,6,0.026186704635620117,3
7,2,0.02878594398498535,3
11,6,0.02598094940185547,2
9,2,0.026027917861938477,3
6,2,0.02655768394470215,3
7,3,0.026491641998291016,3
8,4,0.028441905975341797,2
11,4,0.026866674423217773,3
7,3,0.027067899703979492,3
7,2,0.026051759719848633,2
8,5,0.0286104679107666,3
10,4,0.0262148380279541,3
9,4,0.026241064071655273,2
9,5,0.02611064910888672,2
6,3,0.028992652893066406,5
10,3,0.02650165557861328,3
9,6,0.026155471801757812,2
8,3,0.027391672134399414,3
8,4,0.02712249755859375,2
7,2,0.025950908660888672,2
11,3,0.025731801986694336,2
8,3,0.027324438095092773,3
9,3,0.026378393173217773,3
10,5,0.02642822265625,3
8,4,0.028360843658447266,4
9,3,0.02740478515625,3
8,1,0.026335477828979492,3
6,2,0.02881169319152832,5
6,4,0.026132822036743164,2
8,2,0.02622842788696289,3
9,4,0.03684806823730469,3
8,3,0.027092933654785156,3
10,6,0.02675008773803711,2
8,5,0.027401208877563477,3
9,5,0.030077219009399414,5
9,4,0.03254961967468262,6
9,4,0.02665400505065918,2
10,4,0.026567935943603516,3
