ci_initial,ci_final,elapsed_time,iterations
1,0,8.07377004623413,13
0,0,7.983294725418091,3
1,0,8.035566806793213,18
0,0,8.194397687911987,3
1,0,8.069688320159912,12
1,0,8.041694402694702,12
1,0,8.03633427619934,9
1,0,8.165592193603516,7
0,0,8.039451837539673,3
0,0,8.060785293579102,3
2,0,8.424718379974365,21
1,0,8.44125771522522,4
0,0,8.419496774673462,2
0,0,8.299632549285889,3
1,0,8.129714488983154,11
0,0,8.118944644927979,3
2,0,8.123497724533081,15
1,0,8.177459955215454,10
1,0,8.129531860351562,5
1,0,8.10767149925232,11
0,0,8.101550817489624,3
0,0,8.129490375518799,3
0,0,8.13888669013977,3
1,0,8.128706455230713,17
1,0,8.109121799468994,4
0,0,8.117185831069946,3
1,0,8.153977394104004,19
1,0,8.13612961769104,4
1,0,8.132563829421997,17
0,0,8.150331974029541,3
