ci_initial,ci_final,elapsed_time,iterations
13,2,1.4991354942321777,22
13,2,1.4557178020477295,18
12,2,1.3661062717437744,26
13,2,1.278259515762329,10
12,2,1.283820629119873,12
13,2,1.2615516185760498,25
12,2,1.3081064224243164,9
12,2,1.3405823707580566,52
12,1,1.2881100177764893,15
12,2,1.291712999343872,15
12,3,2.0697741508483887,17
13,2,1.5419726371765137,7
12,2,3.5335586071014404,35
12,2,1.5393989086151123,37
12,2,2.039062261581421,12
12,2,4.572230815887451,11
13,2,2.6161208152770996,12
13,2,2.62691330909729,15
12,3,1.6079435348510742,19
14,2,2.5709049701690674,35
14,2,2.03560471534729,25
13,2,2.0914974212646484,24
13,2,3.6241891384124756,10
12,2,1.818450689315796,25
12,2,2.662661552429199,28
13,2,2.5942556858062744,10
13,2,1.5515964031219482,10
13,2,2.121901512145996,30
12,1,2.0900986194610596,10
12,2,2.149122714996338,32
