ci_initial,ci_final,elapsed_time,iterations
6,3,0.13794255256652832,19
6,3,0.08173394203186035,8
4,2,0.10808920860290527,10
5,3,0.08426570892333984,8
4,3,0.11093568801879883,8
5,2,0.10972976684570312,11
5,2,0.08704257011413574,7
3,2,0.11231184005737305,8
6,2,0.10844922065734863,9
3,0,0.0962684154510498,8
6,3,0.10825920104980469,10
3,1,0.07622528076171875,7
5,3,0.10831642150878906,7
5,1,0.11298942565917969,12
4,1,0.10772967338562012,13
6,1,0.10849881172180176,11
4,1,0.10978412628173828,18
5,2,0.15318942070007324,13
5,2,0.14554929733276367,11
4,1,0.11667490005493164,12
6,1,0.03503894805908203,7
2,1,0.0740199089050293,5
4,2,0.11009788513183594,19
5,3,0.11012005805969238,8
3,2,0.10843777656555176,8
4,0,0.10777997970581055,13
5,2,0.09673833847045898,8
4,2,0.0957479476928711,8
5,2,0.11012077331542969,19
5,2,0.07606840133666992,7
4,1,0.08509445190429688,7
5,0,0.11007189750671387,16
4,2,0.08181238174438477,7
4,1,0.10788989067077637,7
5,2,0.10813093185424805,8
4,1,0.1829519271850586,18
6,2,0.15705442428588867,11
5,1,0.12776803970336914,14
4,1,0.10698342323303223,12
4,2,0.06189680099487305,7
6,3,0.11240506172180176,9
3,2,0.10866641998291016,10
5,1,0.026658058166503906,6
3,2,0.10736942291259766,12
5,2,0.07964015007019043,6
4,3,0.09652948379516602,8
6,0,0.11071062088012695,16
5,1,0.10394048690795898,8
3,1,0.09654545783996582,5
5,3,0.10709238052368164,9
3,1,0.06004810333251953,7
4,1,0.10707283020019531,8
6,1,0.0975809097290039,10
4,0,0.10903215408325195,13
3,0,0.0767965316772461,6
4,3,0.1105809211730957,9
5,2,0.11081290245056152,7
4,2,0.15513300895690918,8
3,2,0.09771394729614258,5
5,2,0.10765719413757324,10
3,2,0.06750869750976562,7
4,1,0.06939816474914551,5
5,3,0.10787749290466309,12
4,1,0.10575675964355469,8
5,2,0.10894227027893066,15
4,2,0.10994267463684082,15
3,2,0.07352805137634277,5
3,2,0.1079404354095459,6
4,2,0.1079559326171875,12
3,2,0.10748529434204102,9
5,0,0.11128592491149902,21
4,2,0.10411763191223145,8
4,2,0.07425212860107422,5
4,3,0.10860013961791992,11
3,1,0.06856179237365723,5
5,2,0.1248314380645752,7
4,1,0.18369245529174805,15
4,2,0.16425585746765137,7
4,3,0.1252751350402832,9
5,2,0.04122328758239746,15
2,1,0.29023194313049316,17
6,0,0.18499422073364258,11
6,2,0.11441421508789062,15
3,1,0.11014056205749512,8
2,2,0.10114407539367676,8
5,2,0.11046862602233887,15
3,1,0.10870194435119629,13
4,2,0.10285305976867676,8
5,1,0.1090087890625,9
3,1,0.13050222396850586,13
5,2,0.10915160179138184,7
5,2,0.1247403621673584,7
4,1,0.12872743606567383,8
1,0,0.10628628730773926,5
3,0,0.1084601879119873,16
4,1,0.07906246185302734,8
3,2,0.1095893383026123,13
6,2,0.11070871353149414,18
5,2,0.10884499549865723,17
5,2,0.10955643653869629,14
5,1,0.10930871963500977,13
6,2,0.10711002349853516,9
4,1,0.09843015670776367,7
5,1,0.10726284980773926,7
3,1,0.07509756088256836,6
2,1,0.10837340354919434,9
5,2,0.10738658905029297,14
3,1,0.11907124519348145,10
4,1,0.18988800048828125,16
3,2,0.10900020599365234,13
5,3,0.10473227500915527,9
4,2,0.10915994644165039,18
6,1,0.07539057731628418,6
5,1,0.10902547836303711,11
5,2,0.09434342384338379,6
5,2,0.09952282905578613,7
2,2,0.0727229118347168,5
4,1,0.10735964775085449,9
5,3,0.09563016891479492,8
3,0,0.08289837837219238,5
6,2,0.07879495620727539,6
6,1,0.10960674285888672,20
