ci_initial,ci_final,elapsed_time,iterations
5,0,10.59705376625061,15
3,0,10.704261779785156,27
4,0,10.673842906951904,11
3,0,10.65294599533081,23
3,0,10.574343204498291,16
2,0,10.767471313476562,16
4,0,10.686354637145996,9
4,0,10.848299264907837,5
4,0,10.546051979064941,19
6,0,10.747532606124878,7
4,0,13.326023817062378,9
5,0,12.86522388458252,9
3,0,13.067311525344849,8
4,0,12.324851036071777,7
4,0,12.964545249938965,15
3,0,12.038658380508423,7
4,0,13.01804518699646,11
3,0,12.167053937911987,10
3,0,14.008586645126343,9
6,0,12.36698031425476,14
4,0,11.988478183746338,9
4,0,12.223000049591064,7
2,0,12.684628009796143,11
4,0,11.308836698532104,13
4,0,11.139187335968018,9
4,0,13.736999034881592,12
6,0,13.684571266174316,17
4,0,11.607089281082153,20
3,0,13.763792514801025,22
3,0,11.930604696273804,21
