ci_initial,ci_final,elapsed_time,iterations
5,2,0.023776531219482422,41
3,1,0.013932943344116211,27
5,3,0.011698484420776367,13
4,2,0.014814376831054688,24
4,1,0.007056236267089844,6
8,1,0.013600349426269531,29
8,1,0.013484954833984375,16
5,1,0.009524106979370117,11
5,1,0.02740621566772461,27
6,0,0.01380777359008789,11
4,1,0.007906913757324219,8
6,0,0.009231328964233398,14
7,1,0.018932580947875977,36
6,2,0.012819528579711914,15
4,2,0.008980989456176758,12
7,1,0.008661985397338867,9
7,1,0.011198043823242188,7
4,1,0.008150100708007812,10
4,1,0.011983394622802734,22
5,3,0.00858163833618164,11
5,1,0.01183629035949707,18
4,1,0.0130157470703125,15
6,1,0.010510683059692383,17
5,2,0.010772943496704102,17
9,2,0.012883901596069336,18
6,2,0.010798215866088867,12
5,1,0.009743928909301758,7
6,2,0.010984420776367188,9
3,2,0.01062321662902832,9
4,1,0.016485929489135742,21
4,2,0.015508174896240234,12
7,2,0.20818519592285156,24
5,1,0.089141845703125,9
5,1,0.030307292938232422,17
6,2,0.02348780632019043,32
4,2,0.01221156120300293,16
7,0,0.014604330062866211,22
3,1,0.010852813720703125,8
6,2,0.011975526809692383,21
5,0,0.01545262336730957,24
6,1,0.014848709106445312,10
5,2,0.0107574462890625,18
6,1,0.013510465621948242,17
4,1,0.012959003448486328,7
4,0,0.008994817733764648,9
5,1,0.015673160552978516,22
5,2,0.015175342559814453,18
5,2,0.01182699203491211,21
7,2,0.008362293243408203,10
5,1,0.01261281967163086,15
6,2,0.013661384582519531,15
5,1,0.008264541625976562,9
5,2,0.013312339782714844,11
6,1,0.015470266342163086,22
5,1,0.009313821792602539,12
4,2,0.010085821151733398,17
6,2,0.01418304443359375,15
6,1,0.014364957809448242,15
7,3,0.021752119064331055,10
5,2,0.010611534118652344,9
6,1,0.0162045955657959,26
6,1,0.014905214309692383,19
4,0,0.011629104614257812,16
6,2,0.01690840721130371,37
6,1,0.012862205505371094,13
6,1,0.010017871856689453,8
6,0,0.013954401016235352,29
7,0,0.008229494094848633,10
7,2,0.01436305046081543,15
4,1,0.017107725143432617,23
4,2,0.012454748153686523,10
3,2,0.011818408966064453,12
3,1,0.008279561996459961,8
5,2,0.009527921676635742,12
5,2,0.008410215377807617,11
4,1,0.010631561279296875,6
5,2,0.013048410415649414,18
5,2,0.01227569580078125,15
6,2,0.013140439987182617,22
4,2,0.012162923812866211,8
6,1,0.013269186019897461,26
4,1,0.007487058639526367,7
4,1,0.012846231460571289,12
5,1,0.05532979965209961,43
6,3,0.011002540588378906,16
7,2,0.017839908599853516,19
6,1,0.010594367980957031,9
5,1,0.010345935821533203,17
7,2,0.01215362548828125,8
2,1,0.010000944137573242,11
6,2,0.010637521743774414,17
5,2,0.009638071060180664,14
5,0,0.010137081146240234,17
5,1,0.009434938430786133,10
6,2,0.0157625675201416,12
4,1,0.009024858474731445,11
4,1,0.010508298873901367,12
6,1,0.011895895004272461,8
4,1,0.00822305679321289,10
7,3,0.011493206024169922,20
6,2,0.012474298477172852,14
5,1,0.013676881790161133,20
7,2,0.015444755554199219,33
6,1,0.012501239776611328,7
4,2,0.010920286178588867,9
7,2,0.00942373275756836,14
6,2,0.00845479965209961,11
6,1,0.013817071914672852,17
7,2,0.008571624755859375,10
5,2,0.011948823928833008,12
4,1,0.010594844818115234,7
7,1,0.014700889587402344,22
4,2,0.012669801712036133,16
6,1,0.012421607971191406,24
5,1,0.012675762176513672,13
5,3,0.012921810150146484,16
8,3,0.01033163070678711,17
4,1,0.013627052307128906,19
6,1,0.017248868942260742,26
4,2,0.009647369384765625,13
3,1,0.010833740234375,19
5,1,0.01410055160522461,17
4,1,0.014909744262695312,17
6,2,0.012440919876098633,12
5,2,0.01067042350769043,13
4,1,0.012363433837890625,22
5,2,0.010516166687011719,17
6,2,0.009366512298583984,13
3,2,0.011904239654541016,20
6,1,0.016104936599731445,29
6,2,0.013164520263671875,11
5,0,0.01647806167602539,25
6,2,0.009473085403442383,14
6,1,0.009159564971923828,12
7,1,0.011567831039428711,10
6,2,0.010384559631347656,15
5,2,0.011014461517333984,10
5,1,0.013605594635009766,15
5,2,0.012148857116699219,15
4,0,0.01080322265625,10
6,3,0.009810447692871094,14
6,1,0.008027791976928711,9
6,2,0.012531042098999023,19
5,1,0.013147115707397461,13
7,2,0.00903463363647461,13
5,0,0.012031793594360352,18
8,3,0.028615713119506836,16
7,2,0.009526968002319336,15
6,1,0.01685476303100586,26
6,3,0.009711265563964844,8
6,1,0.017612218856811523,29
5,1,0.013391494750976562,15
5,1,0.012959480285644531,24
6,1,0.010998249053955078,20
5,2,0.008916616439819336,7
3,0,0.0073893070220947266,6
7,2,0.013988971710205078,21
4,1,0.01326298713684082,11
5,2,0.010216474533081055,8
7,2,0.012804746627807617,26
6,3,0.008852243423461914,12
7,2,0.017380237579345703,21
7,2,0.013721466064453125,13
3,1,0.02319169044494629,14
6,2,0.013912200927734375,18
5,1,0.009409189224243164,12
3,1,0.14996719360351562,18
7,2,0.10576820373535156,12
5,1,0.07684683799743652,8
4,2,0.07276225090026855,14
5,2,0.299793004989624,17
5,1,0.21633434295654297,14
5,2,0.014493227005004883,18
5,1,0.007332801818847656,7
3,1,0.019716739654541016,17
4,1,0.012247562408447266,14
6,1,0.01050710678100586,10
6,1,0.012419939041137695,24
6,1,0.009740591049194336,10
4,3,0.016063451766967773,24
5,2,0.01539754867553711,22
4,1,0.018410682678222656,33
7,4,0.017974376678466797,23
5,1,0.009758710861206055,15
6,1,0.018400192260742188,28
6,2,0.010419607162475586,8
4,1,0.008695125579833984,10
5,2,0.014837980270385742,13
5,1,0.011125802993774414,9
5,0,0.008512496948242188,11
6,1,0.011246919631958008,11
6,0,0.010832071304321289,17
6,2,0.03132033348083496,30
5,2,0.011829376220703125,17
4,2,0.012373924255371094,7
4,2,0.009538650512695312,14
6,1,0.00879669189453125,12
6,2,0.009934663772583008,16
3,2,0.01651620864868164,15
4,2,0.009570121765136719,13
6,1,0.01371908187866211,15
6,2,0.012250661849975586,11
5,0,0.016147375106811523,30
5,1,0.018332481384277344,34
5,2,0.013604402542114258,18
6,1,0.012567520141601562,15
4,1,0.009134292602539062,7
6,2,0.013585090637207031,14
4,2,0.008198976516723633,8
7,0,0.011563777923583984,21
6,1,0.015828609466552734,22
5,0,0.02244710922241211,15
4,2,0.011979818344116211,10
4,1,0.020555496215820312,30
4,1,0.009497404098510742,13
7,1,0.009094953536987305,13
3,1,0.010689496994018555,7
5,1,0.014462471008300781,18
6,0,0.016356229782104492,18
6,1,0.011389732360839844,13
6,1,0.009168386459350586,9
3,1,0.009954214096069336,6
6,1,0.010715961456298828,19
5,1,0.01368570327758789,23
5,1,0.013422727584838867,14
7,2,0.009337663650512695,13
5,3,0.013130664825439453,23
7,2,0.012457132339477539,15
4,0,0.008817672729492188,11
8,2,0.009246826171875,14
5,1,0.016011714935302734,21
6,2,0.012727737426757812,13
3,1,0.009145021438598633,12
3,1,0.013434171676635742,23
4,1,0.026703596115112305,9
5,2,0.009078502655029297,13
5,3,0.009450197219848633,10
6,1,0.017071962356567383,22
7,2,0.014932870864868164,11
5,0,0.010817766189575195,14
5,1,0.017973661422729492,39
5,1,0.009139299392700195,14
6,1,0.01214599609375,11
8,2,0.009954452514648438,11
4,1,0.009358644485473633,10
5,0,0.011413812637329102,9
6,0,0.012345075607299805,17
4,3,0.01143956184387207,9
7,0,0.01005244255065918,15
5,2,0.008542060852050781,11
5,0,0.012510538101196289,15
4,1,0.012752056121826172,10
4,1,0.018588542938232422,26
3,1,0.011621236801147461,9
4,1,0.13152170181274414,14
6,3,0.2039775848388672,24
6,2,0.025101661682128906,13
5,1,0.013245105743408203,21
7,1,0.01516103744506836,25
8,3,0.008279085159301758,9
5,2,0.008653879165649414,9
4,1,0.010894060134887695,9
4,1,0.011838674545288086,12
5,2,0.009049654006958008,13
3,3,0.01285552978515625,13
5,2,0.009796857833862305,15
4,1,0.010774374008178711,11
4,1,0.008453607559204102,9
6,2,0.012759685516357422,21
6,2,0.011670112609863281,14
4,2,0.008669376373291016,11
6,3,0.013072967529296875,28
5,2,0.013050079345703125,14
6,2,0.015077352523803711,20
5,2,0.014203071594238281,17
5,0,0.016041278839111328,24
6,0,0.007671833038330078,8
8,1,0.01152491569519043,21
4,1,0.011169195175170898,15
3,2,0.0077037811279296875,8
6,1,0.015242576599121094,22
6,2,0.019092082977294922,25
7,2,0.012005329132080078,15
6,2,0.01723194122314453,40
3,1,0.007791757583618164,8
5,1,0.02648472785949707,23
6,2,0.01374053955078125,17
6,1,0.007620573043823242,8
4,2,0.017896652221679688,21
6,2,0.010131359100341797,17
5,1,0.007881641387939453,8
6,1,0.010477781295776367,15
4,0,0.010395288467407227,6
6,2,0.007823944091796875,8
4,1,0.015148401260375977,23
5,1,0.013878583908081055,20
7,2,0.010801553726196289,16
7,1,0.020735502243041992,29
4,2,0.011228322982788086,16
6,3,0.012951374053955078,24
5,1,0.009683847427368164,8
6,2,0.009815216064453125,11
6,1,0.013342142105102539,26
5,1,0.013177871704101562,28
7,2,0.014651775360107422,22
5,2,0.016401290893554688,12
3,0,0.01748800277709961,17
7,2,0.014178991317749023,17
6,1,0.0075266361236572266,8
4,2,0.00971531867980957,15
6,3,0.01514887809753418,18
6,2,0.014609813690185547,21
4,1,0.009218454360961914,13
6,2,0.01580190658569336,22
7,0,0.014606714248657227,22
5,2,0.009455204010009766,12
7,2,0.010703563690185547,19
6,2,0.014211654663085938,20
7,2,0.013459205627441406,15
6,2,0.008050203323364258,9
8,1,0.010802268981933594,15
7,1,0.014267683029174805,12
5,1,0.012313127517700195,7
6,2,0.019853830337524414,38
6,1,0.015970468521118164,25
3,2,0.01640939712524414,26
6,1,0.008205890655517578,9
4,2,0.011195182800292969,11
7,2,0.01117086410522461,18
5,1,0.006917715072631836,6
7,0,0.01895284652709961,25
6,1,0.012755870819091797,22
7,2,0.014034271240234375,19
7,1,0.014513731002807617,17
5,2,0.008885860443115234,11
8,2,0.010599613189697266,18
6,1,0.015366792678833008,23
5,1,0.007984399795532227,9
7,2,0.017037153244018555,22
6,1,0.008666753768920898,6
5,1,0.011640071868896484,14
5,0,0.01358795166015625,28
5,2,0.010907649993896484,20
6,3,0.015027284622192383,20
6,1,0.02021646499633789,21
4,1,0.01871180534362793,12
6,1,0.014205455780029297,10
7,1,0.011713504791259766,20
5,1,0.016827821731567383,25
5,1,0.01061391830444336,9
6,2,0.009363651275634766,11
7,2,0.012594461441040039,12
6,1,0.01202845573425293,14
5,2,0.013381481170654297,27
6,1,0.012148857116699219,15
5,2,0.01328134536743164,12
7,3,0.015352249145507812,21
5,0,0.019263505935668945,37
3,2,0.012761354446411133,15
6,1,0.02105712890625,28
6,1,0.018416404724121094,12
3,1,0.01073145866394043,9
7,3,0.01711869239807129,20
7,4,0.011089324951171875,14
6,0,0.00843048095703125,9
6,2,0.02154254913330078,17
5,1,0.014041423797607422,15
8,1,0.016527652740478516,22
7,1,0.016048192977905273,24
5,1,0.012798309326171875,16
3,0,0.01267552375793457,14
3,2,0.010859489440917969,20
6,1,0.011342048645019531,13
5,1,0.011155366897583008,8
6,3,0.00982666015625,14
3,0,0.010783672332763672,11
5,1,0.012833595275878906,17
7,1,0.008115291595458984,9
6,1,0.011042356491088867,19
6,1,0.02898120880126953,29
6,3,0.012579679489135742,9
5,1,0.01252126693725586,13
6,1,0.030266284942626953,47
5,0,0.01038813591003418,12
6,1,0.007811307907104492,6
5,1,0.012148618698120117,13
4,1,0.008330821990966797,8
5,1,0.013136148452758789,25
5,1,0.23222637176513672,30
8,1,0.12050628662109375,16
6,1,0.015116453170776367,8
6,1,0.017200231552124023,9
6,2,0.011627197265625,13
4,1,0.007384300231933594,7
7,3,0.008465290069580078,11
7,1,0.00831913948059082,11
6,0,0.014152288436889648,18
4,0,0.010995864868164062,11
4,0,0.008796930313110352,12
5,0,0.012042999267578125,19
6,1,0.010557413101196289,7
4,1,0.009000778198242188,13
4,0,0.009104490280151367,12
5,2,0.01635122299194336,20
8,1,0.007322072982788086,7
5,2,0.010274410247802734,10
6,1,0.015481710433959961,13
5,2,0.009613037109375,11
6,1,0.010841608047485352,15
7,1,0.010420799255371094,16
8,2,0.00869441032409668,8
5,1,0.014983177185058594,11
5,1,0.02027606964111328,27
6,1,0.016832590103149414,27
4,1,0.014267921447753906,12
6,2,0.010558605194091797,17
7,2,0.01134490966796875,19
5,1,0.012331485748291016,20
5,1,0.011032342910766602,7
7,2,0.01000523567199707,13
5,1,0.008553028106689453,8
6,2,0.012104511260986328,10
7,3,0.012778997421264648,24
3,0,0.010414838790893555,9
5,3,0.013946056365966797,17
4,2,0.012813091278076172,12
6,3,0.011044025421142578,18
5,1,0.01116323471069336,17
5,2,0.01223444938659668,9
7,2,0.012217998504638672,16
7,1,0.008136987686157227,10
6,1,0.014287948608398438,18
5,1,0.015141487121582031,12
5,2,0.008898258209228516,10
7,2,0.011417627334594727,16
4,0,0.012333393096923828,10
5,1,0.014093399047851562,16
6,2,0.010258674621582031,13
5,1,0.012188911437988281,18
5,2,0.01211690902709961,9
4,0,0.011111021041870117,15
7,2,0.024889707565307617,34
5,2,0.015544891357421875,23
5,2,0.010635614395141602,17
6,2,0.01374506950378418,22
8,1,0.013130903244018555,18
3,1,0.01297760009765625,13
5,2,0.01387643814086914,16
3,1,0.012074708938598633,22
4,1,0.013506889343261719,19
4,2,0.009109735488891602,8
4,2,0.015103340148925781,20
4,1,0.012590885162353516,23
5,3,0.011546850204467773,18
5,1,0.013672351837158203,19
6,2,0.010179758071899414,15
4,3,0.010714054107666016,19
5,3,0.011690378189086914,15
7,1,0.015697002410888672,12
5,1,0.009879827499389648,12
3,1,0.009833574295043945,13
5,1,0.018320083618164062,33
5,2,0.01085972785949707,19
6,2,0.014084577560424805,17
5,1,0.00940704345703125,12
8,1,0.011609077453613281,12
4,2,0.014624595642089844,11
6,2,0.01571059226989746,22
6,1,0.013741493225097656,28
