ci_initial,ci_final,elapsed_time,iterations
0,0,0.08759713172912598,4
0,0,0.1648693084716797,4
2,1,0.19995450973510742,8
0,0,0.11832499504089355,5
0,0,0.07400369644165039,4
1,1,0.13447046279907227,8
0,0,0.1088869571685791,5
1,0,0.10113000869750977,6
1,0,0.09385895729064941,4
1,0,0.10662007331848145,7
0,0,0.07284092903137207,4
1,1,0.07694816589355469,6
1,1,0.1305856704711914,9
1,0,0.1363673210144043,8
1,0,0.11700916290283203,5
1,1,0.1278676986694336,8
0,0,0.11925148963928223,5
1,1,0.11259984970092773,5
1,1,0.17872405052185059,13
0,0,0.07132196426391602,4
1,0,0.11419439315795898,21
1,0,0.10454058647155762,7
1,1,0.11124086380004883,7
1,0,0.08675336837768555,6
1,0,0.1263582706451416,5
1,0,0.12305879592895508,5
0,0,0.11456441879272461,3
0,0,0.11193490028381348,4
1,1,0.10799264907836914,7
0,0,0.05401182174682617,5
1,1,0.08474349975585938,5
1,0,0.1090703010559082,9
1,1,0.11688995361328125,8
1,1,0.20517659187316895,16
1,1,0.10924577713012695,7
1,0,0.15161442756652832,13
0,0,0.11487507820129395,4
0,0,0.11112403869628906,4
0,0,0.10175395011901855,5
0,0,0.05060911178588867,4
1,1,0.11388683319091797,18
1,0,0.09276390075683594,5
1,1,0.14220881462097168,9
0,0,0.1064143180847168,4
0,0,0.10799503326416016,4
1,0,0.1259918212890625,6
0,0,0.07785201072692871,4
0,0,0.09443259239196777,4
1,1,0.10924148559570312,8
1,0,0.09847044944763184,5
1,0,0.10697293281555176,9
0,0,0.06931710243225098,4
1,1,0.10845780372619629,8
1,1,0.11615347862243652,24
0,0,0.06393098831176758,4
1,0,0.09040021896362305,5
1,1,0.1388378143310547,7
1,1,0.12035131454467773,5
0,0,0.12164306640625,4
0,0,0.10727739334106445,4
1,1,0.11250090599060059,6
3,1,0.12933802604675293,17
0,0,0.08066606521606445,5
1,1,0.11167025566101074,6
1,1,0.12423586845397949,7
2,1,0.10972762107849121,7
2,0,0.11327099800109863,9
1,1,0.10974550247192383,10
2,1,0.10898184776306152,13
1,0,0.0827493667602539,5
1,1,0.1857752799987793,15
1,1,0.13875699043273926,10
2,1,0.16573619842529297,10
1,0,0.1915452480316162,10
1,1,0.33389782905578613,11
1,1,0.16762518882751465,9
0,0,0.06812524795532227,5
2,0,0.09535551071166992,6
0,0,0.10837340354919434,4
1,1,0.206101655960083,15
0,0,0.09540081024169922,4
1,1,0.10948586463928223,7
2,2,0.10787391662597656,7
2,0,0.08748769760131836,6
1,1,0.15006017684936523,10
1,1,0.17871570587158203,13
1,1,0.13282084465026855,20
2,1,0.12134027481079102,24
1,1,0.1282815933227539,8
1,1,0.1515815258026123,10
0,0,0.11886096000671387,4
1,1,0.10981154441833496,5
0,0,0.10191512107849121,4
0,0,0.13075852394104004,5
0,0,0.1101682186126709,4
0,0,0.10298991203308105,5
1,0,0.11699438095092773,7
1,0,0.10941672325134277,6
1,1,0.10982632637023926,12
1,0,0.1156461238861084,6
2,1,0.177168607711792,15
1,1,0.18802690505981445,16
1,0,0.09578895568847656,5
1,1,0.1661663055419922,10
1,1,0.14868426322937012,11
1,1,0.07758188247680664,4
1,1,0.11046481132507324,9
0,0,0.0876002311706543,4
1,1,0.11080121994018555,13
2,1,0.13265275955200195,9
1,0,0.14421939849853516,11
1,0,0.15511560440063477,17
0,0,0.092926025390625,5
0,0,0.10779929161071777,4
2,1,0.11924219131469727,32
1,1,0.1095268726348877,9
1,1,0.11430788040161133,15
1,0,0.10653162002563477,6
1,0,0.10730934143066406,9
1,1,0.10827112197875977,8
1,1,0.1097254753112793,9
0,0,0.09547257423400879,5
0,0,0.08356690406799316,4
1,0,0.21072697639465332,16
0,0,0.0877082347869873,4
1,1,0.10766458511352539,7
0,0,0.05858016014099121,4
1,0,0.059468984603881836,5
1,0,0.13791513442993164,9
1,0,0.13960480690002441,11
1,1,0.1146390438079834,17
1,1,0.10921096801757812,13
0,0,0.05960893630981445,5
1,1,0.13339471817016602,8
1,0,0.1792442798614502,15
0,0,0.09233379364013672,5
0,0,0.038881778717041016,4
1,1,0.19565629959106445,8
0,0,0.13863182067871094,3
1,1,0.30189990997314453,14
1,0,0.2501976490020752,14
0,0,0.1531991958618164,5
1,0,0.09754800796508789,5
1,0,0.10615301132202148,4
2,1,0.1633002758026123,11
1,1,0.14852666854858398,10
1,0,0.10536432266235352,5
0,0,0.07118821144104004,4
0,0,0.10749936103820801,5
1,0,0.10855937004089355,5
1,0,0.1187124252319336,5
1,0,0.10889816284179688,7
0,0,0.05276894569396973,3
1,1,0.11146354675292969,6
1,1,0.14022016525268555,10
0,0,0.09406495094299316,4
1,0,0.1241922378540039,6
1,0,0.08925461769104004,6
1,0,0.08603477478027344,7
1,0,0.16492152214050293,12
0,0,0.11099982261657715,4
0,0,0.10504293441772461,4
1,0,0.12772226333618164,6
2,1,0.10837817192077637,8
1,1,0.10880661010742188,5
1,1,0.1123650074005127,17
1,0,0.10746932029724121,5
1,0,0.05472850799560547,5
0,0,0.1171419620513916,5
0,0,0.10575199127197266,4
2,0,0.1318953037261963,7
0,0,0.10251569747924805,4
1,1,0.11283373832702637,19
1,1,0.1073918342590332,9
0,0,0.1085360050201416,4
1,1,0.17050838470458984,14
0,0,0.10464596748352051,4
0,0,0.12204122543334961,5
0,0,0.08057355880737305,4
0,0,0.09985733032226562,4
1,1,0.10332250595092773,5
0,0,0.10730338096618652,4
1,0,0.18488359451293945,14
0,0,0.09086894989013672,4
0,0,0.1164240837097168,5
1,0,0.10630607604980469,5
1,0,0.10126161575317383,5
0,0,0.08969688415527344,4
0,0,0.08041501045227051,4
1,1,0.12929010391235352,6
0,0,0.07356762886047363,5
0,0,0.11008334159851074,5
2,0,0.13100767135620117,6
2,1,0.10713052749633789,7
1,1,0.15296697616577148,13
1,1,0.14764952659606934,9
0,0,0.10797715187072754,4
2,0,0.10703229904174805,8
1,1,0.11320972442626953,26
0,0,0.08756780624389648,5
0,0,0.10793614387512207,5
1,1,0.09519791603088379,7
1,0,0.12319827079772949,6
1,0,0.136460542678833,6
0,0,0.07942748069763184,4
2,0,0.10446929931640625,5
0,0,0.08042693138122559,4
1,0,0.10679936408996582,4
0,0,0.055719852447509766,4
0,0,0.07015204429626465,4
2,1,0.0745093822479248,6
0,0,0.10814571380615234,4
0,0,0.1129753589630127,4
1,1,0.23136639595031738,16
0,0,0.12614035606384277,4
2,1,0.2521953582763672,15
1,1,0.15093064308166504,9
1,1,0.21771907806396484,9
1,0,0.127777099609375,5
0,0,0.104278564453125,4
0,0,0.12415504455566406,4
0,0,0.08357906341552734,4
1,1,0.16370248794555664,11
1,0,0.11892890930175781,5
0,0,0.10747361183166504,4
2,0,0.10912966728210449,8
2,1,0.08939909934997559,6
1,0,0.10447883605957031,6
0,0,0.11168861389160156,4
1,1,0.12772703170776367,8
1,1,0.22815966606140137,17
1,1,0.10987043380737305,11
1,1,0.11342406272888184,9
1,1,0.17247653007507324,12
1,0,0.11878466606140137,6
0,0,0.08309125900268555,4
1,1,0.10607552528381348,10
1,0,0.1131134033203125,19
0,0,0.0807194709777832,4
1,0,0.11588668823242188,12
0,0,0.04995989799499512,4
1,1,0.06388545036315918,7
0,0,0.10447263717651367,5
1,0,0.13672351837158203,8
0,0,0.1134488582611084,4
1,0,0.10966038703918457,5
0,0,0.10123062133789062,5
1,0,0.12224006652832031,9
1,1,0.15680956840515137,10
0,0,0.10877776145935059,4
0,0,0.1013634204864502,5
1,1,0.11319541931152344,23
1,0,0.10744976997375488,5
1,1,0.2167823314666748,16
1,0,0.11171793937683105,10
1,1,0.10867881774902344,6
0,0,0.09621715545654297,5
1,1,0.10984611511230469,12
1,1,0.1018819808959961,8
1,0,0.1525897979736328,9
1,0,0.1941823959350586,16
1,0,0.13809442520141602,8
0,0,0.10726213455200195,4
1,1,0.05176496505737305,5
1,1,0.11156415939331055,5
1,1,0.12693476676940918,9
1,1,0.11449003219604492,5
0,0,0.1048882007598877,4
0,0,0.08908677101135254,4
