ci_initial,ci_final,elapsed_time,iterations
8,0,1.0736722946166992,11
5,0,1.07845139503479,17
5,0,1.1506059169769287,18
5,0,1.1213927268981934,27
5,0,1.0184094905853271,16
4,0,1.0664074420928955,21
4,0,1.0362045764923096,11
5,0,1.0555033683776855,37
5,0,1.0728347301483154,22
5,0,1.0436515808105469,15
5,0,1.8940458297729492,23
7,0,1.8879225254058838,16
4,0,2.073038101196289,19
5,0,2.5233607292175293,22
7,0,2.698209762573242,16
6,0,2.251783847808838,20
6,0,3.284156560897827,10
6,0,4.850987195968628,34
6,0,2.0444140434265137,14
5,0,1.9106993675231934,21
3,0,1.8421125411987305,13
6,0,6.53661847114563,27
5,0,13.690739393234253,14
6,0,1.8819444179534912,21
8,0,2.636075019836426,22
6,0,5.228043079376221,19
5,0,13.179887771606445,19
3,0,9.388306617736816,23
4,0,2.5596868991851807,18
5,0,5.067454099655151,22
