ci_initial,ci_final,elapsed_time,iterations
5,1,0.0612330436706543,15
6,2,0.060456037521362305,14
5,1,0.060146331787109375,11
3,0,0.05962705612182617,11
4,1,0.06114482879638672,17
4,0,0.05924868583679199,11
6,1,0.05939149856567383,9
4,2,0.06341385841369629,23
5,2,0.0603632926940918,13
4,1,0.061400651931762695,18
5,1,0.06264925003051758,20
4,1,0.06218600273132324,18
5,0,0.06236982345581055,17
5,1,0.06159043312072754,15
4,2,0.05983376502990723,13
4,1,0.0760955810546875,13
6,0,0.07202506065368652,12
4,1,0.07101106643676758,26
5,2,0.06396293640136719,25
3,1,0.061322927474975586,15
5,1,0.06418013572692871,26
4,1,0.2165992259979248,14
4,1,0.09712553024291992,14
5,1,0.06131291389465332,16
6,2,0.06194305419921875,15
5,1,0.06482291221618652,28
4,1,0.06138181686401367,14
5,2,0.09020423889160156,28
4,1,0.06379866600036621,22
4,1,0.060486555099487305,17
6,1,0.059977054595947266,12
3,2,0.06013345718383789,15
3,1,0.060692548751831055,12
5,1,0.060337066650390625,12
4,1,0.06107020378112793,16
4,0,0.061810970306396484,15
4,1,0.05968117713928223,11
4,1,0.06079864501953125,18
5,1,0.05963873863220215,12
3,1,0.06387662887573242,25
4,1,0.06042146682739258,15
4,1,0.06047964096069336,12
3,0,0.06034135818481445,9
5,1,0.07082223892211914,13
3,1,0.062135934829711914,18
7,2,0.06763863563537598,15
6,1,0.06095528602600098,16
4,1,0.06051063537597656,10
4,1,0.06278562545776367,21
7,0,0.06092262268066406,15
4,0,0.06396937370300293,27
4,1,0.0599207878112793,10
4,1,0.14876055717468262,11
4,2,0.1105337142944336,13
6,1,0.060903310775756836,14
4,1,0.06994748115539551,44
6,0,0.06679224967956543,35
5,1,0.06976127624511719,15
2,1,0.06200361251831055,20
4,0,0.0627279281616211,13
5,1,0.061641693115234375,17
5,1,0.06365275382995605,27
5,1,0.06129050254821777,17
4,1,0.06047368049621582,17
4,1,0.06194639205932617,19
5,0,0.061516761779785156,15
1,1,0.058263301849365234,6
4,1,0.06340718269348145,22
4,1,0.06133270263671875,10
4,2,0.06328248977661133,23
3,0,0.06283330917358398,19
4,1,0.060083866119384766,15
5,1,0.061655282974243164,16
3,1,0.07160401344299316,9
5,1,0.06082010269165039,14
3,1,0.060453176498413086,14
6,1,0.06472587585449219,25
5,1,0.1645963191986084,12
3,1,0.17488622665405273,16
6,0,0.05934643745422363,10
3,1,0.062368154525756836,18
5,1,0.06331062316894531,19
6,1,0.07202744483947754,29
4,1,0.06283330917358398,21
3,1,0.06459522247314453,12
5,1,0.07284045219421387,19
5,1,0.06201028823852539,19
6,1,0.06174135208129883,22
5,1,0.06099271774291992,15
5,1,0.06191134452819824,18
4,0,0.05964517593383789,10
2,1,0.06018495559692383,13
5,1,0.05939769744873047,10
4,2,0.062071800231933594,20
4,1,0.06434082984924316,28
5,1,0.06383204460144043,28
3,0,0.058921098709106445,8
6,2,0.06132388114929199,15
3,2,0.060678720474243164,14
4,1,0.06207537651062012,16
5,1,0.05860710144042969,10
3,1,0.08227658271789551,14
6,0,0.06268072128295898,13
4,1,0.059760093688964844,10
4,1,0.06325364112854004,22
4,1,0.060752153396606445,10
2,1,0.21848797798156738,13
5,1,0.07794380187988281,23
6,1,0.0603792667388916,17
5,1,0.061509132385253906,19
3,1,0.06016421318054199,14
6,1,0.06310772895812988,19
4,1,0.06021857261657715,15
2,0,0.05920267105102539,9
4,1,0.08744359016418457,11
2,1,0.059334516525268555,10
5,2,0.05967426300048828,13
4,0,0.0628809928894043,20
4,1,0.06026005744934082,10
3,1,0.06562423706054688,35
5,1,0.05888676643371582,10
6,2,0.06487822532653809,29
4,1,0.0617060661315918,17
2,1,0.08160924911499023,11
6,1,0.06324505805969238,27
5,1,0.06342458724975586,20
6,1,0.061536550521850586,18
3,1,0.06361556053161621,24
5,1,0.06041693687438965,13
4,1,0.060524702072143555,14
3,1,0.08068203926086426,24
4,1,0.06209516525268555,17
5,1,0.059814453125,10
3,1,0.0608980655670166,12
3,1,0.15013480186462402,11
4,1,0.16448640823364258,20
4,1,0.0639944076538086,27
4,1,0.06258893013000488,20
5,1,0.058922529220581055,10
6,2,0.06282520294189453,20
4,0,0.06188607215881348,15
6,2,0.06004834175109863,12
4,1,0.10418534278869629,48
4,1,0.06250596046447754,19
3,0,0.05913710594177246,10
5,1,0.06500720977783203,30
4,0,0.06122016906738281,16
4,1,0.06299233436584473,21
6,1,0.06292343139648438,22
6,2,0.0662679672241211,23
5,0,0.0597531795501709,10
5,0,0.06243014335632324,19
4,1,0.059401512145996094,13
4,1,0.06165051460266113,17
4,1,0.06179380416870117,14
5,1,0.06006908416748047,14
4,1,0.06098461151123047,17
4,1,0.06735539436340332,26
4,0,0.08160638809204102,40
4,1,0.0631864070892334,20
4,0,0.05961751937866211,10
4,1,0.204911470413208,18
4,0,0.0919342041015625,12
4,1,0.06108260154724121,12
5,2,0.0608210563659668,13
6,1,0.0635366439819336,25
3,0,0.0603327751159668,12
5,2,0.06114983558654785,16
4,1,0.06122159957885742,15
4,1,0.06055903434753418,11
7,0,0.06653976440429688,13
4,0,0.07221126556396484,14
3,1,0.06110548973083496,15
4,0,0.0602414608001709,12
4,0,0.06361842155456543,12
5,0,0.06834006309509277,38
4,2,0.06288886070251465,23
4,2,0.058858394622802734,10
5,1,0.06102275848388672,11
3,1,0.0665135383605957,33
6,1,0.06019902229309082,11
3,1,0.06093406677246094,13
6,2,0.061279296875,12
6,1,0.06520199775695801,29
5,1,0.0714271068572998,31
4,1,0.06341075897216797,21
5,2,0.06087207794189453,15
5,2,0.07517504692077637,36
5,1,0.20236945152282715,14
4,0,0.12426614761352539,11
6,2,0.06093716621398926,14
3,1,0.05962491035461426,9
5,1,0.06714105606079102,36
5,2,0.0635077953338623,14
3,1,0.06152462959289551,19
4,1,0.06404519081115723,23
4,1,0.05958151817321777,12
5,1,0.06331467628479004,23
5,1,0.062100887298583984,21
3,0,0.08344531059265137,11
3,1,0.05925345420837402,11
5,1,0.06000947952270508,12
3,0,0.06174111366271973,16
3,1,0.0613703727722168,16
4,2,0.06208205223083496,15
4,1,0.06149101257324219,17
4,0,0.059629201889038086,11
5,1,0.060033321380615234,14
3,0,0.06337928771972656,24
4,1,0.06119394302368164,18
3,0,0.059305429458618164,11
4,1,0.06083035469055176,15
5,2,0.06241774559020996,18
5,1,0.06722736358642578,24
5,1,0.06020092964172363,13
5,1,0.07160019874572754,22
5,1,0.0632169246673584,21
8,2,0.25844764709472656,25
3,2,0.06930851936340332,37
5,3,0.06300163269042969,21
4,0,0.06090140342712402,15
3,2,0.06359195709228516,26
5,1,0.06343650817871094,22
7,2,0.05955362319946289,11
5,1,0.06430268287658691,27
3,2,0.06412720680236816,21
4,0,0.06093788146972656,15
5,0,0.06242012977600098,20
5,1,0.07225775718688965,19
5,1,0.061049699783325195,15
7,1,0.06368589401245117,27
5,2,0.0652310848236084,24
3,2,0.060906171798706055,11
4,0,0.06531071662902832,28
3,1,0.06137251853942871,16
5,1,0.06447339057922363,27
5,0,0.061799049377441406,16
5,2,0.06192421913146973,17
4,1,0.06348943710327148,26
5,0,0.06128358840942383,12
4,0,0.05931711196899414,12
4,1,0.05926847457885742,8
3,1,0.06254816055297852,14
4,1,0.06061291694641113,15
6,1,0.06796073913574219,11
5,2,0.06240677833557129,19
4,1,0.21086382865905762,18
4,1,0.08416604995727539,12
5,1,0.06090092658996582,16
3,1,0.06755423545837402,31
4,0,0.062285661697387695,22
4,1,0.06324362754821777,21
5,1,0.05924654006958008,12
